trace_length,execution_time,process_time,mem_usage,mem_dif,number_snaps
10000,168.95194959640503,168.949847667,1018.64453125,768.75390625,10000
10000,170.8885440826416,170.886617246,1018.828125,768.75390625,10000
10000,170.1693949699402,170.15386258,1018.703125,768.75390625,10000
10000,171.62773823738098,171.625580556,1018.23046875,768.75390625,10000
10000,168.52994394302368,168.527669716,1018.44140625,768.75390625,10000
10000,170.7202332019806,170.717754332,1018.59375,768.75390625,10000
10000,167.1307408809662,167.128180048,1018.47265625,768.75390625,10000
1000,2.285852193832397,2.285768523,256.4140625,8.26171875,1000
1000,2.227316379547119,2.227279854999999,256.72265625,8.2578125,1000
1000,2.2826709747314453,2.282559766999998,256.91015625,8.2578125,1000
1000,2.290651321411133,2.2906330720000003,256.66796875,8.265625,1000
1000,2.2317593097686768,2.231742123,256.37109375,8.26171875,1000
1000,2.312727689743042,2.312328626000001,256.71875,8.2578125,1000
1000,2.253973484039306,2.253929071,257.28515625,8.2265625,1000
100,0.0087819099426269,0.0087713249999996,248.0078125,0.0,100
100,0.0081393718719482,0.0081291060000001,247.83203125,0.0,100
100,0.0081963539123535,0.0081863640000001,248.11328125,0.0,100
100,0.0084180831909179,0.0083987299999996,248.46484375,0.0,100
100,0.0082056522369384,0.0081979490000012,248.44921875,0.0,100
100,0.0081415176391601,0.0081326379999993,248.17578125,0.0,100
100,0.0082275867462158,0.0082168289999984,248.53125,0.0,100
1500,4.397202730178833,4.397126017,266.578125,18.1484375,1500
1500,4.134847640991211,4.134788500999999,266.69921875,18.14453125,1500
1500,4.205404996871948,4.205291614,266.6015625,18.1484375,1500
1500,4.128422260284424,4.128397307,266.58984375,18.1484375,1500
1500,4.135396718978882,4.135280610000001,267.07421875,18.15234375,1500
1500,4.182530403137207,4.182507291999999,266.9609375,18.15625,1500
1500,4.191682815551758,4.191573384,266.859375,18.16015625,1500
2000,6.871650457382202,6.871554210000001,280.58984375,31.69921875,2000
2000,6.711735725402832,6.711670803999999,280.11328125,31.69140625,2000
2000,6.610477447509766,6.610431004999999,280.6328125,31.69921875,2000
2000,6.65595269203186,6.655875862,280.46484375,31.69921875,2000
2000,6.74407434463501,6.743968586000001,280.453125,31.69921875,2000
2000,6.711190938949585,6.711060098000001,280.3359375,31.69921875,2000
2000,6.872354745864868,6.872289107,280.24609375,31.69921875,2000
200,0.0318727493286132,0.0318610769999985,248.2890625,0.3828125,200
200,0.0317616462707519,0.0317356760000002,248.1171875,0.3828125,200
200,0.0318293571472168,0.0318166480000012,248.15234375,0.36328125,200
200,0.0326783657073974,0.0326635979999991,248.734375,0.67578125,200
200,0.0321450233459472,0.0321317960000016,248.34765625,0.37109375,200
200,0.0317838191986084,0.0317691079999988,248.23046875,0.4296875,200
200,0.0316452980041503,0.0316323090000008,248.546875,0.421875,200
2500,12.948477745056152,12.948350325000002,298.140625,49.05859375,2500
2500,12.924217700958252,12.924075195,297.99609375,49.05859375,2500
2500,12.77613091468811,12.775952016,297.75390625,49.05859375,2500
2500,12.8460111618042,12.845239457,297.95703125,49.05859375,2500
2500,12.773853540420532,12.773697022,297.765625,49.05859375,2500
2500,12.819443464279177,12.819367121,298.1953125,49.05859375,2500
2500,12.916207790374756,12.916119544,298.125,49.0625,2500
3000,16.957998275756836,16.957756287,318.70703125,70.29296875,3000
3000,16.9990713596344,16.998263122,319.50390625,70.30078125,3000
3000,16.636327028274536,16.636172746,318.87890625,70.296875,3000
3000,16.88781452178955,16.887598077,319.0859375,70.296875,3000
3000,17.204120874404907,17.203931582000003,319.21875,70.296875,3000
3000,16.87820816040039,16.877450769,319.18359375,70.296875,3000
3000,16.653578519821167,16.652950493,319.2890625,70.30078125,3000
300,0.2130947113037109,0.2130707499999999,249.21484375,0.8828125,300
300,0.2036330699920654,0.2036059390000009,248.91015625,0.9296875,300
300,0.2059402465820312,0.2059280920000006,249.1171875,1.046875,300
300,0.2240781784057617,0.2240662970000002,248.8359375,0.93359375,300
300,0.2063102722167968,0.2062985269999995,248.7265625,0.82421875,300
300,0.2158732414245605,0.2158606719999998,249.5625,1.33203125,300
300,0.2094781398773193,0.2094645990000003,249.078125,1.35546875,300
3500,21.62498569488525,21.624624471,344.51171875,95.40625,3500
3500,21.163133144378666,21.162921303,344.77734375,95.66796875,3500
3500,21.4941086769104,21.490646843,344.359375,95.40625,3500
3500,21.257383346557617,21.254144665,344.359375,95.40625,3500
3500,21.03273296356201,21.032208017,345.140625,95.42578125,3500
3500,21.120972156524655,21.120788023000003,345.25390625,95.41015625,3500
3500,20.83115553855896,20.830920942,344.3046875,95.40625,3500
4000,26.85050106048584,26.850142149,373.40625,124.24609375,4000
4000,26.86096501350403,26.860652813,373.25,124.24609375,4000
4000,26.49031782150269,26.489631486,375.62890625,124.5078125,4000
4000,26.57736086845398,26.577033797,373.16015625,124.24609375,4000
4000,26.52078747749329,26.520462972,373.25390625,124.24609375,4000
4000,26.5152280330658,26.515012856,373.0390625,124.24609375,4000
4000,26.51343369483948,26.51320012,373.09375,124.24609375,4000
400,0.4772379398345947,0.4771913320000003,249.75,1.81640625,400
400,0.4510984420776367,0.4510795200000004,249.2421875,1.79296875,400
400,0.4681274890899658,0.4681187710000003,249.41796875,1.91796875,400
400,0.4670865535736084,0.4669772329999997,249.6171875,1.2265625,400
400,0.4670746326446533,0.4670655499999991,249.71875,1.8828125,400
400,0.4662063121795654,0.4661870359999991,249.875,1.23046875,400
400,0.4591050148010254,0.4590839110000004,249.890625,1.234375,400
4500,38.229572057724,38.228971207,405.71875,156.99609375,4500
4500,37.87183427810669,37.86605017,405.875,156.99609375,4500
4500,37.94110035896301,37.940744718,405.8203125,156.99609375,4500
4500,40.26245331764221,40.261789632,405.69921875,156.99609375,4500
4500,38.16067171096802,38.160746534,405.79296875,156.99609375,4500
4500,37.82163429260254,37.820925337,406.265625,156.99609375,4500
4500,37.86699986457825,37.866251286,405.890625,156.99609375,4500
5000,44.04334115982056,44.042692005,443.09375,193.453125,5000
5000,44.39876699447632,44.398429636,442.90234375,193.45703125,5000
5000,44.02279567718506,44.022330647,443.03125,193.45703125,5000
5000,44.390939235687256,44.390441625,442.9609375,193.453125,5000
5000,44.30977749824524,44.308789699,443.57421875,193.453125,5000
5000,44.078810691833496,44.078234336,442.890625,193.453125,5000
5000,44.88729524612427,44.885344499,442.796875,193.453125,5000
500,0.715062141418457,0.7150420440000005,250.703125,2.87109375,500
500,0.7066912651062012,0.7066719570000011,250.5234375,2.74609375,500
500,0.7599682807922363,0.7599493339999999,250.546875,1.921875,500
500,0.7345025539398193,0.7344890080000006,250.44921875,1.921875,500
500,0.7116422653198242,0.7116229900000004,250.12890625,2.6796875,500
500,0.7490694522857666,0.7490546239999993,251.08984375,2.28125,500
500,0.7200305461883545,0.7199923229999996,250.37890625,2.7421875,500
6000,61.0556263923645,61.054721452,527.359375,278.15234375,6000
6000,60.52248644828797,60.513088325,527.35546875,278.15234375,6000
6000,61.21075773239136,61.209593068,527.77734375,278.15234375,6000
6000,60.7782142162323,60.77736889799999,527.15234375,278.15234375,6000
6000,60.12091517448425,60.119776519000006,527.01953125,278.15234375,6000
6000,59.69848227500916,59.695240175,527.1015625,278.15234375,6000
6000,61.2698700428009,61.269156292,527.83984375,278.15234375,6000
7000,85.85779333114624,85.85639746700001,627.21484375,377.7109375,7000
7000,85.9036877155304,85.902673485,627.890625,377.9609375,7000
7000,84.81699419021606,84.815205923,627.37109375,377.7109375,7000
7000,85.68747210502625,85.686287247,627.6796875,377.9609375,7000
7000,83.74571394920349,83.73318827,627.48046875,377.7109375,7000
7000,85.32563781738281,85.324339045,627.16796875,377.7109375,7000
7000,85.82618808746338,85.82416055099999,627.10546875,377.7109375,7000
8000,110.39834856987,110.395988227,742.76171875,492.90234375,8000
8000,109.49474573135376,109.492951895,742.6015625,492.90234375,8000
8000,107.76665544509888,107.764154844,742.25,492.90234375,8000
8000,109.00810098648073,109.006601864,742.53125,492.90234375,8000
8000,109.7454595565796,109.744218762,742.51953125,492.90234375,8000
8000,107.45283222198486,107.450012315,742.21484375,492.90234375,8000
8000,108.18143844604492,108.179019306,742.7109375,492.90234375,8000
9000,139.39051842689514,139.388191268,872.43359375,623.0703125,9000
9000,136.6841516494751,136.680868199,872.73046875,623.06640625,9000
9000,146.1074447631836,146.104517375,872.7734375,623.0703125,9000
9000,140.185973405838,140.182779155,873.2109375,623.0703125,9000
9000,139.66577696800232,139.662075187,872.8203125,623.06640625,9000
9000,140.84422636032104,140.84211189899997,873.1953125,623.06640625,9000
9000,141.78074049949646,141.778990458,873.15625,623.0703125,9000
