epsilon,normalized_score,score,execution_time,process_time,mem_usage,mem_dif,trace_length
0.5,0.964,7712.0,110.39834856987,110.395988227,742.76171875,492.90234375,8000
0.5,0.964,7712.0,109.49474573135376,109.492951895,742.6015625,492.90234375,8000
0.5,0.964,7712.0,107.76665544509888,107.764154844,742.25,492.90234375,8000
0.5,0.964,7712.0,109.00810098648071,109.00660186399999,742.53125,492.90234375,8000
0.5,0.964,7712.0,109.74545955657959,109.744218762,742.51953125,492.90234375,8000
0.5,0.964,7712.0,107.45283222198486,107.45001231500001,742.21484375,492.90234375,8000
0.5,0.964,7712.0,108.18143844604492,108.179019306,742.7109375,492.90234375,8000
