trace_length,execution_time,process_time,number_snaps
9055,113.66483545303343,113.65848553700016,10000
9055,112.9306411743164,112.9245399700003,10000
9055,113.6429958343506,113.63669877600024,10000
9055,111.29095959663393,111.28419381799996,10000
9055,112.26738357543944,112.2602284970003,10000
916,1.2263617515563965,1.226265284999954,1000
916,1.2091386318206787,1.2090281780001533,1000
916,1.2271051406860352,1.2270389059999616,1000
916,1.2010951042175293,1.2010245239998767,1000
916,1.2060680389404297,1.205959152000105,1000
100,0.0081512928009033,0.0081424820000393,100
100,0.0086464881896972,0.0086358879998442,100
100,0.0083959102630615,0.0083817139998245,100
100,0.0084948539733886,0.0084798109999155,100
100,0.0085906982421875,0.0085733030000483,100
1372,2.6642587184906006,2.6641350610000245,1500
1372,2.60816502571106,2.608063138000034,1500
1372,2.620748996734619,2.620586903000003,1500
1372,2.6018807888031006,2.601707169000065,1500
1372,2.623013973236084,2.622890623000103,1500
1828,4.472327947616577,4.472113749000073,2000
1828,4.5294029712677,4.52916600399999,2000
1828,4.499842882156372,4.499647694000032,2000
1828,4.538175344467163,4.5379883900000095,2000
1828,4.52508544921875,4.524858849000111,2000
200,0.0472934246063232,0.0472739480001109,200
200,0.0441186428070068,0.044110178999972,200
200,0.0428154468536376,0.0428081060001659,200
200,0.0431690216064453,0.0431596720000015,200
200,0.0444731712341308,0.0444236440000622,200
2286,6.996903419494629,6.996616331000041,2500
2286,7.022299289703369,7.02192308199983,2500
2286,7.050894498825073,7.050562904999879,2500
2286,7.027624607086182,7.02730373899999,2500
2286,7.124558687210083,7.124307806999923,2500
2744,10.58737301826477,10.586799109999902,3000
2744,10.587024927139282,10.586450281999989,3000
2744,10.577235460281372,10.576610199000015,3000
2744,10.409971475601196,10.409358874999953,3000
2744,10.498924970626833,10.498342794999871,3000
279,0.0956759452819824,0.0956613420000849,300
279,0.0966622829437255,0.0966484080001919,300
279,0.0996079444885253,0.0995940640000299,300
279,0.0950970649719238,0.0950856960000692,300
279,0.0971081256866455,0.0970950780001658,300
3200,14.116328239440918,14.115488365999909,3500
3200,14.126623153686523,14.125837878000084,3500
3200,14.390245199203491,14.389101586999914,3500
3200,14.248457431793211,14.24767876299984,3500
3200,14.062564134597778,14.061835815999984,3500
3656,18.370530366897583,18.36960767100004,4000
3656,17.997071981430054,17.994866109999975,4000
3656,17.934488773345947,17.933620432999987,4000
3656,18.32161974906921,18.32066338100003,4000
3656,18.19690442085266,18.19578131800017,4000
379,0.1611661911010742,0.1611493830000654,400
379,0.1602859497070312,0.1602688030000081,400
379,0.1613881587982177,0.1613201759998901,400
379,0.1597344875335693,0.1597198019999268,400
379,0.1626830101013183,0.1626665270000558,400
4114,23.10914969444275,23.10790083300003,4500
4114,23.07358193397522,23.07224180400021,4500
4114,23.26635432243347,23.264986259000125,4500
4114,23.46440839767456,23.463269069000035,4500
4114,23.53596329689026,23.53464267399977,4500
4572,28.857951164245605,28.85653475100025,5000
4572,28.81196355819702,28.80980503799992,5000
4572,28.74330139160156,28.74188139900025,5000
4572,28.896381855010983,28.894734048999908,5000
4572,29.074734687805176,29.07326765500011,5000
458,0.2815966606140136,0.2815400980000504,500
458,0.2857646942138672,0.2857169050000721,500
458,0.2785067558288574,0.2784585670001434,500
458,0.2837457656860351,0.2836864509999941,500
458,0.2823340892791748,0.2822798140000486,500
5484,40.77121925354004,40.76910271199995,6000
5484,40.53791904449463,40.53568639800005,6000
5484,40.89706540107727,40.89522111099996,6000
5484,40.93745160102844,40.93531654099979,6000
5484,41.17883563041687,41.17628578400036,6000
6400,57.07560157775879,57.071896231999744,7000
6400,57.30468130111694,57.300880290999885,7000
6400,57.191354751586914,57.18812914200044,7000
6400,57.82581281661987,57.82257386499987,7000
6400,57.119062423706055,57.11543730499989,7000
7312,73.45132207870483,73.44656520900025,8000
7312,73.06695055961609,73.06184948000009,8000
7312,73.14941167831421,73.14577357400003,8000
7312,73.30830192565918,73.3040538639998,8000
7312,72.63508152961731,72.63092660200027,8000
8228,93.9838650226593,93.97824770099987,9000
8228,94.21315670013428,94.20768802900012,9000
8228,93.42980909347534,93.42399899999964,9000
8228,94.12981271743774,94.12420879599996,9000
8228,93.831937789917,93.8268061929998,9000
