mad_timestamp(s),mad_temperature(degrees),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.1,0.1,1,-1.0,-0.1,0.09701275000000464,0.09701275000000464,2.1885714285714286,6.1740364860123895,383,175,0.022513399775085905,0.017406845979540272,0.09701275000000464,0.022513399775085905,0.017406845979540272,0.09701275000000464,18.55486173059768,51.56110615521855,29.884032114183768
0.15000000000000002,0.15000000000000002,1,-1.0,-0.1,0.14536917000000216,0.14536917000000216,2.298136645962733,6.484424454264774,370,161,0.03290122055462117,0.027051215524129986,0.14536917000000216,0.03290122055462117,0.027051215524129986,0.14536917000000216,17.930419268510253,53.077609277430874,28.991971454058874
0.20000000000000004,0.20000000000000004,1,-1.0,-0.1,0.17963161000000127,0.17963161000000127,2.3636363636363638,6.678924189965107,364,154,0.04283833144975211,0.03323057082612214,0.17963161000000127,0.04283833144975211,0.03323057082612214,0.17963161000000127,17.6628010704728,54.148082069580724,28.189116859946477
0.25000000000000006,0.25000000000000006,1,-1.0,-0.1,0.24482861999999983,0.24482861999999983,2.4149659863945576,6.730824147630516,355,147,0.05285963412337594,0.04010961335727806,0.24482861999999983,0.05285963412337594,0.04010961335727806,0.24482861999999983,17.216770740410354,54.95093666369313,27.83229259589652
0.30000000000000004,0.30000000000000004,1,-1.0,-0.1,0.2939900900000012,0.2939900900000012,2.331081081081081,6.579440247194197,345,148,0.0620004393301429,0.04888425323048098,0.2939900900000012,0.0620004393301429,0.04888425323048098,0.2939900900000012,16.770740410347905,55.932203389830505,27.29705619982159
0.3500000000000001,0.3500000000000001,1,-1.0,-0.1,0.33744082999999847,0.33744082999999847,2.3636363636363638,6.645410061745446,338,143,0.07069237870662398,0.05615647355299987,0.33744082999999847,0.07069237870662398,0.05615647355299987,0.33744082999999847,16.41391614629795,56.55664585191793,27.029438001784122
0.40000000000000013,0.40000000000000013,1,-1.0,-0.1,0.390059149999999,0.390059149999999,2.342857142857143,6.600618400218736,328,140,0.08334529442901163,0.06485343665990038,0.390059149999999,0.08334529442901163,0.06485343665990038,0.390059149999999,15.967885816235505,57.80553077609277,26.226583407671722
0.45000000000000007,0.45000000000000007,1,-1.0,-0.1,0.445581820000001,0.445581820000001,2.5422535211267605,6.645578048424295,361,142,0.09881310065378836,0.08088296469402222,0.445581820000001,0.09881310065378836,0.08088296469402222,0.445581820000001,17.39518287243533,60.03568242640499,22.56913470115968
0.5000000000000001,0.5000000000000001,1,-1.0,-0.1,0.48300766000000195,0.48300766000000195,2.4726027397260273,6.5972131989855525,361,146,0.10556444178885568,0.08785080059105381,0.48300766000000195,0.10556444178885568,0.08785080059105381,0.48300766000000195,17.395182872435328,60.83853702051739,21.76628010704728
0.5500000000000002,0.5500000000000002,1,-1.0,-0.1,0.5284550800000005,0.5284550800000005,2.5454545454545454,6.648757466048787,364,143,0.11896132344332798,0.09971694042625477,0.5284550800000005,0.11896132344332798,0.09971694042625477,0.5284550800000005,17.484388938447815,62.176628010704725,20.33898305084746
0.6000000000000002,0.6000000000000002,1,-1.0,-0.1,0.5981585700000025,0.5981585700000025,2.5467625899280577,6.632406837221902,354,139,0.1300117285127473,0.11028148688947617,0.5981585700000025,0.1300117285127473,0.11028148688947617,0.5981585700000025,17.03835860838537,62.97948260481713,19.982158786797502
0.6500000000000001,0.6500000000000001,1,-1.0,-0.1,0.6476459499999976,0.6476459499999976,2.544776119402985,6.614790834614377,341,134,0.1448234697493031,0.1229131568800351,0.6476459499999976,0.1448234697493031,0.1229131568800351,0.6476459499999976,16.41391614629795,64.049955396967,19.536128456735057
0.7000000000000002,0.7000000000000002,1,-1.0,-0.1,0.6961057900000043,0.6961057900000043,2.9029850746268657,7.804389697600706,389,134,0.1488987713324171,0.1278606443571988,0.6961057900000043,0.1488987713324171,0.1278606443571988,0.6961057900000043,18.554861730597686,64.94201605709188,16.503122212310437
0.7500000000000002,0.7500000000000002,1,-1.0,-0.1,0.73111265,0.73111265,3.3230769230769233,8.67375828809154,432,130,0.16343692419225592,0.14158418301470618,0.742670320000002,0.16343692419225592,0.14158418301470618,0.742670320000002,20.42818911685994,66.81534344335415,12.756467439785906
0.8000000000000002,0.8000000000000002,1,-1.0,-0.1,0.7777779700000025,0.7777779700000025,3.37007874015748,8.674156701489139,428,127,0.1728938157142853,0.15045468465654893,0.7777779700000025,0.1728938157142853,0.15045468465654893,0.7777779700000025,20.249776984834973,67.43978590544157,12.31043710972346
0.8500000000000002,0.8500000000000002,1,-1.0,-0.1,0.8306132900000023,0.8306132900000023,4.025,10.01620561889581,483,120,0.1909075023748392,0.1652607941565869,0.8470965500000034,0.1909075023748392,0.1652607941565869,0.8470965500000034,22.658340767172163,69.49152542372882,7.850133809099019
0.9000000000000002,0.9000000000000002,1,-1.0,-0.1,0.8621910800000023,0.8621910800000023,4.076923076923077,10.035112582808344,477,117,0.20250741873096412,0.17409547857781785,0.8861215499999986,0.20250741873096412,0.17409547857781785,0.8861215499999986,22.390722569134695,70.29438001784122,7.314897413024085
