dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2)
17.4,0.0,0.197,-0.004905
17.5,0.0,0.197,-0.004905
17.6,0.0,0.197,-0.004905
17.7,0.0,0.197,-0.004905
17.8,0.0,0.197,-0.004905
17.9,0.0,0.197,-0.004905
18.0,0.0,0.197,-0.004905
18.1,0.0,0.197,-0.004905
18.2,0.0,0.197,-0.004905
18.3,0.0,0.197,-0.004905
18.4,0.0,0.197,-0.004905
18.5,0.0,0.197,-0.004905
18.6,0.0,0.197,-0.004905
18.7,0.0,0.197,-0.004905
18.8,0.0,0.197,-0.004905
18.9,0.0,0.197,-0.004905
19.0,0.0,0.197,-0.004905
19.1,0.0,0.197,-0.004905
19.2,0.0,0.197,-0.004905
19.3,0.0,0.197,-0.004905
19.4,0.0,0.197,-0.004905
19.5,0.0,0.197,-0.004905
19.6,0.0,0.197,-0.004905
19.7,0.0,0.197,-0.004905
19.8,0.0,0.197,-0.004905
19.9,0.0,0.197,-0.004905
20.0,0.0,0.197,-0.004905
20.1,0.0,0.197,-0.004905
20.2,0.0,0.197,-0.004905
20.3,0.0,0.197,-0.004905
20.4,0.0,0.197,-0.004905
20.5,0.0,0.197,-0.004905
20.6,-0.1,0.197,-0.004905
20.6,-0.1,0.324,-0.023544
20.6,-0.1,0.393,-0.004905
20.6,-0.1,0.493,-0.028449
20.6,-0.1,0.592,-0.00981
20.6,-0.1,0.704,-0.014715
20.6,-0.1,0.789,-0.00981
20.6,-0.1,0.926,-0.014715
20.6,-0.1,0.987,-0.00981
20.6,-0.1,1.086,-0.004905
20.6,-0.1,1.184,-0.004905
20.6,-0.1,1.298,-0.01962
20.6,-0.1,1.381,0.0
20.6,-0.1,1.481,-0.01962
20.6,-0.1,1.579,-0.00981
20.6,-0.1,1.678,-0.01962
20.6,-0.1,1.778,-0.014715
20.6,-0.1,1.915,-0.014715
20.6,-0.1,1.974,-0.014715
20.6,-0.1,2.073,-0.00981
20.6,-0.1,2.172,-0.004905
20.6,-0.1,2.271,-0.00981
20.6,-0.1,2.371,-0.00981
20.6,-0.1,2.468,-0.004905
20.6,-0.1,2.566,-0.004905
20.6,-0.1,2.667,-0.01962
20.6,-0.1,2.764,-0.014715
20.6,-0.1,2.863,-0.00981
20.6,-0.1,2.962,-0.014715
20.6,-0.1,3.06,-0.00981
20.6,-0.1,3.168,-0.00981
20.6,-0.1,3.259,-0.004905
20.6,-0.1,3.358,-0.01962
20.6,-0.1,3.456,-0.014715
20.6,-0.1,3.554,-0.00981
20.6,-0.1,3.653,-0.014715
20.6,-0.1,3.753,-0.004905
20.6,-0.1,3.851,-0.01962
20.6,-0.1,3.979,-0.014715
20.6,-0.1,4.049,-0.004905
20.6,-0.1,4.148,-0.004905
20.6,-0.1,4.246,-0.004905
20.6,-0.1,4.37,-0.00981
20.6,-0.1,4.443,-0.00981
20.6,-0.1,4.542,-0.00981
20.6,-0.1,4.64,-0.014715
20.6,-0.1,4.769,-0.004905
20.6,-0.1,4.839,-0.00981
20.6,-0.1,4.937,-0.014715
20.6,-0.1,5.036,-0.00981
20.6,-0.1,5.139,-0.00981
20.6,-0.1,5.233,-0.014715
20.6,-0.1,5.356,-0.00981
20.6,-0.1,5.431,-0.00981
20.6,-0.1,5.529,-0.014715
20.6,-0.1,5.628,-0.014715
20.6,-0.1,5.727,-0.004905
20.6,-0.1,5.826,-0.00981
20.6,-0.1,5.924,0.004905
20.6,-0.1,6.023,-0.014715
20.6,-0.1,6.121,-0.023544
20.6,-0.1,6.221,-0.033354
20.6,-0.1,6.319,-0.00981
20.6,-0.1,6.418,-0.023544
20.6,-0.1,6.517,0.004905
20.6,-0.1,6.622,-0.00981
20.6,-0.1,6.714,-0.01962
20.6,-0.1,6.813,0.0
20.6,-0.1,6.912,-0.014715
20.6,-0.1,7.011,0.0
20.6,-0.1,7.109,-0.014715
20.6,-0.1,7.228,0.0
20.6,-0.1,7.307,-0.023544
20.6,-0.1,7.406,-0.014715
20.6,-0.1,7.505,0.004905
20.6,-0.1,7.607,-0.01962
20.6,-0.1,7.703,-0.028449
20.6,-0.1,7.828,-0.01962
20.6,-0.1,7.9,-0.01962
20.6,-0.1,7.999,-0.00981
20.6,-0.1,8.097,0.0
20.6,-0.1,8.218,-0.004905
20.6,-0.1,8.298,-0.00981
20.6,-0.1,8.394,0.0
20.6,-0.1,8.492,-0.00981
20.6,-0.1,8.592,0.0
20.6,-0.1,8.69,-0.023544
20.6,-0.1,8.807,-0.014715
20.6,-0.1,8.888,-0.038259
20.6,-0.1,9.023,0.0
20.6,-0.1,9.085,0.004905
20.6,-0.1,9.184,-0.023544
20.6,-0.1,9.283,-0.048069
20.6,-0.1,9.41,-0.01962
20.6,-0.1,9.48,-0.00981
20.6,-0.1,9.579,-0.01962
20.6,-0.1,9.678,0.0
20.6,-0.1,9.776,-0.01962
20.6,-0.1,9.875,-0.023544
20.6,-0.1,9.973,-0.00981
20.6,-0.1,10.072,-0.004905
20.6,-0.1,10.172,0.0
20.6,-0.1,10.27,-0.00981
20.6,-0.1,10.368,-0.01962
20.6,-0.1,10.476,-0.00981
20.6,-0.1,10.566,-0.014715
20.6,-0.1,10.705,-0.00981
20.6,-0.1,10.764,-0.004905
20.6,-0.1,10.863,-0.023544
20.6,-0.1,10.96,-0.01962
20.6,-0.1,11.079,-0.00981
20.6,-0.1,11.159,-0.043164
20.6,-0.1,11.298,-0.00981
20.6,-0.1,11.356,-0.00981
20.6,-0.1,11.455,-0.023544
20.6,-0.1,11.553,-0.00981
20.6,-0.1,11.653,-0.014715
20.6,-0.1,11.751,-0.00981
20.6,-0.1,11.888,0.00981
20.6,-0.1,11.949,-0.033354
20.6,-0.1,12.047,0.0
20.6,-0.1,12.147,-0.004905
20.6,-0.1,12.274,0.004905
20.6,-0.1,12.344,-0.004905
20.6,-0.1,12.442,-0.01962
20.6,-0.1,12.541,-0.004905
20.6,-0.1,12.64,-0.00981
20.6,-0.1,12.739,-0.00981
20.6,-0.1,12.838,-0.004905
20.6,-0.1,12.936,-0.004905
20.6,-0.1,13.035,-0.004905
20.6,-0.1,13.134,-0.014715
20.6,-0.1,13.232,-0.00981
20.6,-0.1,13.331,-0.014715
20.6,-0.1,13.43,-0.071613
20.7,-0.2,13.529,-0.162846
20.8,-0.3,13.628,-0.297243
20.9,-0.4,13.727,-0.363951
21.0,-0.5,13.825,-0.512082
21.1,-0.6,13.934,-0.671004
21.2,-0.7,14.023,-0.656289
21.3,-0.7,14.154,-0.756351
21.4,-0.7,14.22,-0.704358
21.5,-0.7,14.319,-0.684738
21.6,-0.7,14.319,-0.684738
21.7,-0.7,14.418,-0.747522
21.8,-0.7,14.53,-0.718092
21.9,-0.7,14.616,-0.742617
22.0,-0.628571,14.746,-0.661194
22.1,-0.528571,14.813,-0.727902
22.1,-0.528571,14.912,-0.536607
22.2,-0.428571,15.01,-0.473823
22.3,-0.328571,15.14,-0.363951
22.4,-0.228571,15.208,-0.325692
22.5,-0.128571,15.307,-0.101043
22.6,-0.028571,15.406,-0.091233
22.6,-0.028571,15.541,-0.033354
22.7,0.0,15.604,0.0
22.8,0.0,15.702,-0.00981
22.9,0.0,15.702,-0.00981
23.0,0.0,15.702,-0.00981
23.1,0.0,15.702,-0.00981
23.2,0.0,15.702,-0.00981
23.3,0.0,15.702,-0.00981
23.4,0.0,15.702,-0.00981
23.5,0.0,15.702,-0.00981
23.6,0.0,15.702,-0.00981
23.7,0.0,15.702,-0.00981
23.8,0.0,15.702,-0.00981
23.9,0.0,15.702,-0.00981
24.0,0.0,15.702,-0.00981
24.1,0.0,15.702,-0.00981
24.2,0.0,15.702,-0.00981
24.3,0.0,15.702,-0.00981
24.4,0.0,15.702,-0.00981
24.5,0.0,15.702,-0.00981
24.6,0.02,15.702,-0.00981
24.6,0.02,15.801,-0.004905
24.6,0.02,15.899,-0.038259
24.6,0.02,15.999,0.023544
24.6,0.02,16.098,-0.038259
24.6,0.02,16.196,0.00981
24.6,0.02,16.295,-0.057879
24.6,0.02,16.394,-0.01962
24.6,0.02,16.492,-0.038259
24.6,0.02,16.592,-0.014715
24.6,0.02,16.691,-0.043164
24.6,0.02,16.789,-0.00981
24.6,0.02,16.888,-0.00981
24.6,0.02,16.987,0.004905
24.6,0.02,17.085,-0.028449
24.6,0.02,17.186,0.043164
24.7,0.12,17.283,0.061803
24.8,0.22,17.405,0.220725
24.9,0.32,17.48,0.287433
25.0,0.42,17.579,0.363951
25.1,0.52,17.678,0.555246
25.2,0.62,17.804,0.584676
25.3,0.7,17.875,0.732807
25.4,0.7,17.974,0.666099
25.5,0.7,18.073,0.752427
25.6,0.7,18.182,0.679833
25.7,0.7,18.27,0.732807
25.8,0.7,18.412,0.641574
25.9,0.7,18.468,0.709263
26.0,0.7,18.589,0.694548
26.1,0.608571,18.666,0.555246
26.2,0.508571,18.764,0.3924
26.3,0.408571,18.764,0.3924
26.4,0.308571,18.863,0.40221
26.5,0.208571,18.986,0.18639
26.6,0.108571,19.06,0.143226
26.7,0.008571,19.2,0.057879
26.8,0.0,19.258,-0.023544
26.9,0.0,19.356,0.0
26.9,0.0,19.455,-0.048069
27.0,0.0,19.455,-0.048069
27.1,0.0,19.455,-0.048069
27.2,0.0,19.455,-0.048069
27.3,0.0,19.455,-0.048069
27.4,0.0,19.455,-0.048069
27.5,0.0,19.455,-0.048069
27.6,0.0,19.455,-0.048069
27.7,0.0,19.455,-0.048069
27.8,0.0,19.455,-0.048069
27.9,0.0,19.455,-0.048069
28.0,0.0,19.455,-0.048069
28.1,0.0,19.455,-0.048069
28.2,0.0,19.455,-0.048069
28.3,0.0,19.455,-0.048069
28.4,0.0,19.455,-0.048069
