timestamp(s),temperature(degrees)
1431,34.687
1434,34.625
1437,34.5935
1440,34.531
1443,34.4685
1446,34.406
1449,34.3435
1452,34.2495
1455,34.2185
1458,34.156
1461,34.0935
1464,33.9995
1467,33.9995
1470,33.906
1473,33.8435
1476,33.8125
1479,33.7495
1482,33.6875
1485,33.6245
1488,33.5625
1491,33.4995
1494,33.4685
1497,33.406
1500,33.3435
1503,33.281
1506,33.2185
1509,33.156
1512,33.0935
1515,33.031
1518,33
1521,32.9685
1524,32.906
1527,32.812
1530,32.781
1533,32.75
1536,32.687
1539,32.625
1542,32.562
1545,32.5
1548,32.4685
1551,32.437
1554,32.375
1557,32.312
1560,32.281
1563,32.25
1566,32.187
1569,32.0935
1572,32.0935
1575,32.031
1578,31.9685
1581,31.937
1584,31.875
1587,31.812
1590,31.781
1593,31.75
1596,31.687
1599,31.625
1602,31.625
1605,31.562
1608,31.5
1611,31.437
1614,31.406
1617,31.375
1620,31.312
1624,31.281
1626,31.2185
1630,31.187
1632,31.125
1636,31.125
1638,31.062
1642,31
1644,30.9685
1648,30.906
1650,30.875
1654,30.8435
1656,30.812
1660,30.781
1662,30.7185
1666,30.687
1668,30.656
1672,30.625
1674,30.562
1678,30.5
1680,30.4685
1684,30.437
1686,30.375
1690,30.3435
1692,30.312
1696,30.281
1698,30.25
1702,30.2185
1704,30.187
1708,30.125
1710,30.0935
1714,30.062
1716,30.031
1720,29.9685
1722,29.9685
1726,29.906
1728,29.875
1732,29.875
1735,29.9685
1738,30.062
1740,30.1875
1744,30.3745
1746,30.5935
1750,30.812
1752,31.062
1756,31.281
1758,31.4685
1762,31.6875
1764,31.8125
1768,31.906
1770,32.156
1774,32.156
1776,32.3745
1780,32.437
1782,32.531
1786,32.8435
1788,33.031
1792,33.281
1794,33.531
1798,33.8435
1800,34.1245
1804,34.437
1806,34.6875
1810,34.9375
1812,35.156
1816,35.375
1818,35.562
1822,35.7185
1824,35.906
1828,36.0625
1830,36.156
1834,36.2185
1836,36.375
1840,36.4375
1842,36.531
1846,36.5935
1848,36.656
1852,36.7185
1855,36.75
1858,36.7495
1861,36.781
1864,36.812
1867,36.781
1870,36.8125
