timestamp(s),temperature(degrees)
0,22.8125
3,22.8435
6,22.8745
9,22.906
12,22.906
15,23.0625
18,23.2185
21,23.437
24,23.656
27,23.8435
30,24.0935
33,24.3435
36,24.6245
39,24.875
42,25.0935
45,25.406
48,25.687
51,25.9375
54,26.2185
57,26.5625
60,26.875
63,27.156
66,27.531
69,27.8435
72,28.2185
75,28.50632519
78,28.42412803
81,28.56463127
84,28.39699413
87,28.44784437
90,28.65295002
93,28.39735563
96,28.40071034
99,28.57725754
102,28.52085447
105,28.55230873
108,28.64103767
111,28.42425356
114,28.59623428
117,28.52141854
120,28.46194295
123,28.39430731
126,28.6365223
129,28.62869311
132,28.44941873
135,28.61308194
138,28.66079499
141,28.50614481
144,28.43522821
147,28.61855667
150,28.56754672
153,28.65376112
156,28.48178593
159,28.52043967
162,28.48780563
165,28.58107492
168,28.55568928
171,28.40188677
174,28.6371146
177,28.45993603
180,28.55364802
183,28.418952
186,28.43997758
189,28.60356231
192,28.41805294
195,28.55785957
198,28.65875072
201,28.3939613
204,28.51794514
207,28.52709112
210,28.57969566
213,28.65545244
216,28.50324099
219,28.48366389
222,28.62306468
225,28.6215971
228,28.48994547
231,28.49197908
234,28.51305588
237,28.62911449
240,28.592249
243,28.40194054
246,28.41052186
249,28.54075441
252,28.39158231
255,28.51882904
258,28.40509332
261,28.39609705
264,28.62291112
267,28.51969027
270,28.48840383
273,28.49751669
276,28.42756774
279,28.40525428
282,28.44017934
285,28.56506837
288,28.66936813
291,28.38863323
294,28.40823666
297,28.5378777
300,28.66286434
303,28.5433561
306,28.64200828
309,28.62601845
312,28.62512341
315,28.43875184
318,28.53405587
321,28.58134541
324,28.566697
327,28.55700111
330,28.40197328
333,28.54525634
336,28.3948923
339,28.45568674
342,28.61123665
345,28.39860102
348,28.54119643
351,28.47153054
354,28.59011596
357,28.42821199
360,28.39846702
363,28.55459327
366,28.64692667
369,28.61332957
372,28.51456286
375,28.52511221
378,28.60359777
381,28.64074269
384,28.66556725
387,28.45488006
390,28.41222897
393,28.57233182
396,28.65409863
399,28.46501196
402,28.46704459
405,28.66656289
408,28.42923905
411,28.49723669
414,28.62534443
417,28.64961543
420,28.62240719
423,28.5860648
426,28.46602045
429,28.50605533
432,28.39308046
435,28.60439632
438,28.42757168
441,28.43717807
444,28.49720044
447,28.43327087
450,28.5450595
453,28.49217377
456,28.64300383
459,28.55264721
462,28.60667472
465,28.41624111
468,28.64285257
471,28.62929151
474,28.55941771
477,28.5047307
480,28.53780164
483,28.53276188
486,28.4035328
489,28.54862456
492,28.41882286
495,28.49127854
498,28.56103859
501,28.39214847
504,28.56373958
507,28.56786149
510,28.63061536
513,28.60381676
516,28.47667251
519,28.49040652
522,28.65087949
525,28.56923922
528,28.47853602
531,28.49462563
534,28.39566411
537,28.62306234
540,28.55562835
543,28.40866559
546,28.42350833
549,28.4408719
552,28.55062813
555,28.52857441
558,28.5180524
561,28.5234508
564,28.46508645
567,28.62128761
570,28.5445551
573,28.57207473
576,28.43861511
579,28.59169073
582,28.56043505
585,28.48599654
588,28.66982291
591,28.63264525
594,28.45001812
597,28.60566474
600,28.50877734
603,28.50411889
606,28.42750854
609,28.47385663
612,28.43522773
615,28.66456523
618,28.64136848
621,28.60033285
624,28.65154782
627,28.55139149
630,28.39697721
633,28.52923394
636,28.46220344
639,28.64719466
642,28.6087429
645,28.5866913
648,28.39589794
651,28.65799369
654,28.5044917
657,28.39487262
660,28.42742517
663,28.58444382
666,28.53104724
669,28.50677903
672,28.62565949
675,28.43947497
678,28.55404397
681,28.59889164
684,28.6640274
687,28.56107334
690,28.53053822
693,28.65282617
696,28.58719035
699,28.5231092
702,28.43799527
705,28.44482813
708,28.43351568
711,28.46462877
714,28.66591761
717,28.41223386
720,28.60847311
723,28.51066185
726,28.62842629
729,28.64839161
732,28.52628867
735,28.46766477
738,28.62306941
741,28.5579704
744,28.49331905
747,28.49448005
750,28.40567473
753,28.45418047
756,28.65367155
759,28.62746005
762,28.523166
765,28.40541955
768,28.45687152
771,28.51270348
774,28.54346748
777,28.51239865
780,28.63027052
783,28.39474115
786,28.60790904
789,28.48402431
792,28.60658212
795,28.52761167
798,28.67032317
801,28.65531417
804,28.50770025
807,28.57322901
810,28.46468281
813,28.39512278
816,28.67202643
819,28.45600516
822,28.4792196
825,28.61594862
828,28.60701053
831,28.41473372
834,28.56426101
837,28.67020114
840,28.65071448
843,28.39611006
846,28.47900148
849,28.52467733
852,28.52272011
855,28.6555218
858,28.64327464
861,28.56234341
864,28.59235528
867,28.4517489
870,28.43445786
873,28.40294344
876,28.5849709
879,28.62508522
882,28.53095213
885,28.3891998
888,28.63483453
891,28.60832787
894,28.63620572
897,28.64106084
900,28.63250634
903,28.63126077
906,28.39024209
909,28.40452629
912,28.66223521
915,28.39398847
918,28.51252699
921,28.6371594
924,28.4862224
927,28.67031516
930,28.41020101
933,28.51184449
936,28.50091163
939,28.55494951
942,28.50371768
945,28.56585815
948,28.60736818
951,28.59238071
954,28.49014427
957,28.44811318
960,28.65624223
963,28.40821739
966,28.58478843
969,28.42304765
972,28.57560944
975,28.51169478
978,28.47540507
981,28.52825777
984,28.63823329
987,28.59127622
990,28.52732876
993,28.590328
996,28.62772751
999,28.42210008
1002,28.46780576
1005,28.49851637
1008,28.66832749
1011,28.64884502
1014,28.4957787
1017,28.53964098
1020,28.59542424
1023,28.63712963
1026,28.4882405
1029,28.452589
1032,28.66344337
1035,28.51620216
1038,28.5023695
1041,28.573281
1044,28.52902672
1047,28.66656869
1050,28.62106035
1053,28.541434
1056,28.48157727
1059,28.63698277
1062,28.54319612
1065,28.63104635
1068,28.56028133
1071,28.44225942
1074,28.52343738
1077,28.54161566
1080,28.59995096
1083,28.58941834
1086,28.66031467
1089,28.44647009
1092,28.5371065
1095,28.49055093
1098,28.4450465
1101,28.61425808
1104,28.5913737
1107,28.47040733
1110,28.65187328
1113,28.59851876
1116,28.51460794
1119,28.61279844
1122,28.52718779
1125,28.57188269
1128,28.46095892
1131,28.51566497
1134,28.42305607
1137,28.54541179
1140,28.39727515
1143,28.42889473
1146,28.54376555
1149,28.67262432
1152,28.61679747
1155,28.67237403
1158,28.48480646
1161,28.46348529
1164,28.60031388
1167,28.63815698
1170,28.45025861
1173,28.57491558
1176,28.45863074
1179,28.47812533
1182,28.62373002
1185,28.56798846
1188,28.48031832
1191,28.54331595
1194,28.47845886
1197,28.41867533
1200,28.41774473
1203,28.67132346
1206,28.52384253
1209,28.66080714
1212,28.40236923
1215,28.58188715
1218,28.62173779
1221,28.43548932
1224,28.54740666
1227,28.57792308
1230,28.67256597
1233,28.40040437
1236,28.67120259
1239,28.39777503
1242,28.47784546
1245,28.41654266
1248,28.53230961
1251,28.66865376
1254,28.50849492
1257,28.3962128
1260,28.6294974
1263,28.61343318
1266,28.64622924
1269,28.52663788
1272,28.63476385
1275,28.524498
1278,28.39100269
1281,28.54767734
1284,28.565437
1287,28.43671567
1290,28.49906544
1293,28.41987895
1296,28.6540966
1299,28.60227843
1302,28.54979023
1305,28.53048276
1308,28.61374297
1311,28.60316018
1314,28.54323446
1317,28.56454526
1320,28.46146774
1323,28.51375173
1326,28.54752374
1329,28.42330092
1332,28.50511173
1335,28.48679353
1338,28.41814218
1341,28.48119608
1344,28.53809654
1347,28.54409538
1350,28.39178076
1353,28.42366477
1356,28.51378063
1359,28.60107577
1362,28.43104547
1365,28.59110094
1368,28.62277518
1371,28.45182149
1374,28.390892
1377,28.56720089
1380,28.5899584
1383,28.640204
1386,28.57807896
1389,28.39403558
1392,28.67084507
1395,28.54148507
1398,28.6672697
1401,28.5084754
1404,28.40475662
1407,28.5706994
1410,28.60176543
1413,28.6272804
1416,28.65922703
1419,28.45297666
1422,28.41438644
1425,28.57057648
1428,28.516131
1431,28.48805893
1434,28.4151829
1437,28.46561805
1440,28.42569518
1443,28.58238712
1446,28.53738915
1449,28.6296738
1452,28.644837
1455,28.41769819
1458,28.56260039
1461,28.64217778
1464,28.55947427
1467,28.62591208
1470,28.50793453
1473,28.55575557
1476,28.51712185
1479,28.51546764
1482,28.62532867
1485,28.49624937
1488,28.57226339
1491,28.43167963
1494,28.65647538
1497,28.43021655
1500,28.4847742
1503,28.44981073
1506,28.49161294
1509,28.46660862
1512,28.60453234
1515,28.59185556
1518,28.41041422
1521,28.53225317
1524,28.58257583
1527,28.53925674
1530,28.63197179
1533,28.65640422
1536,28.61631821
1539,28.58239997
1542,28.63721194
1545,28.56088255
1548,28.42612874
1551,28.58619319
1554,28.67028712
1557,28.6414546
1560,28.42594197
1563,28.40520212
1566,28.61749846
1569,28.52163378
1572,28.56880108
1575,28.64056836
1578,28.65485608
1581,28.42024553
1584,28.4693169
1587,28.44557824
1590,28.671227
1593,28.55023369
1596,28.59897935
1599,28.67039796
1602,28.44835786
1605,28.62473359
1608,28.59449075
1611,28.65001134
1614,28.64082909
1617,28.41417881
1620,28.67297466
1623,28.51068574
1626,28.46332303
1629,28.39979701
