dt-timestamp(s),dt-accel(m/s2),pt-timestamp(s),pt-accel(m/s2),operation
0.0,0.0,0.0,0.0,Match
0.1,0.0,0.0979999999981373,-0.0049049999999994,Match
0.2,0.0,0.2159999999930733,-0.0049049999999994,Match
0.3,0.0,0.2969999999986612,0.0,Match
0.4,0.0,0.3949999999967986,-0.0049049999999994,Match
0.5,0.0,0.4929999999949359,0.0,Match
0.6,0.0,0.5929999999934807,-0.00981,Match
0.7,0.0,0.6919999999954598,-0.0049049999999994,Match
0.8,0.0,0.8289999999979045,0.0,Match
0.9,0.0,0.8889999999955762,0.0,Match
1.0,0.0,0.9879999999975552,0.0,Match
1.1,0.0,1.0869999999995343,0.0,Match
1.2,0.0,1.1859999999942374,0.0,Match
1.3,0.0,1.2849999999962165,0.0,Match
1.4,0.0,1.3839999999981956,0.0,Match
1.5,0.0,1.481999999996333,-0.0049049999999994,Match
1.6,0.0,1.5819999999948775,0.0049049999999994,Match
1.7,0.0,1.6809999999968568,0.0049049999999994,Match
1.8,0.0,1.7799999999988358,-0.0049049999999994,Match
1.9,0.0,1.885999999998603,-0.0049049999999994,Match
2.0,0.0,1.9759999999951103,0.0098099999999989,Match
2.1,0.0,2.0749999999970896,-0.0049049999999994,Match
2.2,0.0,2.1739999999990687,0.0,Match
2.3,0.0,2.272999999993772,0.0,Match
2.4,0.0,2.371999999995751,-0.00981,Match
2.5,0.0,2.4909999999945285,0.0049049999999994,Match
2.6,0.0,2.569999999999709,0.0049049999999994,Match
2.7,0.0,2.7049999999944703,-0.0049049999999994,Match
2.8,0.0,2.767999999996391,0.0,Match
2.9,0.0,2.86699999999837,-0.0049049999999994,Match
3.0,0.0,2.9649999999965075,-0.00981,Match
3.1,0.0,3.084999999999127,0.0049049999999994,Match
3.2,0.0,3.1629999999931897,-0.0049049999999994,Match
3.3,0.0,3.260999999998603,0.0,Match
3.4,0.0,3.359999999993306,-0.0049049999999994,Match
3.5,0.0,3.458999999995285,-0.0049049999999994,Match
3.6,0.0,3.557999999997264,-0.0049049999999994,Match
3.7,0.0,3.6569999999992433,-0.0049049999999994,Match
3.8,0.0,3.7549999999973807,-0.0049049999999994,Match
3.9,0.0,3.8549999999959255,-0.00981,Match
4.0,0.0,3.953999999997905,-0.0049049999999994,Match
4.1,0.0,4.052999999999884,0.0,Match
4.2,0.0,4.151999999994587,0.0,Match
4.3,0.0,4.25,0.0,Match
4.4,0.0,4.348999999994703,0.0,Match
4.5,0.0,4.447999999996682,0.0049049999999994,Match
4.6,0.0,4.546999999998661,-0.0049049999999994,Match
4.7,0.0,4.645999999993364,0.0235439999999995,Match
4.8,0.0,4.744999999995343,0.028448999999999,Match
4.9,0.0,4.842999999993481,-0.01962,Match
5.0,0.0,4.94199999999546,-0.01962,Match
5.1,0.0,5.040999999997439,-0.01962,Match
5.2,0.0,5.138999999995576,-0.00981,Match
5.3,0.0,5.237999999997555,-0.00981,Match
5.4,0.0,5.336999999999534,-0.00981,Match
5.5,0.0,5.435999999994237,-0.0147149999999994,Match
5.6,0.0,5.540999999997439,-0.0049049999999994,Match
5.7,0.0,5.633999999998196,-0.0049049999999994,Match
5.8,-0.1,5.754999999997381,-0.0147149999999994,Match
5.9,-0.2,5.830999999998312,-0.148131,Match
6.0,-0.3,5.928999999996449,-0.2589839999999998,Match
6.1,-0.4,6.027999999998428,-0.3355020000000001,Match
6.2,-0.5,6.132999999994354,-0.5032530000000002,Match
6.3,-0.6,6.225999999995111,-0.5464169999999997,Match
6.4,-0.7,6.3549999999959255,-0.7328069999999999,Match
6.5,-0.7,6.423999999999069,-0.6562889999999997,Match
6.6,-0.7,6.522999999993772,-0.7180920000000005,Match
6.7,-0.7,6.621999999995751,-0.6994530000000003,Match
-,-,6.744999999995343,-0.752427,Insertion
6.8,-0.7,6.8179999999993015,-0.6660989999999997,Match
6.9,-0.7,6.916999999994005,-0.6562889999999997,Match
7.0,-0.7,7.015999999995984,-0.6896430000000003,Match
7.1,-0.7,7.114999999997963,-0.6945479999999998,Match
7.2,-0.628571,7.213999999999942,-0.5846759999999999,Match
7.3,-0.528571,7.312999999994645,-0.5120820000000003,Match
