dt-timestamp(s),dt-x,dt-y,dt-z,pt-timestamp(s),pt-x,pt-y,pt-z,operation
-,-,-,-,21,0.0,0.0,471,Insertion
-,-,-,-,42,-7.92,0.0,471,Insertion
-,-,-,-,62,-7.92,0.0,471,Insertion
-,-,-,-,83,-15.84,0.0,471,Insertion
40,-16.78,-0.0,470,104,-20.5,0.0,470,Match
60,-25.15,-0.0,470,125,-28.39,0.0,469,Match
80,-33.49,-0.0,469,145,-31.6,0.0,469,Match
-,-,-,-,166,-36.24,0.0,468,Insertion
-,-,-,-,186,-39.44,0.0,468,Insertion
-,-,-,-,201,-44.06,0.0,467,Insertion
-,-,-,-,214,-47.24,0.0,467,Insertion
100,-41.79,-0.0,468,234,-50.03,0.0,466,Mismatch
120,-50.04,-0.0,466,254,-52.81,0.0,465,Match
140,-58.23,-0.0,464,274,-55.59,0.0,465,Match
160,-66.36,-0.0,462,300,-74.79,0.0,460,Mismatch
180,-74.41,-0.0,460,320,-77.81,0.0,459,Match
-,-,-,-,340,-80.81,0.0,458,Insertion
200,-82.37,-0.0,457,360,-83.79,0.0,457,Match
220,-90.24,-0.0,454,380,-86.77,0.0,456,Match
240,-98.0,-0.0,451,400,-104.28,0.0,448,Mismatch
260,-105.65,-0.0,448,420,-107.56,0.0,447,Match
-,-,-,-,440,-110.83,0.0,445,Insertion
280,-113.17,-0.0,444,460,-114.07,0.0,444,Match
300,-120.57,-0.0,440,480,-117.28,0.0,442,Match
320,-127.82,-0.0,436,500,-136.03,0.0,431,Mismatch
340,-134.93,-0.0,432,520,-138.66,0.0,429,Match
-,-,-,-,540,-141.27,0.0,428,Insertion
360,-141.88,-0.0,427,560,-143.85,0.0,426,Match
380,-148.67,-0.0,422,580,-146.41,0.0,424,Match
400,-155.29,-0.0,417,600,-161.25,0.0,412,Mismatch
420,-161.72,-0.0,412,620,-163.99,0.0,410,Match
-,-,-,-,640,-166.7,0.0,408,Insertion
440,-167.98,-0.0,406,660,-169.38,0.0,405,Match
460,-174.03,-0.0,401,680,-172.01,0.0,403,Match
480,-179.89,-0.0,395,700,-187.05,0.0,387,Mismatch
500,-185.54,-0.0,389,720,-189.11,0.0,385,Match
520,-190.98,-0.0,383,740,-191.13,0.0,383,Match
540,-196.21,-0.0,376,760,-193.12,0.0,380,Match
560,-201.2,-0.0,370,780,-195.08,0.0,378,Mismatch
580,-205.97,-0.0,363,800,-206.15,0.0,363,Match
-,-,-,-,820,-208.3,0.0,360,Insertion
-,-,-,-,840,-210.4,0.0,356,Insertion
600,-210.5,-0.0,356,860,-212.45,0.0,353,Match
620,-214.79,-0.0,349,880,-214.44,0.0,350,Match
640,-218.84,-0.0,342,900,-225.24,0.0,329,Mismatch
660,-222.64,-0.0,335,920,-226.52,0.0,326,Mismatch
680,-226.19,-0.0,327,940,-227.77,0.0,324,Match
700,-229.49,-0.0,320,960,-228.98,0.0,321,Match
720,-232.52,-0.0,312,980,-230.16,0.0,318,Mismatch
740,-235.29,-0.0,305,1000,-236.41,0.0,300,Mismatch
760,-237.8,-0.0,297,1020,-237.49,0.0,297,Match
-,-,-,-,1040,-238.51,0.0,294,Insertion
-,-,-,-,1060,-239.49,0.0,290,Insertion
780,-240.04,-0.0,289,1080,-240.41,0.0,287,Match
800,-242.01,-0.0,281,1100,-244.92,0.0,267,Mismatch
820,-243.72,-0.0,273,1120,-245.39,0.0,264,Mismatch
840,-245.15,-0.0,265,1140,-245.82,0.0,261,Match
860,-246.31,-0.0,257,1160,-246.21,0.0,258,Match
880,-247.2,-0.0,249,1180,-246.57,0.0,255,Mismatch
900,-247.81,-0.0,241,1200,-247.86,0.0,236,Mismatch
920,-248.16,-0.0,233,1220,-247.99,0.0,233,Match
940,-248.23,-0.0,225,1240,-248.07,0.0,229,Match
960,-248.03,-0.0,218,1260,-248.1,0.0,226,Mismatch
980,-247.56,-0.0,210,1280,-248.08,0.0,223,Mismatch
1000,-246.82,-0.0,202,1300,-246.91,0.0,202,Match
-,-,-,-,1320,-246.55,0.0,199,Insertion
-,-,-,-,1340,-246.15,0.0,196,Insertion
1020,-245.81,-0.0,194,1360,-245.71,0.0,193,Match
1040,-244.55,-0.0,186,1380,-245.24,0.0,190,Match
1060,-243.02,-0.0,178,1400,-241.6,0.0,173,Mismatch
1080,-241.23,-0.0,171,1420,-240.8,0.0,169,Match
-,-,-,-,1440,-239.96,0.0,166,Insertion
