init_gap,cont_gap,low,mad,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots,execution_time,process_time,trace_length
-1.0,-0.1,200,0.15,0.094777,0.094777,82.25,85.5610162398741,329,4,0.015959184466019415,0.0225444477575772,0.114777,0.015959184466019415,0.0225444477575772,0.114777,72.05240174672488,22.489082969432314,5.458515283842795,0.6020021438598633,0.6019452529999398,458
-1.0,-0.1,200,0.15,0.094777,0.094777,82.25,85.5610162398741,329,4,0.015959184466019415,0.0225444477575772,0.114777,0.015959184466019415,0.0225444477575772,0.114777,72.05240174672488,22.489082969432314,5.458515283842795,0.5952293872833252,0.595194609999453,458
-1.0,-0.1,200,0.15,0.094777,0.094777,82.25,85.5610162398741,329,4,0.015959184466019415,0.0225444477575772,0.114777,0.015959184466019415,0.0225444477575772,0.114777,72.05240174672488,22.489082969432314,5.458515283842795,0.5889015197753906,0.588833980000345,458
-1.0,-0.1,200,0.15,0.094777,0.094777,82.25,85.5610162398741,329,4,0.015959184466019415,0.0225444477575772,0.114777,0.015959184466019415,0.0225444477575772,0.114777,72.05240174672488,22.489082969432314,5.458515283842795,0.6033585071563721,0.6033243439997023,458
-1.0,-0.1,200,0.15,0.094777,0.094777,82.25,85.5610162398741,329,4,0.015959184466019415,0.0225444477575772,0.114777,0.015959184466019415,0.0225444477575772,0.114777,72.05240174672488,22.489082969432314,5.458515283842795,0.5933208465576172,0.5932772430005571,458
