trace_length,execution_time,process_time,number_snaps
9055,241.0484042167664,241.0317791109992,10000
9055,245.74824380874637,245.73207310900037,10000
9055,241.7037045955658,241.6880132290025,10000
9055,243.89076375961304,243.8749916409979,10000
9055,243.16721558570865,243.15307351400045,10000
916,2.6074419021606445,2.6072727110004053,1000
916,2.5803823471069336,2.580246278999766,1000
916,2.612259149551392,2.6121488669996324,1000
916,2.5961663722991943,2.5960457460005277,1000
916,2.59907341003418,2.598919881998881,1000
100,0.01548433303833,0.0154768169995804,100
100,0.0146255493164062,0.0146190409996052,100
100,0.014991283416748,0.014985047000664,100
100,0.0145158767700195,0.0145095850002689,100
100,0.0144684314727783,0.0144618439990154,100
1372,5.6751368045806885,5.674850571000206,1500
1372,5.673635005950928,5.673345010998673,1500
1372,5.62397050857544,5.623717594000482,1500
1372,5.647773742675781,5.647475659001429,1500
1372,5.6027538776397705,5.602494904998821,1500
1828,9.661967992782593,9.661428045999855,2000
1828,9.719990253448486,9.719560522000393,2000
1828,9.70128846168518,9.700840958999834,2000
1828,9.681401014328005,9.680902291000166,2000
1828,9.661698579788208,9.661295332000009,2000
200,0.0916812419891357,0.091673405999245,200
200,0.0892446041107177,0.0892367600008583,200
200,0.0926268100738525,0.0926188680004997,200
200,0.0900368690490722,0.0900136519994703,200
200,0.092437744140625,0.0924283759995887,200
2286,15.376614570617676,15.375905311999304,2500
2286,15.135802984237673,15.135180425000726,2500
2286,15.32362937927246,15.322942106000482,2500
2286,15.393292427062988,15.388546764999774,2500
2286,15.13054585456848,15.12985518900132,2500
2744,22.480877161026,22.479709506998915,3000
2744,22.33356523513794,22.332540688001245,3000
2744,22.4348042011261,22.433754916000908,3000
2744,22.35361194610596,22.35252365800079,3000
2744,22.36966061592102,22.36867056999836,3000
279,0.2027592658996582,0.2027477310002723,300
279,0.2001881599426269,0.2001787400004104,300
279,0.2004287242889404,0.2004157420014962,300
279,0.2002301216125488,0.2002086500015139,300
279,0.2067122459411621,0.2066994430006161,300
3200,30.402671575546265,30.401236590001645,3500
3200,30.41930747032165,30.417893205001747,3500
3200,30.198940992355347,30.197506795000663,3500
3200,30.21243667602539,30.211091655000928,3500
3200,30.129982709884644,30.12860156900024,3500
3656,38.940375089645386,38.93861778000064,4000
3656,38.82908225059509,38.81998364300125,4000
3656,38.590643882751465,38.58887556899936,4000
3656,39.37332630157471,39.37148012200123,4000
3656,38.75556516647339,38.75390830099968,4000
379,0.3348217010498047,0.3347820220005815,400
379,0.3345699310302734,0.3345388389989239,400
379,0.3331303596496582,0.3331179490014619,400
379,0.3333685398101806,0.3333327090003877,400
379,0.3379802703857422,0.3379668880006647,400
4114,49.14895939826965,49.14676166599929,4500
4114,49.702454566955566,49.70017577100043,4500
4114,49.1969485282898,49.19396045400026,4500
4114,49.55608510971069,49.55387272999906,4500
4114,49.41553926467896,49.413369126999896,4500
4572,62.033265113830566,62.03071536100106,5000
4572,62.22328734397888,62.220849602999806,5000
4572,62.11249351501465,62.10986761899949,5000
4572,62.10191464424133,62.09939890500027,5000
4572,62.79395055770874,62.79158171400013,5000
458,0.6020021438598633,0.6019452529999398,500
458,0.5952293872833252,0.595194609999453,500
458,0.5889015197753906,0.588833980000345,500
458,0.6033585071563721,0.6033243439997023,500
458,0.5933208465576172,0.5932772430005571,500
5484,89.04011344909668,89.03587871400123,6000
5484,88.09959006309509,88.0952784809997,6000
5484,88.38475942611694,88.38049315699936,6000
5484,87.7300374507904,87.72583018700061,6000
5484,88.35024428367615,88.34588464999979,6000
6400,121.34660172462463,121.34049027299989,7000
6400,121.33936023712158,121.33399100600036,7000
6400,121.47583985328674,121.4707881989998,7000
6400,122.03858304023744,122.03381771699968,7000
6400,121.20164704322816,121.19644641400008,7000
7312,156.9624423980713,156.95529491099842,8000
7312,155.37934637069702,155.37249777099896,8000
7312,156.6063027381897,156.59865238199927,8000
7312,155.34796619415283,155.3398695550004,8000
7312,158.27888369560242,158.27056112900027,8000
8228,198.0183937549591,198.0077745489998,9000
8228,200.4722695350647,200.4610950610004,9000
8228,200.87761044502255,200.86547235299983,9000
8228,199.2881026268005,199.27608403699924,9000
8228,199.40890049934387,199.3960333900013,9000
