init_gap,cont_gap,low,mad,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots,execution_time,process_time,trace_length
-1.0,-0.1,200,0.15,0.108571,0.108571,70.41538461538461,80.19819531974755,4577,65,0.017823166014533258,0.022598964089295674,0.143226,0.017823166014533258,0.022598964089295674,0.143226,71.484375,27.953125,0.5625,55.282920360565186,55.280894024999725,6400
-1.0,-0.1,200,0.15,0.108571,0.108571,70.41538461538461,80.19819531974755,4577,65,0.017823166014533258,0.022598964089295674,0.143226,0.017823166014533258,0.022598964089295674,0.143226,71.484375,27.953125,0.5625,55.192951679229736,55.19071250000161,6400
-1.0,-0.1,200,0.15,0.108571,0.108571,70.41538461538461,80.19819531974755,4577,65,0.017823166014533258,0.022598964089295674,0.143226,0.017823166014533258,0.022598964089295674,0.143226,71.484375,27.953125,0.5625,55.74258089065552,55.73984341800133,6400
-1.0,-0.1,200,0.15,0.108571,0.108571,70.41538461538461,80.19819531974755,4577,65,0.017823166014533258,0.022598964089295674,0.143226,0.017823166014533258,0.022598964089295674,0.143226,71.484375,27.953125,0.5625,55.79569149017334,55.793386500999986,6400
-1.0,-0.1,200,0.15,0.108571,0.108571,70.41538461538461,80.19819531974755,4577,65,0.017823166014533258,0.022598964089295674,0.143226,0.017823166014533258,0.022598964089295674,0.143226,71.484375,27.953125,0.5625,55.40885829925537,55.406197794000036,6400
