trace_length,execution_time,process_time,number_snaps
9055,113.3431704044342,113.33724925800016,10000
9055,110.76320219039916,110.75680531299986,10000
9055,109.90959572792052,109.90419720699902,10000
9055,109.18663930892944,109.18347499999982,10000
9055,107.60460066795348,107.60064427499856,10000
916,1.1887526512145996,1.1886688660015352,1000
916,1.1869382858276367,1.186859450001066,1000
916,1.184366226196289,1.184264946001349,1000
916,1.2008721828460691,1.200761202000649,1000
916,1.183396816253662,1.1833355300004769,1000
100,0.0081489086151123,0.0081405239998275,100
100,0.0079936981201171,0.0079864460003591,100
100,0.0077569484710693,0.0077499840008385,100
100,0.0077590942382812,0.0077524219996121,100
100,0.0083401203155517,0.0083105109988537,100
1372,2.60137152671814,2.601218547000826,1500
1372,2.5644993782043457,2.564364570998805,1500
1372,2.6136224269866943,2.613476962000277,1500
1372,2.5915632247924805,2.5914688350003416,1500
1372,2.5746166706085205,2.574483370999588,1500
1828,4.478711843490601,4.478497385000082,2000
1828,4.437520503997803,4.437356362001083,2000
1828,4.377403497695923,4.377163314000427,2000
1828,4.415176630020142,4.4150118620000285,2000
1828,4.424954652786255,4.424764970999604,2000
200,0.0421998500823974,0.0421924720012611,200
200,0.0435085296630859,0.043499690000317,200
200,0.0431714057922363,0.0431648599987966,200
200,0.0429306030273437,0.0428802329988684,200
200,0.0424883365631103,0.0424820669995824,200
2286,7.029323577880859,7.029039783999906,2500
2286,6.994965314865112,6.994713856998715,2500
2286,6.937352180480957,6.936999974999708,2500
2286,7.005398750305176,7.005128043998411,2500
2286,6.910312652587891,6.909984697000255,2500
2744,10.333298921585085,10.333011843998976,3000
2744,10.246039390563965,10.245759438999812,3000
2744,10.249406814575195,10.249115785998583,3000
2744,10.307497024536133,10.307153207999365,3000
2744,10.100250720977783,10.099951136999152,3000
279,0.0975403785705566,0.0975260790000902,300
279,0.0969626903533935,0.0969313949990464,300
279,0.0932502746582031,0.0932435020004049,300
279,0.0941901206970214,0.0941820150001149,300
279,0.0949010848999023,0.0948932009996497,300
3200,13.772029399871826,13.771529276000363,3500
3200,13.733207941055298,13.732737505999468,3500
3200,13.816707134246826,13.816242369000976,3500
3200,13.779916524887083,13.779411060000712,3500
3200,13.800395011901855,13.799913722999918,3500
3656,17.81228280067444,17.811703363999186,4000
3656,17.766156435012817,17.76564035299998,4000
3656,17.921616792678833,17.921076463000645,4000
3656,17.849486589431763,17.848883268999998,4000
3656,17.741649866104126,17.740994038998906,4000
379,0.1564006805419922,0.1563815469999099,400
379,0.1574478149414062,0.1574390660007338,400
379,0.153775930404663,0.1537676779989851,400
379,0.1548936367034912,0.1548861480005143,400
379,0.1597757339477539,0.1597550060014327,400
4114,22.7779324054718,22.77719698200053,4500
4114,24.040652751922607,22.96641808900131,4500
4114,23.04058861732483,23.039313357001447,4500
4114,22.62071704864502,22.62253861099998,4500
4114,22.566121101379395,22.566666663999055,4500
4572,28.423341751098636,28.422751549998797,5000
4572,28.85280036926269,28.851946418000807,5000
4572,28.241466760635376,28.240704017998723,5000
4572,28.33981943130493,28.338942494001454,5000
4572,28.420756340026852,28.4197097819997,5000
458,0.2740468978881836,0.2740355559999443,500
458,0.2752137184143066,0.2751887140002509,500
458,0.277942419052124,0.2779072320008708,500
458,0.2765557765960693,0.2765209730005153,500
458,0.2745048999786377,0.274449183998513,500
5484,39.9524929523468,39.950544245000856,6000
5484,40.17005205154419,40.16820739499963,6000
5484,40.54502248764038,40.54335727199941,6000
5484,40.29499173164368,40.29329023600076,6000
5484,40.17320919036865,40.17182957600016,6000
6400,55.28292036056519,55.280894024999725,7000
6400,55.192951679229736,55.19071250000161,7000
6400,55.74258089065552,55.73984341800133,7000
6400,55.79569149017334,55.79338650099999,7000
6400,55.40885829925537,55.40619779400004,7000
7312,71.61871147155762,71.61539064600038,8000
7312,71.37441229820251,71.37092515400036,8000
7312,71.31603693962097,71.31288106400098,8000
7312,71.21202230453491,71.20897043199875,8000
7312,71.37813830375671,71.37492022000151,8000
8228,91.9160509109497,91.91182358499827,9000
8228,91.6644401550293,91.65972520200012,9000
8228,91.54072833061218,91.5353988049992,9000
8228,91.36695289611816,91.36149210700025,9000
8228,91.35915064811708,91.35396546899938,9000
