trace_length,execution_time,process_time,mem_usage,mem_dif,number_snaps
10000,551.6924915313721,551.6723221760001,3818.03515625,3568.51953125,10000
10000,553.5664074420929,553.552234089,3819.74609375,3570.15234375,10000
10000,552.2481265068054,552.229453902,3816.203125,3566.9296875,10000
10000,553.2488548755646,553.235046176,3996.85546875,3747.0234375,10000
10000,557.2031817436218,557.179610408,3817.2578125,3567.70703125,10000
10000,560.5128123760223,560.495668432,3819.94921875,3570.1015625,10000
10000,553.3137402534485,553.3001611779999,3819.8515625,3570.25,10000
1000,5.054134845733643,5.053967768,288.77734375,40.60546875,1000
1000,5.137208223342896,5.137150581,289.07421875,40.59375,1000
1000,5.919957637786865,5.919775891999999,288.76171875,40.5625,1000
1000,5.2034687995910645,5.203427344,290.015625,41.62109375,1000
1000,5.312269926071167,5.312188560000001,289.1328125,40.6484375,1000
1000,5.16407322883606,5.163841734,289.5703125,41.19921875,1000
1000,5.343737840652466,5.343615326,289.3828125,40.609375,1000
100,0.0521423816680908,0.052127231,248.9296875,1.01953125,100
100,0.0528476238250732,0.0528320430000004,248.82421875,0.83203125,100
100,0.0519001483917236,0.0518859220000003,248.5546875,1.00390625,100
100,0.0523269176483154,0.0523128489999997,249.01953125,0.7734375,100
100,0.0538504123687744,0.0538344939999984,248.9921875,0.890625,100
100,0.0522265434265136,0.0522117909999995,248.90625,0.83203125,100
100,0.0539138317108154,0.0538359670000012,249.3359375,0.94140625,100
1500,11.58380913734436,11.58365282,338.046875,89.296875,1500
1500,11.522865295410156,11.522696053,338.11328125,89.33984375,1500
1500,11.397533893585203,11.39731917,338.1796875,89.296875,1500
1500,11.44715142250061,11.447024841,337.87109375,89.29296875,1500
1500,11.515519618988035,11.515401453,338.2421875,89.37890625,1500
1500,11.64195704460144,11.641800545,338.04296875,89.32421875,1500
1500,12.518943309783936,12.5187636,338.1484375,89.30859375,1500
2000,21.146761178970337,21.146340339,404.07421875,154.74609375,2000
2000,20.607372045516968,20.606998972,404.54296875,155.52734375,2000
2000,21.15010380744934,21.149848141,403.91796875,155.546875,2000
2000,20.890830039978027,20.890229812,404.07421875,155.42578125,2000
2000,20.50472617149353,20.504398479,404.26171875,155.5546875,2000
2000,20.27338695526123,20.272810188,404.4609375,155.56640625,2000
2000,20.305959939956665,20.305707498000004,403.69921875,155.3828125,2000
200,0.209122896194458,0.2091106600000003,251.16796875,3.33984375,200
200,0.2050974369049072,0.2050842260000003,251.5859375,3.2578125,200
200,0.2009148597717285,0.2009023760000001,251.57421875,3.484375,200
200,0.209226369857788,0.2092047620000006,251.25,3.5859375,200
200,0.1980838775634765,0.1980700119999987,251.6796875,3.515625,200
200,0.2067029476165771,0.2066895770000005,251.03125,3.26171875,200
200,0.204277753829956,0.2042637240000004,251.21484375,3.2578125,200
2500,32.436163902282715,32.435525613,486.19140625,237.234375,2500
2500,32.48937177658081,32.488890168999994,486.3125,237.140625,2500
2500,32.11141848564148,32.110895143,491.55078125,242.49609375,2500
2500,32.107863903045654,32.107383039999995,486.45703125,237.26171875,2500
2500,31.775673627853397,31.77529153,486.12109375,237.203125,2500
2500,32.093751430511475,32.093300614,486.0234375,237.1484375,2500
2500,31.68418598175049,31.68369859000001,486.44921875,237.23828125,2500
3000,46.439369440078735,46.438709501,573.75390625,325.375,3000
3000,47.34854865074158,47.345728591,572.80078125,323.84375,3000
3000,47.15992856025696,47.159403434000005,572.97265625,324.4609375,3000
3000,46.47166109085083,46.471014635,573.6015625,325.41796875,3000
3000,45.98657441139221,45.985184533,573.7890625,324.26171875,3000
3000,46.20848059654236,46.20782777,573.92578125,325.47265625,3000
3000,48.89955925941467,48.898694311,573.2109375,323.88671875,3000
300,0.4565613269805908,0.4565392760000009,253.4609375,6.09765625,300
300,0.464099645614624,0.4640661169999998,253.48046875,6.08984375,300
300,0.4601452350616455,0.4601352379999994,253.84375,5.921875,300
300,0.4531879425048828,0.453163194,253.61328125,5.7265625,300
300,0.468001127243042,0.4679853250000008,253.69921875,6.13671875,300
300,0.4511444568634033,0.451119349999999,253.72265625,5.7265625,300
300,0.4519054889678955,0.4518873830000007,253.31640625,5.6640625,300
3500,65.74911141395569,65.74778348,672.75,423.64453125,3500
3500,64.35358691215515,64.35251810400001,671.5859375,422.6484375,3500
3500,63.66573929786682,63.655537502,672.34765625,423.39453125,3500
3500,65.20334076881409,65.20250828500001,671.671875,422.078125,3500
3500,62.7780876159668,62.77730502200001,632.46484375,381.66796875,3500
3500,65.11992025375366,65.11896638,671.5859375,422.65234375,3500
3500,63.133206605911255,63.131814061,671.35546875,422.4765625,3500
4000,82.86379027366638,82.862630853,850.9296875,602.05859375,4000
4000,84.47332286834717,84.47171641,850.67578125,601.40625,4000
4000,83.52906274795532,83.52775320800001,850.2734375,601.0390625,4000
4000,83.31766057014465,83.316390958,851.69921875,602.03515625,4000
4000,83.90460777282715,83.903210823,850.5859375,601.46875,4000
4000,83.30809903144836,83.305910587,849.2890625,600.0703125,4000
4000,83.46061301231384,83.457828783,850.1015625,600.9765625,4000
400,0.8245370388031006,0.8244886579999999,256.73046875,9.25390625,400
400,0.8192925453186035,0.8192662600000009,257.76171875,9.3515625,400
400,0.8092122077941895,0.8091877590000003,256.90625,8.296875,400
400,0.8154935836791992,0.8154774310000015,256.84765625,8.32421875,400
400,0.8118641376495361,0.8118105849999999,257.19140625,9.49609375,400
400,0.8040482997894287,0.8039985079999994,258.22265625,9.5078125,400
400,0.8195853233337402,0.8195428489999994,257.75,9.20703125,400
4500,106.163245677948,106.161599753,979.30078125,730.515625,4500
4500,106.00791668891908,106.005637656,979.41015625,730.515625,4500
4500,106.74637150764464,106.744024131,982.3984375,733.1328125,4500
4500,109.70455956459044,109.703108205,979.74609375,730.02734375,4500
4500,107.21171283721924,107.210341842,979.78515625,730.72265625,4500
4500,106.1269793510437,106.125603763,979.578125,730.23046875,4500
4500,106.88991022109984,106.888424395,980.1171875,730.74609375,4500
5000,136.33350014686584,136.329991138,1128.7109375,879.2734375,5000
5000,131.93766689300537,131.934958955,1125.96484375,876.6328125,5000
5000,132.2397038936615,132.236024336,1126.17578125,876.73046875,5000
5000,134.66899752616882,134.66630272499998,1126.34765625,876.69921875,5000
5000,132.3617582321167,132.360004093,1128.0859375,878.61328125,5000
5000,132.73142051696777,132.726971543,1126.83984375,877.65625,5000
5000,132.4298198223114,132.427623714,1126.02734375,876.671875,5000
500,1.2561976909637451,1.2561420080000012,260.87890625,12.625,500
500,1.2754204273223877,1.2752826899999992,262.765625,14.53125,500
500,1.260417938232422,1.2604007900000005,261.91015625,14.7109375,500
500,1.314072847366333,1.3140465420000016,261.03125,12.62109375,500
500,1.2408273220062256,1.2407953109999994,261.04296875,12.5234375,500
500,1.2954115867614746,1.2953853409999994,261.03515625,12.53125,500
500,1.266413688659668,1.266356127,261.359375,12.52734375,500
6000,193.6728551387787,193.668894184,1607.66796875,1358.54296875,6000
6000,195.97816276550293,195.974193023,1605.25390625,1356.34375,6000
6000,199.2965738773346,199.293312602,1607.6484375,1358.4609375,6000
6000,194.6607608795166,194.656305348,1605.453125,1356.3515625,6000
6000,192.44965410232544,192.445106479,1607.32421875,1358.47265625,6000
6000,198.7923228740692,198.760301336,1607.33203125,1358.19921875,6000
6000,199.9020550251007,199.897229903,1606.88671875,1357.5390625,6000
7000,268.4899971485138,268.485433133,1995.89453125,1746.125,7000
7000,267.18390560150146,267.179229637,1995.8671875,1745.9765625,7000
7000,266.88011407852173,266.871572069,1999.89453125,1749.7734375,7000
7000,271.7432079315185,271.73763146100003,1995.65234375,1746.0234375,7000
7000,267.3453750610352,267.340382177,1996.25,1746.28125,7000
7000,265.2263503074646,265.22072034800004,1995.79296875,1745.984375,7000
7000,270.77558946609497,270.77020438,1995.83203125,1746.234375,7000
8000,350.9997088909149,350.993345706,2717.9921875,2468.12890625,8000
8000,353.9375867843628,353.922829113,2455.19921875,2205.3828125,8000
8000,350.7723836898804,350.76232118700005,2718.08984375,2468.26953125,8000
8000,357.63625168800354,357.634489638,2717.87109375,2467.97265625,8000
8000,354.18905115127563,354.174167371,2717.94140625,2468.07421875,8000
8000,349.7820899486542,349.774202783,2718.0234375,2467.97265625,8000
8000,350.60955715179443,350.601504554,2717.9609375,2468.1796875,8000
9000,451.5963191986084,451.587394262,3373.15234375,3123.4375,9000
9000,456.6634483337402,456.585638802,3242.24609375,2992.15234375,9000
9000,452.7326617240906,452.721714354,3234.234375,2984.12109375,9000
