timestamp(s),Cons_FC_PB,Cons_FC_P1,Cons_FC_P2,Cons_FC_P3,Ilum_PB,Ilum_P1,Ilum_P2,Ilum_P3,Temp_PB,Temp_P1,Cons_Ref,Cons_Vent,TOTAL
0.0,0.0,676.217313580923,0.0,0.0,0.0,0.0,0.0,0.0,26.833415182842,28.2157193256038,8134.80367233387,0.0,45314.1242585641
3600.0,0.0,671.901624425379,0.0,0.0,0.0,0.0,0.0,0.0,26.8039296944393,28.2337229904878,8128.14539586425,0.0,45302.3338143187
7200.0,0.0,650.501809309164,0.0,0.0,0.0,0.0,0.0,0.0,26.7417497523546,28.1929871659458,7905.08004611777,0.0,45054.9713048505
10800.0,0.0,520.569266353593,0.0,0.0,0.0,0.0,0.0,0.0,26.6630218924967,28.1213686799743,7743.24944245837,0.0,44760.365097267
14400.0,0.0,393.738121471774,0.0,0.0,0.0,0.0,0.0,0.0,26.5865189608619,28.0522579513545,7519.98554568909,0.0,44407.3483225157
18000.0,0.0,368.149424593128,0.0,0.0,0.0,0.0,0.0,0.0,26.4880898058605,27.9458472174889,7074.36467246712,0.0,43930.8568478594
21600.0,0.0,353.599595333525,0.0,0.0,0.0,0.0,0.0,0.0,26.4036017770434,27.8601916390431,6798.19468946399,0.0,43591.1601505256
25200.0,248.6225892857137,229.784013727562,359.84044919743235,330.09645,3714.5539283499993,4252.11939999999,2236.1086800000003,607.59180078,24.9233627640927,27.3206637757033,32165.7081343808,7445.274626349584,90925.5530032491
28800.0,659.175,977.7508262724325,827.4755681320157,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,25.6782796988593,25.0375282199393,49135.2499375954,9725.290346259173,158909.737244869
32400.0,927.3,1038.4880776445375,889.824354453209,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,26.1709083980137,24.6072882470124,53028.2784822817,9725.290346259173,152794.882307801
36000.0,1195.425,1386.9722091489787,965.2181949933362,660.192899999999,5782.91185669999,4252.11939999999,4472.217360000001,1215.1836015600002,26.959034771179,24.7178887974097,61938.3241422242,9725.290346259173,150590.789934221
