timestamp(s),ventilation,cooling,illumination,total
396000.0,110.6,5610.96,257.58000000000004,99940.52
399600.0,112.97,5564.54,257.41999999999996,62182.51
403200.0,106.45,5504.59,256.41,23842.22
406800.0,126.0,6304.44,257.08000000000004,17091.88
410400.0,135.5,6270.56,257.84,28497.43
414000.0,146.20999999999998,5342.61,258.67,45641.96
417600.0,138.39999999999998,4451.79,258.41999999999996,53266.22
421200.0,169.69,861.4,257.92,48672.64
424800.0,163.99,7308.21,259.66,47936.77
428400.0,173.22,7911.45,209.82999999999998,50883.03
432000.0,187.07,1687.42,4224.16,41627.45
435600.0,176.23000000000002,10243.06,5419.08,49154.01
439200.0,199.12,9412.78,5453.5,46252.2
442800.0,205.88,5890.17,5415.33,47216.1
446400.0,179.51,5068.91,5395.25,47791.43
450000.0,201.95999999999998,8439.65,5403.67,42401.33
453600.0,238.45,9622.36,5491.91,73611.99
457200.0,187.26,6561.62,5535.33,56743.33
460800.0,209.23,5695.91,5519.0,56470.53
464400.0,209.68,6845.32,5519.75,62842.72
468000.0,200.01,7333.45,5515.0,55600.87
471600.0,105.16,8559.09,5513.91,36389.54
475200.0,93.08,8471.83,5508.59,12202.3
478800.0,101.07,9495.01,5510.0,17222.28
482400.0,101.86,8678.8,5523.0,25804.92
486000.0,115.64,9593.72,5531.34,23480.17
489600.0,122.87,8455.13,5540.33,15247.26
493200.0,114.72999999999999,9178.63,5555.17,9716.71
496800.0,108.16999999999999,8282.33,5555.41,13567.59
500400.0,127.78,8156.57,5546.25,33634.07
504000.0,141.75,8857.22,5519.83,46753.66
507600.0,176.01,4928.77,5520.75,44742.73
511200.0,175.46,6416.82,5537.17,45170.86
514800.0,187.39999999999998,10749.49,5483.5,45343.6
518400.0,188.7,4265.37,1912.08,46719.88
522000.0,168.49,9098.05,169.91000000000003,45369.13
525600.0,164.07999999999998,3131.52,167.83,38530.7
529200.0,189.57999999999998,4736.46,171.0,50130.87
532800.0,177.42,7791.91,169.08,48583.62
536400.0,198.60000000000002,5035.97,171.08999999999997,41792.83
540000.0,184.57,8026.0,230.25,62024.93
543600.0,791.64,18631.36,259.0,53939.2
547200.0,3664.06,6982.3,257.08,57765.18
550800.0,3607.6600000000003,8106.23,261.5,47215.9
554400.0,3627.64,6431.03,260.58000000000004,38061.64
558000.0,3542.41,8298.3,260.75,19792.99
561600.0,3638.46,8382.1,259.83,17292.0
565200.0,3546.44,9234.89,258.25,19264.02
568800.0,3541.04,7464.21,255.75,17582.35
572400.0,3638.92,9415.46,256.09,12341.52
576000.0,3635.33,8333.83,256.0,15666.36
579600.0,3607.01,7197.45,256.66999999999996,33168.51
583200.0,3696.5099999999998,6348.77,257.75,36332.12
586800.0,2468.29,5355.93,256.67,31675.49
590400.0,111.84,6192.46,258.83000000000004,39925.79
594000.0,141.02,5085.99,257.5,42814.17
597600.0,166.91,1728.54,258.66999999999996,53567.03
601200.0,200.38,5182.22,207.0,39068.11
604800.0,181.91,5507.13,168.92,48857.1
608400.0,179.56,8562.05,170.17,48420.13
612000.0,205.35,4638.17,169.58,45946.63
615600.0,194.82999999999998,3769.22,168.67,47240.08
619200.0,204.16,8521.36,171.66000000000003,46220.46
622800.0,206.03,4548.36,171.66000000000003,40800.71
626400.0,917.4100000000001,5611.81,231.25,60797.31
630000.0,2339.77,31362.6,13738.16,101590.32
633600.0,5479.53,61350.78,17701.16,140449.43
637200.0,5409.02,66759.62,17687.67,143264.01
640800.0,5529.18,77284.2,17699.83,134373.18
644400.0,5472.19,79161.21,17478.92,113270.87
648000.0,5464.96,79649.94,17595.42,116034.01
651600.0,5535.57,80793.85,17647.58,113764.66
655200.0,5403.049999999999,79239.35,17362.83,150636.78
658800.0,5519.6900000000005,78693.86,15642.17,110776.38
662400.0,5065.58,53408.95,7844.17,81683.64
666000.0,4697.09,46065.38,4582.59,82152.73
669600.0,4644.2,40288.67,4578.75,86914.54
673200.0,3906.08,29344.35,6433.49,91336.8
676800.0,516.8,9635.62,7360.92,77467.73
680400.0,124.27000000000001,5867.84,157.75,49261.1
684000.0,157.23000000000002,1718.41,158.0,48396.16
687600.0,196.7,7885.07,106.92,54429.23
691200.0,190.01,5076.27,70.75,45519.87
694800.0,230.91,5770.81,71.41,48149.14
698400.0,193.4,4250.73,72.84,43477.0
702000.0,203.9,4103.52,70.42,53786.21
705600.0,199.42000000000002,5068.98,70.58,49618.37
709200.0,215.99,4207.12,71.67,43763.12
712800.0,940.5899999999999,11374.11,2534.42,52109.4
716400.0,1930.21,28259.69,13091.029999999999,100390.13
720000.0,5414.62,50061.87,16950.08,146034.55
723600.0,5434.9400000000005,61253.75,17173.66,160219.51
727200.0,5342.030000000001,78380.22,17168.17,152510.76
730800.0,5399.65,79612.12,17467.83,146738.36
734400.0,5403.09,79740.19,17308.370000000003,143620.86
738000.0,5391.469999999999,79501.43,17322.59,130371.01
741600.0,5511.6900000000005,79362.52,17224.67,124017.95
745200.0,5444.83,79478.33,15735.75,96227.75
748800.0,4979.04,70555.65,7802.59,71124.42
752400.0,4772.07,44419.72,4344.5,70537.99
756000.0,4787.64,38408.39,4347.42,84753.43
759600.0,4021.75,36534.74,4346.09,95257.33
763200.0,392.85,10463.06,4342.66,76275.24
766800.0,156.49,5188.78,1504.17,52200.3
770400.0,174.23,0.0,88.33,48372.55
774000.0,175.3,7953.21,38.0,58299.59
777600.0,192.93,3777.38,0.5,49398.1
781200.0,197.42,8307.56,3.92,46686.13
784800.0,203.8,0.0,2.17,45270.4
788400.0,210.24,7134.95,1.58,49669.12
792000.0,217.29000000000002,7034.3,1.08,55961.76
795600.0,223.29,2456.48,1957.08,46662.32
799200.0,1051.6200000000001,7865.9,61.58,60180.96
802800.0,1925.58,26696.64,13377.91,105917.33
806400.0,5374.38,43483.69,17268.84,144984.62
810000.0,5461.65,57129.7,17647.92,152015.49
813600.0,5468.43,73754.31,18129.5,162133.23
817200.0,5462.1,78851.65,17928.0,149624.11
820800.0,5410.48,77620.11,17565.09,138963.38
824400.0,5375.860000000001,78088.89,17418.739999999998,127128.76
828000.0,5475.88,77524.33,17168.489999999998,111250.39
831600.0,5511.610000000001,63573.29,15365.58,85102.5
835200.0,4948.26,48905.85,7039.75,56295.35
838800.0,4648.38,36132.54,4348.34,52385.31
842400.0,4761.33,30317.69,4349.25,62448.92
846000.0,3627.02,23168.35,4350.83,67106.42
849600.0,381.03,8852.4,4346.67,60150.62
853200.0,155.17000000000002,6015.49,1511.42,47535.93
856800.0,180.51999999999998,16.58,92.09,48417.09
860400.0,186.2,8723.58,42.33,55921.18
864000.0,178.10000000000002,3407.86,4.92,45840.48
867600.0,179.63,7127.13,4.75,49751.75
871200.0,193.96,4264.97,6.08,49148.91
874800.0,178.43,4474.6,4.0,52087.04
878400.0,191.01,7720.04,4.92,47323.22
882000.0,201.49,780.68,5.5,45246.38
885600.0,1009.92,10851.66,66.92,54343.0
889200.0,2224.64,29204.98,13599.91,110327.22
892800.0,5433.5599999999995,59572.14,17000.489999999998,154915.12
896400.0,5233.68,68713.71,17547.09,159670.41
900000.0,5275.120000000001,76264.43,17558.25,170975.84
903600.0,5415.84,77566.5,17770.0,161935.67
907200.0,5408.74,78106.19,17513.79,138069.86
910800.0,5282.1900000000005,78232.09,17447.69,123578.02
914400.0,5349.52,79142.21,17139.34,111048.55
918000.0,5551.09,65314.81,15878.91,97098.34
921600.0,2627.5200000000004,29379.09,4962.25,58832.95
925200.0,1185.65,20597.88,2320.75,59977.63
928800.0,478.28999999999996,10488.43,4421.42,69443.12
932400.0,131.84,7008.81,2286.5,84587.53
936000.0,156.71,6871.55,4438.0,70470.57
939600.0,174.54,3403.34,161.41,57713.38
943200.0,171.8,1765.31,162.0,46627.95
946800.0,179.29,7605.81,110.58,52171.48
950400.0,190.60000000000002,3291.8,73.83,52540.23
954000.0,177.48000000000002,7747.81,75.5,59187.44
957600.0,212.09,16.22,75.0,43603.77
961200.0,207.74,6299.12,78.0,51951.37
964800.0,210.5,6515.4,77.92,54465.96
968400.0,210.87,790.84,76.58,50575.86
972000.0,202.62,8898.0,6321.08,57184.22
975600.0,202.0,8551.12,6753.66,107862.59
979200.0,2750.47,6668.27,6780.58,163084.53
982800.0,3575.2999999999997,7697.3,6806.83,162187.81
986400.0,3665.77,8104.64,6854.83,146420.91
990000.0,3674.46,8551.71,6074.92,147034.23
993600.0,1298.87,7556.63,5967.25,142564.08
997200.0,116.99000000000001,6673.52,2147.0,127904.07
1000800.0,108.60000000000001,6456.06,5289.0,123880.06
1004400.0,130.93,6585.44,4731.83,114248.34
1008000.0,120.50999999999999,5435.24,1060.42,55440.26
1011600.0,109.46000000000001,6462.21,176.82999999999998,30351.5
1015200.0,112.52000000000001,5503.39,162.67000000000002,34417.98
1018800.0,139.57999999999998,5121.84,175.75,49424.54
1022400.0,162.43,6134.39,4302.08,64138.78
1026000.0,204.25,0.0,5533.42,58098.18
1029600.0,199.78,9490.24,3582.58,50179.78
1033200.0,184.22,7905.13,109.75,48766.06
1036800.0,189.06,1681.03,3676.5,64774.51
1040400.0,213.39999999999998,11142.33,5331.0,50036.51
1044000.0,218.07000000000002,7777.76,5322.92,47526.22
1047600.0,184.39999999999998,1427.78,5316.67,50990.28
1051200.0,211.79,10086.84,5334.0,54782.31
1054800.0,213.06,10167.02,5355.42,46006.96
1058400.0,242.24,7625.79,5387.58,63697.09
1062000.0,201.76,5852.66,5421.25,62359.78
1065600.0,226.64999999999998,6719.15,5463.08,63639.59
1069200.0,208.51999999999998,7657.56,5421.66,52120.59
1072800.0,175.59,7856.59,5375.5,37119.67
1076400.0,144.07,8103.84,5374.33,24885.95
1080000.0,120.13,7310.66,5353.41,11516.25
1083600.0,120.24000000000001,8315.48,5383.42,15214.26
1087200.0,113.22999999999999,8185.45,5363.83,19658.2
1090800.0,117.58000000000001,8884.64,5364.55,13910.94
1094400.0,121.67,8205.19,5344.33,12454.76
1098000.0,128.51,7286.62,5342.08,10521.68
1101600.0,142.75,8082.51,5362.17,10367.55
1105200.0,142.28,8027.13,5360.17,30834.56
1108800.0,158.89,5378.66,1443.92,46816.03
1112400.0,180.6,52.37,161.92000000000002,44619.96
1116000.0,189.14,10351.87,160.82999999999998,40450.82
1119600.0,160.66,10306.07,109.83,42485.16
1123200.0,193.38,1771.25,73.66,65901.16
1126800.0,183.38,10173.02,77.83,53582.54
1130400.0,171.93,5504.62,77.0,48820.12
1134000.0,172.28000000000003,4796.41,76.58,51805.76
1137600.0,180.26,10272.58,81.25,55225.5
1141200.0,174.83999999999997,5421.27,80.92,53188.23
1144800.0,892.47,9144.2,134.07999999999998,47483.54
1148400.0,2212.7799999999997,37273.19,13115.84,54953.1
1152000.0,5368.04,74224.89,16896.0,50914.37
1155600.0,5440.219999999999,75531.63,17081.08,38835.62
1159200.0,5330.77,77418.07,17044.4,27827.62
1162800.0,5345.0599999999995,78926.18,17242.67,15354.47
1166400.0,5422.98,79839.97,17118.75,8454.36
1170000.0,5385.25,79005.35,17154.09,13530.01
1173600.0,5500.01,78281.37,17088.92,12922.48
1177200.0,5642.24,77165.13,16090.34,12515.68
1180800.0,4975.8,69549.46,12325.67,10144.23
1184400.0,4666.23,53868.01,10944.17,6035.31
1188000.0,4691.76,46350.75,10832.84,20420.38
1191600.0,4152.2,43055.85,10868.58,35512.41
1195200.0,386.36,11414.68,10761.17,46926.44
1198800.0,136.51999999999998,5189.06,7536.75,45657.94
1202400.0,173.62,3472.81,6424.42,50203.65
1206000.0,175.8,10191.11,6158.92,50503.91
1209600.0,189.31,2550.95,3921.58,64237.93
1213200.0,225.75,9330.91,4.5,50750.44
1216800.0,181.39,4724.71,5.75,54958.23
1220400.0,190.25,4750.45,1.08,55048.86
1224000.0,195.51,8798.96,0.58,47891.53
1227600.0,210.89,4704.75,3.75,47901.71
1231200.0,989.94,7008.32,433.58,63216.18
1234800.0,1855.1799999999998,34220.06,14910.08,102664.94
1238400.0,5446.74,75009.83,17277.510000000002,128887.77
1242000.0,5345.93,76326.6,17578.25,141833.34
1245600.0,5400.610000000001,78218.63,18008.25,147545.23
1249200.0,5472.49,78867.06,18133.58,138601.63
1252800.0,5406.15,79668.42,17960.92,135990.11
1256400.0,5407.52,79200.41,17998.489999999998,125927.04
1260000.0,5498.42,77802.86,17485.66,117309.27
1263600.0,5649.799999999999,77936.33,15896.51,87290.43
1267200.0,4925.71,66732.25,10158.75,49040.99
1270800.0,4728.69,50581.32,8829.91,47560.74
1274400.0,4742.84,46237.52,8827.5,54923.43
1278000.0,4127.76,39889.39,8823.66,69980.09
1281600.0,449.31,9331.04,8763.33,54888.76
1285200.0,121.13,5080.2,5908.26,48295.85
1288800.0,157.86,2598.7,4493.25,44601.7
1292400.0,165.67000000000002,9184.13,4442.34,55587.52
