timestamp(s),cooling,ventilation
0.0,5618.916666666667,0.0
3600.0,3465.25,0.0
7200.0,4143.666666666666,0.0
10800.0,3569.6666666666665,0.0
14400.0,4131.75,0.0
18000.0,4159.583333333333,0.0
21600.0,2688.0,0.0
25200.0,3293.9999999999995,6433.916666666667
28800.0,2697.833333333333,6994.5
32400.0,3431.083333333333,6986.500000000001
36000.0,3590.333333333333,6930.416666666666
39600.0,3989.75,6889.666666666667
43200.0,4726.833333333333,6846.666666666666
46800.0,3204.583333333333,1131.5
50400.0,3198.25,0.0
54000.0,3214.5833333333335,0.0
57600.0,4787.583333333333,0.0
61200.0,3891.3333333333335,0.0
64800.0,3113.7499999999995,0.0
68400.0,3017.6666666666665,0.0
72000.0,3014.3333333333335,0.0
75600.0,2989.083333333333,0.0
79200.0,5272.916666666666,0.0
82800.0,2616.0,0.0
86400.0,4809.666666666667,0.0
90000.0,3277.0,0.0
93600.0,3378.4166666666665,0.0
97200.0,3403.0,0.0
100800.0,3630.6666666666665,0.0
104400.0,3073.9999999999995,0.0
108000.0,1773.083333333333,0.0
111600.0,3135.75,6376.583333333334
115200.0,2684.1666666666665,6902.666666666667
118800.0,2102.75,6894.416666666667
122400.0,4074.3333333333335,6233.583333333334
126000.0,4548.083333333334,6739.333333333334
129600.0,3781.9166666666665,6740.249999999999
133200.0,3213.833333333333,1122.9166666666667
136800.0,3994.25,0.0
140400.0,3362.4166666666665,0.0
144000.0,4045.0833333333335,0.0
147600.0,3244.0,0.0
151200.0,4100.833333333334,0.0
154800.0,3283.8333333333335,0.0
158400.0,3078.083333333333,0.0
162000.0,3245.5,0.0
165600.0,5289.833333333333,0.0
169200.0,4691.75,0.0
172800.0,5099.833333333334,0.0
176400.0,3471.8333333333335,0.0
180000.0,4903.916666666667,0.0
183600.0,3068.5000000000005,0.0
187200.0,5666.583333333333,0.0
190800.0,3938.25,0.0
194400.0,3378.5000000000005,0.0
198000.0,11858.916666666668,4225.333333333333
201600.0,7242.166666666666,10593.666666666668
205200.0,8147.416666666666,10685.5
208800.0,13030.500000000002,10643.333333333334
212400.0,14027.750000000002,10597.333333333334
216000.0,26252.416666666668,10540.333333333332
219600.0,31800.499999999996,10466.833333333334
223200.0,31526.25,10442.833333333332
226800.0,31137.333333333332,10443.25
230400.0,29185.416666666668,10087.5
234000.0,26737.416666666668,10062.0
237600.0,26221.5,10056.833333333334
241200.0,14360.75,7604.750000000001
244800.0,7825.333333333334,2227.833333333333
248400.0,2283.666666666667,0.0
252000.0,4879.166666666666,0.0
255600.0,4109.583333333333,0.0
259200.0,4661.333333333334,0.0
262800.0,5187.5,0.0
266400.0,5375.333333333333,0.0
270000.0,3709.7499999999995,0.0
273600.0,6339.666666666667,0.0
277200.0,3214.6666666666665,0.0
280800.0,4175.25,0.0
284400.0,10019.750000000002,5029.333333333334
288000.0,5756.666666666667,10462.75
291600.0,8640.166666666666,10510.0
295200.0,13999.583333333332,10496.083333333332
298800.0,17913.999999999996,10498.083333333334
302400.0,24224.5,9685.000000000002
306000.0,22974.666666666668,9654.916666666668
309600.0,18578.500000000004,10541.916666666666
313200.0,9499.083333333334,10555.333333333336
316800.0,10738.249999999998,10104.666666666666
320400.0,8820.083333333332,10092.75
324000.0,8466.083333333332,10191.666666666666
327600.0,7051.916666666667,7096.583333333333
331200.0,5038.916666666667,2907.9999999999995
334800.0,2964.0,1308.25
338400.0,4592.25,0.0
342000.0,3454.583333333333,0.0
345600.0,4880.083333333333,0.0
349200.0,3496.5,0.0
352800.0,2195.416666666667,0.0
356400.0,4363.583333333333,0.0
360000.0,4692.083333333333,0.0
363600.0,3638.166666666667,0.0
367200.0,1419.5,0.0
370800.0,8812.083333333334,4789.916666666666
374400.0,6932.166666666667,10526.583333333334
378000.0,8455.916666666666,10608.666666666666
381600.0,5225.916666666666,7015.583333333334
385200.0,11529.333333333332,10426.416666666666
388800.0,20129.916666666668,10376.666666666666
392400.0,30607.333333333332,10348.75
396000.0,25632.583333333336,9457.666666666666
399600.0,22124.916666666664,10375.75
403200.0,21194.750000000004,10058.916666666668
406800.0,20960.583333333332,10000.083333333334
410400.0,11399.750000000002,10096.083333333332
414000.0,10137.166666666668,7812.999999999999
417600.0,7628.166666666667,2221.8333333333335
421200.0,3859.5833333333335,0.0
424800.0,0.0,0.0
428400.0,2620.166666666667,0.0
432000.0,3383.8333333333335,0.0
435600.0,2606.0833333333335,0.0
439200.0,3115.916666666667,0.0
442800.0,1829.4166666666665,0.0
446400.0,2352.916666666667,0.0
450000.0,3311.916666666667,0.0
453600.0,6033.75,0.0
457200.0,10880.916666666666,5075.916666666668
460800.0,8018.583333333333,10505.333333333332
464400.0,12548.833333333334,10469.249999999998
468000.0,14717.999999999996,10510.833333333334
471600.0,27741.250000000007,10461.749999999998
475200.0,34071.583333333336,10489.833333333334
478800.0,26013.0,10546.75
482400.0,29396.000000000004,10526.5
486000.0,23402.166666666664,10478.333333333334
489600.0,21407.499999999996,10063.583333333332
493200.0,18781.416666666668,10017.583333333334
496800.0,11503.416666666666,10094.750000000002
500400.0,11380.916666666666,7546.333333333334
504000.0,6262.75,2866.1666666666665
507600.0,2307.9166666666665,1296.5
511200.0,766.4166666666666,0.0
514800.0,0.0,0.0
518400.0,0.0,0.0
522000.0,0.0,0.0
525600.0,0.0,0.0
529200.0,0.0,0.0
532800.0,0.0,0.0
536400.0,0.0,0.0
540000.0,13139.916666666666,0.0
543600.0,10798.666666666666,5029.0
547200.0,7161.666666666666,9590.916666666666
550800.0,8006.166666666667,9690.75
554400.0,13109.333333333332,10477.166666666664
558000.0,19727.916666666668,10419.666666666668
561600.0,17704.166666666668,9540.916666666666
565200.0,24040.583333333332,10480.166666666668
568800.0,17934.416666666664,9564.75
572400.0,13633.916666666664,8352.416666666666
576000.0,9208.083333333334,3115.833333333333
579600.0,6629.083333333333,1933.9166666666665
583200.0,4867.5,1448.3333333333333
586800.0,6377.0,1765.9999999999998
590400.0,3203.0833333333335,319.75
594000.0,3139.4166666666665,0.0
597600.0,784.4166666666666,0.0
601200.0,0.0,0.0
604800.0,0.0,0.0
608400.0,0.0,0.0
612000.0,0.0,0.0
615600.0,0.0,0.0
619200.0,0.0,0.0
622800.0,0.0,0.0
626400.0,0.0,0.0
630000.0,16208.333333333332,5605.333333333333
633600.0,2857.333333333333,6751.666666666666
637200.0,2923.416666666667,6741.166666666666
640800.0,3151.5,6125.916666666667
644400.0,5034.75,6680.583333333334
648000.0,7544.75,7017.166666666668
651600.0,3697.75,1168.0
655200.0,3213.666666666667,0.0
658800.0,3394.8333333333335,0.0
662400.0,2553.0833333333335,0.0
666000.0,4152.583333333333,0.0
669600.0,3272.333333333333,0.0
673200.0,3176.3333333333335,0.0
676800.0,3916.25,0.0
680400.0,3910.9166666666665,0.0
684000.0,0.0,0.0
687600.0,0.0,0.0
691200.0,0.0,0.0
694800.0,0.0,0.0
698400.0,0.0,0.0
702000.0,0.0,0.0
705600.0,0.0,0.0
709200.0,0.0,0.0
712800.0,0.0,0.0
716400.0,16017.583333333334,5009.333333333333
720000.0,2946.25,6716.583333333333
723600.0,5207.166666666667,6691.5
727200.0,3192.5833333333335,6627.833333333333
730800.0,6764.833333333332,6622.083333333333
734400.0,6667.333333333334,6680.333333333334
738000.0,4338.416666666667,1121.0
741600.0,3432.0833333333335,0.0
745200.0,4205.083333333334,0.0
748800.0,4193.333333333333,0.0
752400.0,2493.5833333333335,0.0
756000.0,2480.5833333333335,0.0
759600.0,2450.6666666666665,0.0
763200.0,2331.0833333333335,0.0
766800.0,1620.5,0.0
770400.0,0.0,0.0
