timestamp(s),ventilation,cooling,illumination,total
0.0,0.0,5429.77624317259,0.0,32236.0968556346
3600.0,0.0,5697.14840068142,0.0,31889.1359911551
7200.0,0.0,5715.35717276355,0.0,31649.2585211854
10800.0,0.0,5672.94605533755,0.0,31477.1200889306
14400.0,0.0,5591.03372254125,0.0,31393.3940386812
18000.0,0.0,5472.89894414838,0.0,31032.5500629286
21600.0,0.0,5436.48927909213,0.0,30913.3371605164
25200.0,3716.3577306438738,16810.8658135341,5802.649872349999,30917.4323507909
28800.0,5417.924876247768,44273.6776575146,15593.420473635982,54772.6264646741
32400.0,5417.92487624777,50226.6956955297,15593.420473635982,134443.412857691
36000.0,5417.92487624777,54692.4751573401,15593.420473635982,133594.002893022
39600.0,5417.92487624777,64575.7999226294,15593.420473635982,132280.966693104
43200.0,5417.92487624777,77118.2020258487,15593.420473635982,128935.963915442
46800.0,5417.92487624777,91097.7426663638,15593.420473635982,123055.415313786
50400.0,5417.92487624777,96215.5665199715,15593.420473635982,113773.85569001
54000.0,5417.92487624777,95270.263488415,15593.420473635982,97236.4477457785
57600.0,3166.50488358999,66811.2948422946,15593.420473635982,66614.3393752766
61200.0,1818.745819443332,39956.5578228065,11550.172034699988,12933.5549570103
64800.0,1818.745819443333,38009.4127092764,5007.734362174999,-11196.9898220689
68400.0,1818.745819443333,38365.9356757703,3745.9493279999997,-21286.0211578807
72000.0,373.993904666666,12875.7280949256,3745.9493279999997,-23120.2098423563
75600.0,0.0,6903.92116181875,3745.9493279999997,23689.0601109863
79200.0,0.0,6787.37051957007,3745.9493279999997,36103.8796036013
82800.0,0.0,6624.18238513248,0.0,35999.2386565523
86400.0,0.0,6276.26816871855,0.0,31209.5614406112
90000.0,0.0,6025.34737765169,0.0,31147.5544991668
93600.0,0.0,5931.05620642777,0.0,31106.3968399491
97200.0,0.0,5870.22222502407,0.0,31055.1883221654
100800.0,0.0,5727.86533865765,0.0,31024.7028785881
104400.0,0.0,5598.03451366595,0.0,30995.4482558666
108000.0,0.0,5537.7740906353,0.0,30974.9516991548
111600.0,3716.3577306438738,24537.0854032185,5802.649872349999,30948.6548996256
115200.0,5417.92487624777,48009.7057553158,15593.420473635982,52406.0973443465
118800.0,5417.92487624777,44731.7674613571,15593.420473635982,127532.235856844
122400.0,5417.92487624777,45734.3703302011,15593.420473635982,122414.995137785
126000.0,5417.92487624777,51338.0883053425,15593.420473635982,112925.691049669
129600.0,5417.92487624777,59445.7455686526,15593.420473635982,106206.228191254
133200.0,5417.92487624777,67903.8214540884,15593.420473635982,105211.563958381
136800.0,5417.92487624777,78211.4031705047,15593.420473635982,98662.1190909342
140400.0,5417.92487624777,88526.4029049677,15593.420473635982,88392.703763096
144000.0,3166.50488358999,64833.795828177,15593.420473635982,52423.059466542
147600.0,1818.745819443332,39318.3648592321,11550.172034699988,1465.76252504499
151200.0,1818.745819443333,39733.4592407955,5007.734362174999,-18019.5883989987
154800.0,1818.745819443333,39661.2400479246,3745.9493279999997,-26577.7508336293
158400.0,373.993904666666,12979.6151329047,3745.9493279999997,-28757.1323235881
162000.0,0.0,6995.86021455511,3745.9493279999997,22977.7307471468
165600.0,0.0,6904.50525116216,3745.9493279999997,36036.3977418005
169200.0,0.0,6159.8310937688,0.0,35933.0402929257
172800.0,0.0,6011.80709972421,0.0,31122.7658500513
176400.0,0.0,5910.3766825719,0.0,31063.525012298
180000.0,0.0,5884.19429163022,0.0,30999.2632436902
183600.0,0.0,5675.63692962418,0.0,30936.405821014
187200.0,0.0,5553.35084953647,0.0,30870.3280700664
190800.0,0.0,5565.95599169442,0.0,30835.3269999717
194400.0,0.0,5569.6235009032,0.0,30802.4141926335
198000.0,0.0,5521.19633962199,0.0,30771.7399394274
201600.0,0.0,5494.62089341849,0.0,50761.1115561955
205200.0,0.0,5410.21186525684,0.0,120445.180881259
208800.0,0.0,5480.9805785892,0.0,114844.925919331
212400.0,0.0,5805.11770849991,0.0,106392.261155323
216000.0,0.0,5982.62836926219,0.0,102413.844763593
219600.0,0.0,5929.228856274,0.0,99894.2247008078
223200.0,0.0,6010.41064767876,0.0,91139.0379608064
226800.0,0.0,6216.99678857439,0.0,80772.2010613007
230400.0,0.0,6281.07112040431,0.0,45649.6553902771
234000.0,0.0,6164.29916148653,0.0,-1800.79106346663
237600.0,0.0,6081.67828957907,0.0,-20131.5452580261
241200.0,0.0,6015.55564348002,0.0,-29075.1410828228
244800.0,0.0,5863.65213469366,0.0,-30556.8854125602
248400.0,0.0,5752.18793705844,0.0,22882.5099640855
252000.0,0.0,5573.20367659198,0.0,36039.9952583353
255600.0,0.0,5333.63966258372,0.0,35941.0871818072
259200.0,0.0,5485.943791647,0.0,31131.8356754911
262800.0,0.0,5242.44851263019,0.0,31008.0497975544
266400.0,0.0,5213.73824871508,0.0,30941.3265937899
270000.0,0.0,5250.44028659842,0.0,30863.6495875494
273600.0,0.0,5334.91116806886,0.0,30812.7698024841
277200.0,0.0,5374.13507081825,0.0,30786.4353151721
280800.0,0.0,5591.34732348923,4577.600068349999,30758.790080058
284400.0,0.0,6393.36321913215,14307.254604699981,30723.0027332922
288000.0,5417.924876247768,65419.5853862207,15593.420473635982,51510.759149042
291600.0,5417.92487624777,62615.7517312471,15593.420473635982,121418.038750678
