timestamp(s),cooling,ventilation
0.0,1588.76452600301,0.0
3600.0,1581.0759458509,0.0
7200.0,1574.61887203074,0.0
10800.0,1568.32961756947,0.0
14400.0,1560.29522823495,0.0
18000.0,1556.98602053342,0.0
21600.0,1555.31250591985,0.0
25200.0,1599.41845021977,0.0
28800.0,1497.81109722654,2582.62945321999
32400.0,1474.97342022368,2582.62945321999
36000.0,1488.80015934656,2582.62945321999
39600.0,3109.1226272693,2582.62945321999
43200.0,5297.96329482176,2582.62945321999
46800.0,5840.90382581953,2582.62945321999
50400.0,3885.27709857568,1291.314726609999
54000.0,1620.89396061509,0.0
57600.0,1619.76917635178,0.0
61200.0,1610.22954060385,0.0
64800.0,1609.80469143162,0.0
68400.0,1612.86966546634,0.0
72000.0,1613.94927930787,0.0
75600.0,1612.91938105841,0.0
79200.0,1609.09142718284,0.0
82800.0,1603.88568550976,0.0
86400.0,1596.24994360266,0.0
90000.0,1587.41960010429,0.0
93600.0,1579.10532581728,0.0
97200.0,1573.49553354272,0.0
100800.0,1567.92299399655,0.0
104400.0,1562.70184194374,0.0
108000.0,1563.31395579295,0.0
111600.0,1576.9445614226,0.0
115200.0,1501.64543490909,2582.62945321999
118800.0,1488.96998132674,2582.62945321999
122400.0,1509.04511100075,2582.62945321999
126000.0,4298.11741301412,2582.62945321999
129600.0,6565.70748002876,2582.62945321999
133200.0,7102.21853046102,2582.62945321999
136800.0,5275.45851648297,1291.314726609999
140400.0,1671.61086214494,0.0
144000.0,1662.2580285065,0.0
147600.0,1635.24207796996,0.0
151200.0,1621.98481642133,0.0
154800.0,1626.56473557918,0.0
158400.0,1615.08738198834,0.0
162000.0,1605.26771465462,0.0
165600.0,1602.94801446747,0.0
169200.0,1601.08147330507,0.0
172800.0,1598.30671015469,0.0
176400.0,1595.2817543193,0.0
180000.0,1592.31008117068,0.0
183600.0,1589.10614952599,0.0
187200.0,1585.34430731385,0.0
190800.0,1582.7803077433,0.0
194400.0,1581.01842283118,0.0
198000.0,1512.83412065307,8790.619651739988
201600.0,1511.12712408021,9244.412443039986
205200.0,1648.12710347427,9244.412443039984
208800.0,4359.80122019604,9244.412443039986
212400.0,12649.7169335369,9244.412443039986
216000.0,22238.7839718998,9244.412443039986
219600.0,26245.893663488,9244.412443039986
223200.0,25668.1809131886,9244.412443039984
226800.0,24145.333169689,9244.412443039984
230400.0,24763.585843149,9244.412443039986
234000.0,22917.5355193313,9244.412443039986
237600.0,18453.1461431027,9244.412443039986
241200.0,10844.7900687054,7953.097716429996
244800.0,3864.8817750703,4174.75310936999
248400.0,1646.2719176447,0.0
252000.0,1631.68537528117,0.0
255600.0,1634.50361976843,0.0
259200.0,1635.50635117455,0.0
262800.0,1634.11322597911,0.0
266400.0,1627.29600303186,0.0
270000.0,1625.13535117195,0.0
273600.0,1629.1983602302,0.0
277200.0,1630.27431550844,0.0
280800.0,1627.84622967649,0.0
284400.0,1577.49661980972,8790.619651739988
288000.0,1591.57699363277,9244.412443039986
291600.0,1644.36448416278,9244.412443039984
295200.0,3011.79178605799,9244.412443039986
298800.0,9329.75133017931,9244.412443039986
302400.0,13870.5619299143,9244.412443039986
306000.0,19229.8830176989,9244.412443039986
309600.0,15404.0275387275,9244.412443039984
313200.0,7690.80793600088,9244.412443039984
316800.0,5740.42747430126,9244.412443039986
320400.0,4597.12353293661,9244.412443039986
324000.0,2242.66196102602,9244.412443039984
327600.0,1679.4723708415,7953.097716429996
331200.0,1656.77964797673,4174.75310936999
334800.0,1626.01534319659,0.0
338400.0,1624.31815086494,0.0
342000.0,1624.09031841148,0.0
345600.0,1623.1863798306,0.0
349200.0,1620.39251125109,0.0
352800.0,1618.58324463077,0.0
356400.0,1618.60364490529,0.0
360000.0,1618.31232562432,0.0
363600.0,1616.50600777289,0.0
367200.0,1611.33601464873,0.0
370800.0,1532.98909625549,8790.619651739988
374400.0,1533.92835448498,9244.412443039986
378000.0,1581.51396846603,9244.412443039984
381600.0,2413.82262722855,9244.412443039986
385200.0,12922.444685338,9244.412443039986
388800.0,18230.8315359656,9244.412443039986
392400.0,21542.1700113485,9244.412443039986
396000.0,24776.4458615953,9244.412443039984
399600.0,23372.3962507829,9244.412443039984
403200.0,23200.1754217386,9244.412443039986
406800.0,22084.4746925854,9244.412443039986
410400.0,17728.7235433097,9244.412443039986
414000.0,10510.9570620122,7953.097716429996
417600.0,4171.61464589192,4174.75310936999
421200.0,1666.11407479275,0.0
424800.0,1645.14282553398,0.0
428400.0,1644.06835208691,0.0
432000.0,1646.31009066848,0.0
435600.0,1650.195736223,0.0
439200.0,1650.25824373721,0.0
442800.0,1646.54004638664,0.0
446400.0,1642.1304986005,0.0
450000.0,1639.22763041474,0.0
453600.0,1636.46344310317,0.0
457200.0,1581.85736762234,8790.619651739988
460800.0,1630.29874530873,9244.412443039988
464400.0,2063.59973751127,9244.412443039984
468000.0,6369.23017027568,9244.412443039986
471600.0,17772.1934874422,9244.412443039986
475200.0,24262.9769031614,9244.412443039986
478800.0,25460.5007135945,9244.412443039986
482400.0,25398.5397176448,9244.412443039984
486000.0,24344.7964248808,9244.412443039984
489600.0,22773.1405700818,9244.412443039986
493200.0,20277.7442341081,9244.412443039986
496800.0,16658.3305778295,9244.412443039986
500400.0,10099.1408701542,7953.097716429996
504000.0,4069.55053114789,4174.75310936999
507600.0,1658.01514476144,0.0
511200.0,1639.26914260569,0.0
514800.0,1637.94206583285,0.0
518400.0,1634.42936924095,0.0
522000.0,1630.61712432728,0.0
525600.0,1623.70500121699,0.0
529200.0,1615.66716450277,0.0
532800.0,1609.44081173507,0.0
536400.0,1604.94054735545,0.0
540000.0,1601.7345567665,0.0
543600.0,1576.58722807112,4395.3098258699965
547200.0,1565.06059612911,9244.412443039988
550800.0,1701.04907938105,9244.412443039986
554400.0,3962.25055938929,9244.412443039986
558000.0,14033.7373649355,9244.412443039986
561600.0,20734.1502156067,9244.412443039986
565200.0,20532.7373142832,9244.412443039986
568800.0,18818.088511523,9244.412443039986
572400.0,15426.3386277231,5177.938264739986
576000.0,5728.11085716621,2141.516020219999
579600.0,5532.21580738868,2141.516020219999
583200.0,4888.92851972332,2141.51602022
586800.0,3940.09121931709,2141.51602022
590400.0,1668.5735429236,0.0
594000.0,1635.41394746528,0.0
597600.0,1635.41420918525,0.0
601200.0,1635.90288802124,0.0
604800.0,1636.38859747263,0.0
608400.0,1632.36078123791,0.0
612000.0,1625.82481525145,0.0
615600.0,1621.83855407872,0.0
619200.0,1620.44952957335,0.0
622800.0,1618.14005702058,0.0
626400.0,1615.52950175879,0.0
630000.0,1648.77970875109,0.0
633600.0,1575.74633172471,2582.62945321999
637200.0,1559.13129311607,2582.62945321999
640800.0,2710.24213716099,2582.62945321999
644400.0,8427.46545070066,2582.62945321999
648000.0,11258.9408812966,2582.62945321999
651600.0,11658.9836916372,2582.62945321999
655200.0,7137.21417579729,1291.314726609999
658800.0,1739.96807100391,0.0
662400.0,1716.94931659814,0.0
666000.0,1689.44398002491,0.0
669600.0,1667.84291427172,0.0
