mad_timestamp(s),mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-1.0,-0.1,0.19999999999996732,0.19999999999996732,1.5,0.5,3,2,0.15000000000000568,0.04999999999996163,0.19999999999996732,0.15000000000000568,0.04999999999996163,0.19999999999996732,0.3003003003002931,0.20020020020020018,99.4994994994995
0.4,0.4,0.4,0.4,0.4,0.4,0.4,50,-1.0,-0.1,0.6135666222996077,1.1293333333350155,4.984375,6.931567705748463,319,64,0.2997718334567452,0.1642995087867034,0.6135666222996077,0.44076581196554365,0.3096680415590005,1.1293333333350155,16.116116116116117,13.013013013013014,70.87087087087087
0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,50,-1.0,-0.1,0.984914886338013,1.8686666666631737,2.771812080536913,4.190306495764322,413,149,0.49934552268449134,0.21430601632625632,0.984914886338013,0.7514740957963515,0.4330416525378098,1.8686666666631737,20.820820820820813,34.134134134134136,45.04504504504504
0.8,0.8,0.8,0.8,0.8,0.8,0.8,50,-1.0,-0.1,1.3459940564501722,2.4520000000021454,2.393258426966292,2.0939612346738006,426,178,0.6657395167297168,0.2888547556222017,1.3459940564501722,1.0529107257543675,0.571007906058831,2.4520000000021454,21.82182182182183,51.95195195195195,26.226226226226224
1.0,1.0,1.0,1.0,1.0,1.0,1.0,50,-1.0,-0.1,1.4256226709755924,2.647333333335798,2.194871794871795,1.795428485098169,428,195,0.7758004858512144,0.34720086569465725,1.4256226709755924,1.2125688350981192,0.6501580159373198,2.647333333335798,21.921921921921925,66.16616616616616,11.911911911911911
1.2,1.2,1.2,1.2,1.2,1.2,1.2,50,-1.0,-0.1,1.7114256565150987,2.9713333333351812,2.1472081218274113,1.7836410665117672,423,197,0.8780847723428924,0.3767684994779286,1.7114256565150987,1.3648612289798527,0.7085546050768177,2.9713333333351812,21.72172172172171,70.77077077077078,7.5075075075075075
1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,50,-1.0,-0.1,1.9018356954128326,3.574666666663248,2.25531914893617,1.8068202362794878,424,188,0.9874021675105817,0.4209334195107869,1.9886689015532426,1.5257102222220458,0.7888796667040001,3.574666666663248,21.72172172172172,75.07507507507508,3.203203203203203
1.6,1.6,1.6,1.6,1.6,1.6,1.6,50,-1.0,-0.1,2.4834745174877177,3.9388888888885134,2.3444444444444446,1.811451910675897,422,180,1.0972476632874015,0.4672405152495409,2.52623591559372,1.6695251736109125,0.8488654190480106,4.361111111111498,21.62162162162162,76.87687687687688,1.5015015015015014
1.8,1.8,1.8,1.8,1.8,1.8,1.8,50,-1.0,-0.1,2.5290492528730746,4.25555555555556,2.2857142857142856,1.8083184726665622,416,182,1.20085290723365,0.5083625427335879,2.615339366124399,1.822670686189863,0.9283780018626273,4.599999999999994,21.32132132132132,77.47747747747748,1.2012012012012012
2.0,2.0,2.0,2.0,2.0,2.0,2.0,50,-1.0,-0.1,2.6943351638780197,4.6555555555559085,2.3093922651933703,1.836815093009371,418,181,1.3051741071485645,0.5685000297875819,3.0036825135117153,1.9685532763530398,1.024712514657887,5.14444444444468,21.42142142142142,78.07807807807808,0.5005005005005005
