mad_timestamp(s),mad_x,mad_y,mad_z,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.2,0.2,0.2,0.2,50,-1.0,-0.1,0.14999999999999147,0.14999999999999147,15.0,7.0,30,2,0.00011261261261260622,0.004108431609674249,0.14999999999999147,0.00011261261261260622,0.004108431609674249,0.14999999999999147,1.8890920170627687,81.17001828153565,16.940889701401584
0.4,0.4,0.4,0.4,50,-1.0,-0.1,0.14999999999999147,0.14999999999999147,15.0,7.0,30,2,0.00011261261261260622,0.004108431609674249,0.14999999999999147,0.00011261261261260622,0.004108431609674249,0.14999999999999147,1.8890920170627687,81.17001828153565,16.940889701401584
0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,50,-1.0,-0.1,0.14999999999999147,0.14999999999999147,15.0,7.0,30,2,0.00011261261261260622,0.004108431609674249,0.14999999999999147,0.00011261261261260622,0.004108431609674249,0.14999999999999147,1.8890920170627687,81.17001828153565,16.940889701401584
0.8,0.8,0.8,0.8,50,-1.0,-0.1,0.14999999999999147,0.14999999999999147,15.0,7.0,30,2,0.00011261261261260622,0.004108431609674249,0.14999999999999147,0.00011261261261260622,0.004108431609674249,0.14999999999999147,1.8890920170627687,81.17001828153565,16.940889701401584
1.0,1.0,1.0,1.0,50,-1.0,-0.1,0.14999999999999147,0.14999999999999147,15.0,7.0,30,2,0.00011261261261260622,0.004108431609674249,0.14999999999999147,0.00011261261261260622,0.004108431609674249,0.14999999999999147,1.8890920170627687,81.17001828153565,16.940889701401584
1.2,1.2,1.2,1.2,50,-1.0,-0.1,1.120044641967453,1.1300000000000001,15.0,7.0,30,2,0.0017316676476517516,0.04201270396171321,1.120044641967453,0.0017391304347825962,0.042211763722275225,1.1300000000000001,1.889092017062758,81.29189518586229,16.819012797074954
1.4000000000000001,1.4000000000000001,1.4000000000000001,1.4000000000000001,50,-1.0,-0.1,1.3862178760930821,1.960000000000008,13.333333333333334,9.741092797468305,40,3,0.004919760220555695,0.07244678606228075,1.3862178760930821,0.005884988797610178,0.0899598544944816,1.960000000000008,2.1937842778793417,81.59658744667885,16.209628275441805
1.6,1.6,1.6,1.6,50,-1.0,-0.1,1.3862178760930821,1.960000000000008,13.333333333333334,9.741092797468305,40,3,0.004919760220555695,0.07244678606228075,1.3862178760930821,0.005884988797610178,0.0899598544944816,1.960000000000008,2.1937842778793417,81.59658744667885,16.209628275441805
1.8,1.8,1.8,1.8,50,-1.0,-0.1,1.3862178760930821,1.960000000000008,13.333333333333334,9.741092797468305,40,3,0.004919760220555695,0.07244678606228075,1.3862178760930821,0.005884988797610178,0.0899598544944816,1.960000000000008,2.1937842778793417,81.59658744667885,16.209628275441805
2.0,2.0,2.0,2.0,50,-1.0,-0.1,1.3862178760930821,1.960000000000008,13.333333333333334,9.741092797468305,40,3,0.004919760220555695,0.07244678606228075,1.3862178760930821,0.005884988797610178,0.0899598544944816,1.960000000000008,2.1937842778793417,81.59658744667885,16.209628275441805
2.2,2.2,2.2,2.2,50,-1.0,-0.1,3.1030630029053508,5.339999999999991,13.333333333333334,9.741092797468305,40,3,0.010824104727113038,0.14503833095213514,3.1030630029053508,0.01485096870342774,0.21431748006313325,5.339999999999991,2.193784277879349,81.7794028031688,16.026812918951858
2.4000000000000004,2.4000000000000004,2.4000000000000004,2.4000000000000004,50,-1.0,-0.1,3.1030630029053508,5.339999999999991,13.333333333333334,9.741092797468305,40,3,0.012476924059174157,0.15711952545404156,3.1030630029053508,0.016537602382725263,0.2229695341140193,5.339999999999991,2.1937842778793364,81.84034125533212,15.965874466788543
2.6000000000000005,2.6000000000000005,2.6000000000000005,2.6000000000000005,50,-1.0,-0.1,3.2725525205869497,5.359999999999999,38.0,43.003875794320365,228,6,0.06473790451412,0.3759668531695194,3.2725525205869497,0.09878349022447505,0.5931006634668036,5.359999999999999,7.9219987812309505,84.15600243753809,7.921998781230958
2.8000000000000003,2.8000000000000003,2.8000000000000003,2.8000000000000003,50,-1.0,-0.1,3.517157943567498,5.719999999999992,28.5,40.70626487409524,228,8,0.07332516509332211,0.40902564237553096,3.517157943567498,0.11176895306859208,0.6418405202825086,5.719999999999992,7.9219987812309585,84.39975624619134,7.678244972577697
3.0000000000000004,3.0000000000000004,3.0000000000000004,3.0000000000000004,50,-1.0,-0.1,3.9308523248781504,6.169999999999995,32.285714285714285,41.8593368513245,226,7,0.0916354270028003,0.48732172090014286,3.9308523248781504,0.1381739755571531,0.7493794038671393,6.169999999999995,7.861060329067642,84.76538695917124,7.37355271176112
3.2,3.2,3.2,3.2,50,-1.0,-0.1,4.041843638737151,6.489999999999995,32.285714285714285,41.8593368513245,226,7,0.10197105490094385,0.531120167947203,4.778001674340441,0.15129842180774744,0.8055150423162785,8.19000000000001,7.861060329067646,84.94820231566118,7.190737355271176
3.4000000000000004,3.4000000000000004,3.4000000000000004,3.4000000000000004,50,-1.0,-0.1,4.4982329864069985,7.190000000000005,32.285714285714285,41.8593368513245,226,7,0.11333251390383399,0.5717165543741549,4.778001674340441,0.16840486409155933,0.8662121109789848,8.19000000000001,7.86106032906764,85.19195612431444,6.946983546617916
