mad_accel(m/s2),mad_timestamp(s),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
0.0,0.0,200,-1.0,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1438848920863336,0.0,0.0,0.0,99.85611510791367,100.0
0.02,0.02,200,-1.0,-0.1,0.01962,0.01962,0.018197000000000303,0.018197000000000303,5.666666666666667,4.422166387140534,34,6,0.008238100961538156,0.0061421369468175726,0.01962,0.008238100961538156,0.0061421369468175726,0.01962,0.00974813043478266,0.005414794349977683,0.018197000000000303,0.00974813043478266,0.005414794349977683,0.018197000000000303,2.589928057553955,1.4705882352941302,59.856115107913666,16.911764705882355,37.55395683453238,81.61764705882352
0.04,0.04,200,-1.0,-0.1,0.038805999999999785,0.038805999999999785,0.038805999999999785,0.038805999999999785,5.5,6.363961030678928,44,8,0.013071099447513543,0.010831001905521255,0.038805999999999785,0.013071099447513543,0.010831001905521255,0.038805999999999785,0.017342479166666706,0.011160198708262197,0.038805999999999785,0.017342479166666706,0.011160198708262197,0.038805999999999785,3.3093525179856194,3.67647058823529,78.12949640287769,35.294117647058826,18.56115107913669,61.029411764705884
0.06,0.06,200,-1.0,-0.1,0.05854400000000087,0.05854400000000087,0.05854400000000087,0.05854400000000087,4.4,5.4258639865002145,44,10,0.017111755301794204,0.015423417503055809,0.05854400000000087,0.017111755301794204,0.015423417503055809,0.05854400000000087,0.026674985915493037,0.017378886957254824,0.05854400000000087,0.026674985915493037,0.017378886957254824,0.05854400000000087,3.3093525179856016,5.147058823529406,88.20143884892087,52.20588235294118,8.489208633093526,42.64705882352941
0.08,0.08,200,-1.0,-0.1,0.0765180000000003,0.0765180000000003,0.0765180000000003,0.0765180000000003,4.2,5.015974481593782,42,10,0.019528247278382344,0.01866524188156098,0.0765180000000003,0.019528247278382344,0.01866524188156098,0.0765180000000003,0.03974815000000004,0.024245191150978767,0.0765180000000003,0.03974815000000004,0.024245191150978767,0.0765180000000003,3.165467625899277,5.1470588235294095,92.5179856115108,73.52941176470588,4.316546762589928,21.323529411764707
0.1,0.1,200,-1.0,-0.1,0.0961380000000003,0.0961380000000003,0.0961380000000003,0.0961380000000003,4.666666666666667,5.163977794943222,42,9,0.021529912518853462,0.021803820494543248,0.0961380000000003,0.021529912518853462,0.021803820494543248,0.0961380000000003,0.04739393220338985,0.028749221466165903,0.0961380000000003,0.04739393220338985,0.028749221466165903,0.0961380000000003,3.1654676258992804,5.882352941176469,95.39568345323741,86.76470588235294,1.4388489208633095,7.352941176470589
0.12,0.12,200,-1.0,-0.1,0.1098720000000009,0.1098720000000009,0.1098720000000009,0.1098720000000009,5.0,5.361902647381804,40,8,0.022913865671641553,0.02374411592656589,0.1098720000000009,0.022913865671641553,0.02374411592656589,0.1098720000000009,0.053363535999999996,0.030148404887700143,0.1098720000000009,0.053363535999999996,0.030148404887700143,0.1098720000000009,3.021582733812945,5.147058823529417,96.40287769784173,91.91176470588235,0.5755395683453237,2.941176470588235
0.14,0.14,200,-1.0,-0.1,0.1098720000000009,0.1098720000000009,0.1098720000000009,0.1098720000000009,5.0,5.361902647381804,40,8,0.022913865671641553,0.02374411592656589,0.1098720000000009,0.022913865671641553,0.02374411592656589,0.1098720000000009,0.053363535999999996,0.030148404887700143,0.1098720000000009,0.053363535999999996,0.030148404887700143,0.1098720000000009,3.021582733812945,5.147058823529417,96.40287769784173,91.91176470588235,0.5755395683453237,2.941176470588235
0.16,0.16,200,-1.0,-0.1,0.13353800000000038,0.13353800000000038,0.13353800000000038,0.13353800000000038,3.6363636363636362,3.7239452996843716,40,11,0.023271663690475956,0.024793807793995495,0.1530360000000006,0.023271663690475956,0.024793807793995495,0.1530360000000006,0.05485593700787401,0.03215890541208013,0.1530360000000006,0.05485593700787401,0.03215890541208013,0.1530360000000006,3.021582733812954,5.147058823529404,96.69064748201438,93.38235294117648,0.28776978417266186,1.4705882352941175
0.18,0.18,200,-1.0,-0.1,0.13353800000000038,0.13353800000000038,0.13353800000000038,0.13353800000000038,4.444444444444445,4.030746032714901,40,9,0.023392828869047384,0.02495015665064752,0.1530360000000006,0.023392828869047384,0.02495015665064752,0.1530360000000006,0.05517845312499999,0.03223857412078815,0.1530360000000006,0.05517845312499999,0.03223857412078815,0.1530360000000006,3.021582733812954,4.41176470588236,96.69064748201438,94.11764705882352,0.28776978417266186,1.4705882352941175
