timestamp(s),s1,s2,s3,s4,s5,s6
0.0,89.89378469402365,89.9991116802953,89.99963830204416,90.00280530887213,90.0965637359004,73.00435315093259
20.0,89.66186234537308,89.9930158600871,90.87031644357555,90.79644295996023,90.02637782780454,72.49232217869832
40.0,89.83678212445338,90.00357140096693,91.73179637006595,91.57220528998609,89.99117921723158,71.70230219807618
60.0,89.78431446814628,89.99736370296945,92.60453171330981,92.37399318020512,90.00259029353191,71.1285333800362
80.0,89.7776536707805,89.99597358404695,93.47398106850862,93.16708497185327,90.00076831704564,70.58249507980256
100.0,89.77200530725099,89.99830737689207,94.34095802724363,93.95149132863142,89.99800782302206,69.98014022032304
120.0,89.77326620338768,89.99985066551127,95.20715068239919,94.73928994716778,89.99939381971045,69.3557640800626
140.0,89.77649954277628,89.99655755782682,96.07577048314556,95.53686362718528,90.00003611813676,68.74901380454806
160.0,89.77508098711266,89.9953870283053,96.9433728169737,96.32771239383779,89.99978628146707,68.14230970788766
180.0,89.7755791692372,89.9969951534441,97.80816664194381,97.1139850560006,89.99984166137918,67.53548756253421
200.0,89.77568168649759,89.99411450505414,98.67640125865016,97.90728304518701,89.99991040185094,66.92865415694523
220.0,89.77573351829467,89.99344392121792,99.54324745612618,98.69629494183305,89.99986005876451,66.32173434785608
240.0,89.77586062272518,89.99410823310728,100.40859285520679,99.48535978741786,89.99989208482612,65.71486216844097
260.0,89.77576340095283,89.99325296131538,101.27685690536462,100.27658976046165,89.99994621674541,65.10818389523322
280.0,89.77584908483922,89.99481656056803,102.14510523417496,101.06640996963215,89.99984037958785,64.50121444034222
300.0,89.77585198320271,89.99815650118678,103.01445251319514,101.85744581974889,89.99982150309333,63.89431949096515
320.0,89.77577649143753,90.00387851804217,103.88534598148316,102.64921872328553,89.99976115804972,63.28748713344116
340.0,89.77572920590279,90.01202124149616,104.75835791303483,103.44211247838771,89.99968373029449,62.68063933023633
360.0,89.77562256293311,90.02306063335394,105.63272711903086,104.23534272656059,89.99958385043917,62.07379379100963
