timestamp(s),s1,s2,s3,s4,s5,s6
2020,90,90,180,172,90,10
2030,90,90,180,172,90,10
2040,90,90,180,172,90,10
2050,90,90,180,172,90,10
2060,90,90,180,172,90,10
2070,90,90,180,172,90,10
2080,90,90,180,172,90,10
2090,90,90,180,172,90,10
2100,90,90,180,172,90,10
2110,90,90,180,172,90,10
2120,90,90,180,172,90,10
2130,90,90,180,172,90,10
2140,90,90,180,172,90,10
2150,90,90,180,172,90,10
2160,90,90,180,172,90,10
2170,90,90,180,172,90,10
2180,90,90,180,172,90,10
2190,90,90,180,172,90,10
2200,90,90,180,172,90,10
2210,90,90,180,172,90,10
2220,90,90,180,172,90,10
2230,90,90,180,172,90,10
2240,90,90,180,172,90,10
2250,90,90,180,172,90,10
2260,90,90,180,172,90,10
2270,90,90,180,172,90,10
2280,90,90,180,172,90,10
2290,90,90,180,172,90,10
2300,90,90,180,172,90,10
2310,90,90,180,172,90,10
2320,90,90,180,172,90,10
2330,90,90,180,172,90,10
2340,90,90,180,172,90,10
2350,90,90,180,172,90,10
2360,90,90,180,172,90,10
2370,90,90,180,172,90,10
2380,90,90,180,172,90,10
2390,90,90,180,172,90,10
2400,90,90,180,172,90,10
2410,90,90,180,172,90,10
2420,90,90,180,172,90,10
2430,90,90,180,172,90,10
2440,90,90,180,172,90,10
2450,90,90,180,172,90,10
2460,90,90,180,172,90,10
2470,90,90,180,172,90,10
2480,90,90,180,172,90,10
2490,90,90,180,172,90,10
2500,90,90,180,172,90,10
2510,90,90,180,172,90,10
2520,90,90,180,172,90,10
2530,90,90,180,172,90,10
2540,90,90,180,172,90,10
2550,90,90,180,172,90,10
2560,90,90,180,172,90,10
2570,90,90,180,172,90,10
2580,90,90,180,172,90,10
2590,90,90,180,172,90,10
2600,90,90,180,172,90,10
2610,90,90,180,172,90,10
2620,90,90,180,172,90,10
2630,90,90,180,172,90,10
2640,90,90,180,172,90,10
2650,90,90,180,172,90,10
2660,90,90,180,172,90,10
2670,90,90,180,172,90,10
2680,90,90,180,172,90,10
2690,90,90,180,172,90,10
2700,90,90,180,172,90,10
2710,90,90,180,172,90,10
2720,90,90,180,172,90,10
2730,90,90,180,172,90,10
2740,90,90,180,172,90,10
2750,90,90,180,172,90,10
2760,90,90,180,172,90,10
2770,90,90,180,172,90,10
2780,90,90,180,172,90,10
2790,90,90,180,172,90,10
2800,90,90,180,172,90,10
2810,90,90,180,172,90,10
2820,90,90,180,172,90,10
2830,90,90,180,172,90,10
2840,90,90,180,172,90,10
2850,90,90,180,172,90,10
2860,90,90,180,172,90,10
2870,90,90,180,172,90,10
2880,90,90,180,172,90,10
2890,90,90,180,172,90,10
2900,90,90,180,172,90,10
2910,90,90,180,172,90,10
2920,90,90,180,172,90,10
2930,90,90,180,172,90,10
2940,90,90,180,172,90,10
2950,90,90,180,172,90,10
2960,90,90,180,172,90,10
2970,90,90,180,172,90,10
2980,90,90,180,172,90,10
2990,90,90,180,172,90,10
3000,90,90,180,172,90,10
3010,90,90,180,172,90,10
3020,90,90,180,172,90,10
3030,90,90,180,172,90,10
3040,90,90,180,172,90,10
3050,90,90,180,172,90,10
3060,90,90,180,172,90,10
3070,90,90,180,172,90,10
3080,90,90,180,172,90,10
3090,90,90,180,172,90,10
3100,90,90,180,172,90,10
3110,90,90,180,172,90,10
3120,90,90,180,172,90,10
3130,90,90,180,172,90,10
3140,90,90,180,172,90,10
3150,90,90,180,172,90,10
3160,90,90,180,172,90,10
3170,90,90,180,172,90,10
3180,90,90,180,172,90,10
3190,90,90,180,172,90,10
3200,90,90,180,172,90,10
3210,90,90,180,172,90,10
3220,90,90,180,172,90,10
3230,90,90,180,172,90,10
3240,90,90,180,172,90,10
3250,90,90,180,172,90,10
3260,90,90,180,172,90,10
3270,90,90,180,172,90,10
3280,90,90,180,172,90,10
3290,90,90,180,172,90,10
3300,90,90,180,172,90,10
3310,90,90,180,172,90,10
3320,90,90,180,172,90,10
3330,90,90,180,172,90,10
3340,90,90,180,172,90,10
3350,90,90,180,172,90,10
3360,90,90,180,172,90,10
3370,90,90,180,172,90,10
3380,90,90,180,172,90,10
3390,90,90,180,172,90,10
3400,90,90,180,172,90,10
3410,90,90,180,172,90,10
3420,90,90,180,172,90,10
3430,90,90,180,172,90,10
3440,90,90,180,172,90,10
3450,90,90,180,172,90,10
3460,90,90,180,172,90,10
3470,90,90,180,172,90,10
3480,90,90,180,172,90,10
3490,90,90,180,172,90,10
3500,90,90,180,172,90,10
3510,90,90,180,172,90,10
3520,90,90,180,172,90,10
3530,90,90,180,172,90,10
3540,90,90,180,172,90,10
3550,90,90,180,172,90,10
3560,90,90,180,172,90,10
3570,90,90,180,172,90,10
3580,90,90,180,172,90,10
