timestamp(s),s1,s2,s3,s4,s5,s6,x,y,z,distance_zero
1900,90,90,172,165,90,15,-154.09,0,43,159.9772737
1920,90,90,172.4,165.4,90,14.7,-151.77,0,42,157.4742293
1940,90,90,172.8,165.8,90,14.4,-149.44,0,40,154.7007227
1960,90,90,173.2,166.2,90,14.1,-147.09,0,39,152.1724946
1980,90,90,173.6,166.6,90,13.8,-144.72,0,37,149.3749591
2000,90,90,176,169,90,12,-130.18,0,29,133.3710328
2020,90,90,176.4,169.3,90,11.8,-128.02,0,28,131.0462529
2040,90,90,176.8,169.6,90,11.6,-125.85,0,27,128.713723
2060,90,90,177.2,169.9,90,11.4,-123.67,0,26,126.3735293
2080,90,90,177.6,170.2,90,11.2,-121.48,0,25,124.0257651
2100,90,90,180,172,90,10,-108.14,0,19,109.7964462
2120,90,90,180,172,90,10.3,-108.14,0,19,109.7964462
2140,90,90,180,172,90,10.6,-108.14,0,19,109.7964462
2160,90,90,180,172,90,10.9,-108.14,0,19,109.7964462
2180,90,90,180,172,90,11.2,-108.14,0,19,109.7964462
2200,90,90,180,172,90,13,-108.14,0,19,109.7964462
2220,90,90,180,172,90,13.3,-108.14,0,19,109.7964462
2240,90,90,180,172,90,13.6,-108.14,0,19,109.7964462
2260,90,90,180,172,90,13.9,-108.14,0,19,109.7964462
2280,90,90,180,172,90,14.2,-108.14,0,19,109.7964462
2300,90,90,180,172,90,16,-108.14,0,19,109.7964462
2320,90,90,180,172,90,16.3,-108.14,0,19,109.7964462
2340,90,90,180,172,90,16.6,-108.14,0,19,109.7964462
2360,90,90,180,172,90,16.9,-108.14,0,19,109.7964462
2380,90,90,180,172,90,17.2,-108.14,0,19,109.7964462
2400,90,90,180,172,90,19,-108.14,0,19,109.7964462
2420,90,90,180,172,90,19.3,-108.14,0,19,109.7964462
2440,90,90,180,172,90,19.6,-108.14,0,19,109.7964462
2460,90,90,180,172,90,19.9,-108.14,0,19,109.7964462
2480,90,90,180,172,90,20.2,-108.14,0,19,109.7964462
2500,90,90,180,172,90,22,-108.14,0,19,109.7964462
2520,90,90,180,172,90,22.3,-108.14,0,19,109.7964462
2540,90,90,180,172,90,22.6,-108.14,0,19,109.7964462
2560,90,90,180,172,90,22.9,-108.14,0,19,109.7964462
2580,90,90,180,172,90,23.2,-108.14,0,19,109.7964462
2600,90,90,180,172,90,25,-108.14,0,19,109.7964462
2620,90,90,180,172,90,25.3,-108.14,0,19,109.7964462
2640,90,90,180,172,90,25.6,-108.14,0,19,109.7964462
2660,90,90,180,172,90,25.9,-108.14,0,19,109.7964462
2680,90,90,180,172,90,26.2,-108.14,0,19,109.7964462
2700,90,90,180,172,90,28,-108.14,0,19,109.7964462
2720,90,90,180,172,90,28.4,-108.14,0,19,109.7964462
2740,90,90,180,172,90,28.8,-108.14,0,19,109.7964462
2760,90,90,180,172,90,29.2,-108.14,0,19,109.7964462
2780,90,90,180,172,90,29.6,-108.14,0,19,109.7964462
2800,90,90,180,172,90,32,-108.14,0,19,109.7964462
2820,90,90,180,172,90,32.3,-108.14,0,19,109.7964462
2840,90,90,180,172,90,32.6,-108.14,0,19,109.7964462
2860,90,90,180,172,90,32.9,-108.14,0,19,109.7964462
2880,90,90,180,172,90,33.2,-108.14,0,19,109.7964462
2900,90,90,180,172,90,35,-108.14,0,19,109.7964462
2920,90,90,180,172,90,35.3,-108.14,0,19,109.7964462
2940,90,90,180,172,90,35.6,-108.14,0,19,109.7964462
2960,90,90,180,172,90,35.9,-108.14,0,19,109.7964462
2980,90,90,180,172,90,36.2,-108.14,0,19,109.7964462
3000,90,90,180,172,90,38,-108.14,0,19,109.7964462
3020,90,90,180,172,90,38.3,-108.14,0,19,109.7964462
3040,90,90,180,172,90,38.6,-108.14,0,19,109.7964462
3060,90,90,180,172,90,38.9,-108.14,0,19,109.7964462
3080,90,90,180,172,90,39.2,-108.14,0,19,109.7964462
3100,90,90,180,172,90,41,-108.14,0,19,109.7964462
3120,90,90,180,172,90,41.3,-108.14,0,19,109.7964462
3140,90,90,180,172,90,41.6,-108.14,0,19,109.7964462
3160,90,90,180,172,90,41.9,-108.14,0,19,109.7964462
3180,90,90,180,172,90,42.2,-108.14,0,19,109.7964462
3200,90,90,180,172,90,44,-108.14,0,19,109.7964462
3220,90,90,180,172,90,44.3,-108.14,0,19,109.7964462
3240,90,90,180,172,90,44.6,-108.14,0,19,109.7964462
3260,90,90,180,172,90,44.9,-108.14,0,19,109.7964462
3280,90,90,180,172,90,45.2,-108.14,0,19,109.7964462
3300,90,90,180,172,90,47,-108.14,0,19,109.7964462
3320,90,90,180,172,90,47.3,-108.14,0,19,109.7964462
3340,90,90,180,172,90,47.6,-108.14,0,19,109.7964462
3360,90,90,180,172,90,47.9,-108.14,0,19,109.7964462
3380,90,90,180,172,90,48.2,-108.14,0,19,109.7964462
3400,90,90,180,172,90,50,-108.14,0,19,109.7964462
3420,90,90,180,172,90,50.4,-108.14,0,19,109.7964462
3440,90,90,180,172,90,50.8,-108.14,0,19,109.7964462
3460,90,90,180,172,90,51.2,-108.14,0,19,109.7964462
3480,90,90,180,172,90,51.6,-108.14,0,19,109.7964462
3500,90,90,180,172,90,54,-108.14,0,19,109.7964462
3520,90,90,180,172,90,54.3,-108.14,0,19,109.7964462
3540,90,90,180,172,90,54.6,-108.14,0,19,109.7964462
3560,90,90,180,172,90,54.9,-108.14,0,19,109.7964462
3580,90,90,180,172,90,55.2,-108.14,0,19,109.7964462
3600,90,90,180,172,90,57,-108.14,0,19,109.7964462
3620,90,90,180,172,90,57.3,-108.14,0,19,109.7964462
3640,90,90,180,172,90,57.6,-108.14,0,19,109.7964462
3660,90,90,180,172,90,57.9,-108.14,0,19,109.7964462
3680,90,90,180,172,90,58.2,-108.14,0,19,109.7964462
3700,90,90,180,172,90,60,-108.14,0,19,109.7964462
3720,90,90,180,172,90,60.3,-108.14,0,19,109.7964462
3740,90,90,180,172,90,60.6,-108.14,0,19,109.7964462
3760,90,90,180,172,90,60.9,-108.14,0,19,109.7964462
3780,90,90,180,172,90,61.2,-108.14,0,19,109.7964462
3800,90,90,180,172,90,63,-108.14,0,19,109.7964462
3820,90,90,180,172,90,63.3,-108.14,0,19,109.7964462
3840,90,90,180,172,90,63.6,-108.14,0,19,109.7964462
3860,90,90,180,172,90,63.9,-108.14,0,19,109.7964462
3880,90,90,180,172,90,64.2,-108.14,0,19,109.7964462
3900,90,90,180,172,90,66,-108.14,0,19,109.7964462
