mad_timestamp(s),mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,1.7763568394002505e-15,0.22360679774994083,0.2999999999999545,45.5,36.704904304465906,182,4,0.0004925804089652502,0.009308340359252116,0.22360679774994083,0.0005529225908373074,0.010870956210508128,0.2999999999999545,6.520414381474701,77.14808043875686,16.331505179768435
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-2.0,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.9,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.7999999999999998,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.6999999999999997,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.5999999999999996,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.4999999999999996,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.3999999999999995,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.2999999999999994,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-2.5,-1.1999999999999993,0.0,0.0,15.0,6.0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,1.8890920170627545,72.0292504570384,26.081657525898844
