mad_timestamp(s),mad_s1,mad_s2,mad_s3,mad_s4,mad_s5,mad_s6,low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-2.0,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.9,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.7999999999999998,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.6999999999999997,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.5999999999999996,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.4999999999999996,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.3999999999999995,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.2999999999999994,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.1999999999999993,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
0.2,0.2,0.2,0.2,0.2,0.2,0.2,50,-3.0,-1.0999999999999992,0.10000000000004405,0.10000000000004405,1.0,0.0,1,1,0.10000000000004405,0.0,0.10000000000004405,0.10000000000004405,0.0,0.10000000000004405,0.20020020020020013,0.10010010010010009,99.69969969969969
