timestamp(s),accel(m/s2),speed(m/s),position(m)
26.8,0,0,43.12
26.9,0,0,43.22
27,0,0,43.32
27.1,0,0,43.42
27.2,0,0,43.52
27.3,0,0,43.62
27.4,0,0,43.72
27.5,0,0,43.82
27.6,0,0,43.92
27.7,0,0,44.02
27.8,0,0,44.12
27.9,0,0,44.22
28,0,0,44.32
28.1,0,0,44.42
28.2,0,0,44.52
28.3,0,0,44.62
28.4,0,0,44.72
28.5,0,0,44.82
28.6,0,0,44.92
28.7,0,0,45.02
28.8,0,0,45.12
28.9,0,0,45.22
29,0,0,45.32
29.1,0,0,45.42
29.2,0,0,45.52
29.3,0,0,45.62
29.4,0,0,45.72
29.5,0,0,45.82
29.6,0,0,45.92
29.7,0,0,46.02
29.8,0,0,46.12
29.9,0,0,46.22
30,0,0,46.32
30.1,0,0,46.42
30.2,0,0,46.52
30.3,0,0,46.62
30.4,0,0,46.72
30.5,0,0,46.82
30.6,0,0,46.92
30.7,0,0,47.02
30.8,0,0,47.12
30.9,0,0,47.22
31,0,0,47.32
31.1,0,0,47.42
31.2,0,0,47.52
31.3,0,0,47.62
31.4,0,0,47.72
31.5,0,0,47.82
31.6,0,0,47.92
31.7,0,0,48.02
31.8,0,0,48.12
31.9,0,0,48.22
32,0,0,48.32
32.1,0,0,48.42
32.2,0,0,48.52
32.3,0,0,48.62
32.4,0,0,48.72
32.5,0,0,48.82
32.6,0,0,48.92
32.7,0,0,49.02
32.8,0,0,49.12
32.9,0,0,49.22
33,0,0,49.32
33.1,0,0,49.42
33.2,0,0,49.52
33.3,0,0,49.62
33.4,0,0,49.72
33.5,0,0,49.82
33.6,0,0,49.92
33.7,0,0,50.02
33.8,0,0,50.12
33.9,0,0,50.22
34,0,0,50.32
34.1,0,0,50.42
34.2,0,0,50.52
34.3,0,0,50.62
34.4,0,0,50.72
34.5,0,0,50.82
34.6,0,0,50.92
34.7,0,0,51.02
34.8,0,0,51.12
34.9,0,0,51.22
35,0,0,51.32
35.1,0,0,51.42
35.2,0,0,51.52
35.3,0,0,51.62
35.4,0,0,51.72
35.5,0,0,51.82
35.6,0,0,51.92
35.7,0,0,52.02
35.8,0,0,52.12
35.9,0,0,52.22
36,0,0,52.32
36.1,0,0,52.42
36.2,0,0,52.52
36.3,0,0,52.62
36.4,0,0,52.72
36.5,0,0,52.82
36.6,0,0,52.92
36.7,0,0,53.02
36.8,0,0,53.12
36.9,0,0,53.22
37,0,0,53.32
37.1,0,0,53.42
37.2,0,0,53.52
37.3,0,0,53.62
37.4,0,0,53.72
37.5,0,0,53.82
37.6,0,0,53.92
37.7,0,0,54.02
37.8,0,0,54.12
37.9,0,0,54.22
38,0,0,54.32
38.1,0,0,54.42
38.2,0,0,54.52
38.3,0,0,54.62
38.4,0,0,54.72
38.5,0,0,54.82
38.6,0,0,54.92
38.7,0,0,55.02
38.8,0,0,55.12
38.9,0,0,55.22
39,0,0,55.32
39.1,0,0,55.42
39.2,0,0,55.52
39.3,0,0,55.62
39.4,0,0,55.72
39.5,0,0,55.82
39.6,0,0,55.92
39.7,0,0,56.02
39.8,0,0,56.12
39.9,0,0,56.22
40,0,0,56.32
40.1,0,0,56.42
40.2,0,0,56.52
40.3,0,0,56.62
40.4,0,0,56.72
40.5,0,0,56.82
40.6,0,0,56.92
40.7,0,0,57.02
40.8,0,0,57.12
40.9,0,0,57.22
41,0,0,57.32
41.1,0,0,57.42
41.2,0,0,57.52
41.3,0,0,57.62
41.4,0,0,57.72
41.5,0,0,57.82
41.6,0,0,57.92
41.7,0,0,58.02
41.8,0,0,58.12
41.9,0,0,58.22
42,0,0,58.32
42.1,0,0,58.42
42.2,0,0,58.52
42.3,0,0,58.62
42.4,0,0,58.72
42.5,0,0,58.82
42.6,0,0,58.92
42.7,0,0,59.02
42.8,0,0,59.12
42.9,0,0,59.22
43,0,0,59.32
43.1,0,0,59.42
43.2,0,0,59.52
43.3,0,0,59.62
43.4,0,0,59.72
43.5,0,0,59.82
43.6,0,0,59.92
43.7,0,0,60.02
43.8,0,0,60.12
43.9,0,0,60.22
44,0,0,60.32
44.1,0,0,60.42
44.2,0,0,60.52
44.3,0,0,60.62
44.4,0,0,60.72
44.5,0,0,60.82
44.6,0,0,60.92
44.7,0,0,61.02
44.8,0,0,61.12
44.9,0,0,61.22
45,0,0,61.32
45.1,0,0,61.42
45.2,0,0,61.52
45.3,0,0,61.62
45.4,0,0,61.72
45.5,0,0,61.82
45.6,0,0,61.92
45.7,0,0,62.02
45.8,0,0,62.12
45.9,0,0,62.22
46,0,0,62.32
46.1,0,0,62.42
46.2,0,0,62.52
46.3,0,0,62.62
46.4,0,0,62.72
46.5,0,0,62.82
46.6,0,0,62.92
46.7,0,0,63.02
46.8,0,0,63.12
46.9,0,0,63.22
47,0,0,63.32
47.1,0,0,63.42
47.2,0,0,63.52
47.3,0,0,63.62
47.4,0,0,63.72
47.5,0,0,63.82
47.6,0,0,63.92
47.7,0,0,64.02
47.8,0,0,64.12
47.9,0,0,64.22
48,0,0,64.32
48.1,0,0,64.42
48.2,0,0,64.52
48.3,0,0,64.62
48.4,0,0,64.72
48.5,0,0,64.82
48.6,0,0,64.92
48.7,0,0,65.02
48.8,0,0,65.12
48.9,0,0,65.22
49,0,0,65.32
49.1,0,0,65.42
49.2,0,0,65.52
49.3,0,0,65.62
49.4,0,0,65.72
49.5,0,0,65.82
49.6,0,0,65.92
49.7,0,0,66.02
49.8,0,0,66.12
49.9,0,0,66.22
50,0,0,66.32
50.1,0,0,66.42
50.2,0,0,66.52
50.3,0,0,66.62
50.4,0,0,66.72
50.5,0,0,66.82
50.6,0,0,66.92
50.7,0,0,67.02
50.8,0,0,67.12
50.9,0,0,67.22
51,0,0,67.32
51.1,0,0,67.42
51.2,0,0,67.52
51.3,0,0,67.62
51.4,0,0,67.72
51.5,0,0,67.82
51.6,0,0,67.92
51.7,0,0,68.02
51.8,0,0,68.12
51.9,0,0,68.22
52,0,0,68.32
52.1,0,0,68.42
52.2,0,0,68.52
52.3,0,0,68.62
52.4,0,0,68.72
52.5,0,0,68.82
52.6,0,0,68.92
52.7,0,0,69.02
52.8,0,0,69.12
52.9,0,0,69.22
53,0,0,69.32
53.1,0,0,69.42
53.2,0,0,69.52
53.3,0,0,69.62
53.4,0,0,69.72
53.5,0,0,69.82
53.6,0,0,69.92
53.7,0,0,70.02
53.8,0,0,70.12
53.9,0,0,70.22
54,0,0,70.32
54.1,0,0,70.42
54.2,0,0,70.52
54.3,0,0,70.62
54.4,0,0,70.72
54.5,0,0,70.82
54.6,0,0,70.92
54.7,0,0,71.02
54.8,0,0,71.12
54.9,0,0,71.22
55,0,0,71.32
55.1,0,0,71.42
55.2,0,0,71.52
55.3,0,0,71.62
55.4,0,0,71.72
55.5,0,0,71.82
55.6,0,0,71.92
55.7,0,0,72.02
55.8,0,0,72.12
55.9,0,0,72.22
56,0,0,72.32
56.1,0,0,72.42
56.2,0,0,72.52
56.3,0,0,72.62
56.4,0,0,72.72
56.5,0,0,72.82
56.6,0,0,72.92
56.7,0,0,73.02
56.8,0,0,73.12
56.9,0,0,73.22
57,0,0,73.32
57.1,0,0,73.42
57.2,0,0,73.52
57.3,0,0,73.62
57.4,0,0,73.72
57.5,0,0,73.82
57.6,0,0,73.92
57.7,0,0,74.02
57.8,0,0,74.12
57.9,0,0,74.22
58,0,0,74.32
58.1,0,0,74.42
58.2,0,0,74.52
58.3,0,0,74.62
58.4,0,0,74.72
58.5,0,0,74.82
58.6,0,0,74.92
58.7,0,0,75.02
58.8,0,0,75.12
58.9,0,0,75.22
59,0,0,75.32
59.1,0,0,75.42
59.2,0,0,75.52
59.3,0,0,75.62
59.4,0,0,75.72
59.5,0,0,75.82
59.6,0,0,75.92
59.7,0,0,76.02
59.8,0,0,76.12
59.9,0,0,76.22
60,0,0,76.32
60.1,0,0,76.42
60.2,0,0,76.52
60.3,0,0,76.62
60.4,0,0,76.72
60.5,0,0,76.82
60.6,0,0,76.92
60.7,0,0,77.02
60.8,0,0,77.12
60.9,0,0,77.22
61,0,0,77.32
61.1,0,0,77.42
61.2,0,0,77.52
61.3,0,0,77.62
61.4,0,0,77.72
61.5,0,0,77.82
61.6,0,0,77.92
61.7,0,0,78.02
61.8,0,0,78.12
61.9,0,0,78.22
62,0,0,78.32
62.1,0,0,78.42
62.2,0,0,78.52
62.3,0,0,78.62
62.4,0,0,78.72
62.5,0,0,78.82
62.6,0,0,78.92
62.7,0,0,79.02
62.8,0,0,79.12
62.9,0,0,79.22
63,0,0,79.32
63.1,0,0,79.42
63.2,0,0,79.52
63.3,0,0,79.62
63.4,0,0,79.72
63.5,0,0,79.82
63.6,0,0,79.92
63.7,0,0,80.02
63.8,0,0,80.12
63.9,0,0,80.22
64,0,0,80.32
64.1,0,0,80.42
64.2,0,0,80.52
64.3,0,0,80.62
64.4,0,0,80.72
64.5,0,0,80.82
64.6,0,0,80.92
64.7,0,0,81.02
64.8,0,0,81.12
64.9,0,0,81.22
65,0,0,81.32
65.1,0,0,81.42
65.2,0,0,81.52
65.3,0,0,81.62
65.4,0,0,81.72
65.5,0,0,81.82
65.6,0,0,81.92
65.7,0,0,82.02
65.8,0,0,82.12
65.9,0,0,82.22
66,0,0,82.32
66.1,0,0,82.42
66.2,0,0,82.52
66.3,0,0,82.62
66.4,0,0,82.72
66.5,0,0,82.82
66.6,0,0,82.92
66.7,0,0,83.02
66.8,0,0,83.12
66.9,0,0,83.22
67,0,0,83.32
67.1,0,0,83.42
67.2,0,0,83.52
67.3,0,0,83.62
67.4,0,0,83.72
67.5,0,0,83.82
67.6,0,0,83.92
67.7,0,0,84.02
67.8,0,0,84.12
67.9,0,0,84.22
68,0,0,84.32
68.1,0,0,84.42
68.2,0,0,84.52
68.3,0,0,84.62
68.4,0,0,84.72
68.5,0,0,84.82
68.6,0,0,84.92
68.7,0,0,85.02
68.8,0,0,85.12
68.9,0,0,85.22
69,0,0,85.32
69.1,0,0,85.42
69.2,0,0,85.52
69.3,0,0,85.62
69.4,0,0,85.72
69.5,0,0,85.82
69.6,0,0,85.92
69.7,0,0,86.02
69.8,0,0,86.12
69.9,0,0,86.22
70,0,0,86.32
70.1,0,0,86.42
70.2,0,0,86.52
70.3,0,0,86.62
70.4,0,0,86.72
70.5,0,0,86.82
70.6,0,0,86.92
70.7,0,0,87.02
70.8,0,0,87.12
70.9,0,0,87.22
71,0,0,87.32
71.1,0,0,87.42
71.2,0,0,87.52
71.3,0,0,87.62
71.4,0,0,87.72
71.5,0,0,87.82
71.6,0,0,87.92
71.7,0,0,88.02
71.8,0,0,88.12
71.9,0,0,88.22
72,0,0,88.32
72.1,0,0,88.42
72.2,0,0,88.52
72.3,0,0,88.62
72.4,0,0,88.72
72.5,0,0,88.82
72.6,0,0,88.92
72.7,0,0,89.02
72.8,0,0,89.12
72.9,0,0,89.22
73,0,0,89.32
73.1,0,0,89.42
73.2,0,0,89.52
73.3,0,0,89.62
73.4,0,0,89.72
73.5,0,0,89.82
73.6,0,0,89.92
73.7,0,0,90.02
73.8,0,0,90.12
73.9,0,0,90.22
74,0,0,90.32
74.1,0,0,90.42
74.2,0,0,90.52
74.3,0,0,90.62
74.4,0,0,90.72
74.5,0,0,90.82
74.6,0,0,90.92
74.7,0,0,91.02
74.8,0,0,91.12
74.9,0,0,91.22
75,-0.0695,-0.00695,91.32
75.1,-0.139,-0.02085,91.42
75.2,-0.2085,-0.0417,91.52
75.3,-0.278,-0.0695,91.62
75.4,-0.3475,-0.10425,91.72
75.5,-0.417,-0.14595,91.82
75.6,-0.4865,-0.1946,91.92
75.7,-0.556,-0.2502,92.02
75.8,-0.6255,-0.31275,92.12
75.9,-0.6255,-0.3753,92.22
76,-0.6255,-0.43785,92.32
76.1,-0.6255,-0.5004,92.42
76.2,-0.6255,-0.56295,92.52
76.3,-0.6255,-0.6255,92.62
76.4,-0.6255,-0.68805,92.72
76.5,-0.6255,-0.7506,92.82
76.6,-0.6255,-0.81315,92.92
76.7,-0.6255,-0.8757,93.02
76.8,-0.6255,-0.93825,93.12
76.9,-0.6255,-0.976,93.22
77,-0.6255,-0.976,93.32
77.1,-0.6255,-0.976,93.42
77.2,-0.6255,-0.976,93.52
77.3,-0.6255,-0.976,93.62
77.4,0,-0.976,93.72
77.5,0,-0.976,93.82
77.6,0,-0.976,93.92
77.7,0,-0.976,94.02
77.8,0,-0.976,94.12
77.9,0,-0.976,94.22
78,0,-0.976,94.32
78.1,0,-0.976,94.42
78.2,0,-0.976,94.52
78.3,0,-0.976,94.62
78.4,0,-0.976,94.72
78.5,0,-0.976,94.82
