timestamp(s),accel(m/s2),events,average_time_between_events,normalized_average_time_between_events
19.95,-0.00981,-,6.223,1
20.049,0.014715,-,6.223,1
20.147,-0.00981,-,6.223,1
20.246,-0.052974,-,6.223,1
20.345,0.014715,-,6.223,1
20.443,-0.004905,-,6.223,1
20.542,0.004905,-,6.223,1
20.641,-0.061803,-,6.223,1
20.74,0.00981,-,6.223,1
20.839,0,-,6.223,1
20.937,-0.023544,-,6.223,1
21.036,-0.01962,-,6.223,1
21.135,-0.028449,-,6.223,1
21.273,0.014715,-,6.223,1
21.333,0.00981,-,6.223,1
21.438,-0.038259,-,6.223,1
21.53,-0.00981,-,6.223,1
21.657,-0.01962,-,6.223,1
21.728,0.096138,-,6.223,1
21.827,0.114777,-,6.223,1
21.925,0.177561,-,6.223,1
22.025,0.191295,-,6.223,1
22.123,0.086328,-,6.223,1
22.222,0.00981,-,6.223,1
22.32,0.004905,-,6.223,1
22.419,-0.00981,-,6.223,1
22.534,0.014715,-,6.223,1
22.616,0,-,6.223,1
22.715,-0.004905,-,6.223,1
22.814,-0.00981,-,6.223,1
22.922,-0.061803,-,6.223,1
23.012,0.004905,-,6.223,1
23.111,-0.00981,-,6.223,1
23.209,-0.014715,-,6.223,1
23.307,-0.01962,-,6.223,1
23.407,-0.00981,-,6.223,1
23.505,-0.01962,-,6.223,1
23.604,-0.014715,-,6.223,1
23.704,-0.014715,-,6.223,1
23.802,-0.00981,-,6.223,1
23.914,-0.014715,-,6.223,1
24,-0.004905,-,6.223,1
24.131,-0.014715,-,6.223,1
24.197,-0.014715,-,6.223,1
24.296,-0.023544,-,6.223,1
24.394,0,-,6.223,1
24.504,-0.00981,-,6.223,1
24.592,-0.023544,-,6.223,1
24.726,-0.004905,-,6.223,1
24.789,-0.004905,-,6.223,1
24.888,-0.00981,-,6.223,1
24.987,0.004905,-,6.223,1
25.086,0,-,6.223,1
25.185,-0.033354,-,6.223,1
25.284,-0.028449,-,6.223,1
25.382,-0.004905,-,6.223,1
25.481,-0.00981,-,6.223,1
25.58,-0.004905,-,6.223,1
25.679,-0.014715,-,6.223,1
25.779,0,-,6.223,1
25.876,0.004905,-,6.223,1
25.975,-0.00981,-,6.223,1
26.074,-0.004905,-,6.223,1
26.172,-0.004905,-,6.223,1
26.271,0.004905,-,6.223,1
26.37,-0.00981,-,6.223,1
26.469,-0.00981,-,6.223,1
26.568,-0.014715,-,6.223,1
26.666,0,-,6.223,1
26.765,-0.01962,-,6.223,1
26.864,-0.014715,-,6.223,1
26.975,-0.014715,-,6.223,1
27.062,-0.014715,-,6.223,1
27.161,-0.00981,-,6.223,1
27.26,-0.01962,-,6.223,1
27.372,-0.004905,-,6.223,1
27.458,-0.014715,-,6.223,1
27.557,-0.00981,-,6.223,1
27.655,-0.028449,-,6.223,1
27.754,0,-,6.223,1
27.853,0,-,6.223,1
27.977,-0.01962,-,6.223,1
28.051,-0.004905,-,6.223,1
28.15,-0.00981,-,6.223,1
28.248,-0.01962,-,6.223,1
28.369,-0.004905,-,6.223,1
28.446,-0.014715,-,6.223,1
28.545,-0.014715,-,6.223,1
28.644,-0.00981,-,6.223,1
28.752,-0.00981,-,6.223,1
28.841,-0.00981,-,6.223,1
28.97,-0.004905,-,6.223,1
29.039,-0.014715,-,6.223,1
29.138,-0.014715,-,6.223,1
29.237,-0.004905,-,6.223,1
29.336,-0.023544,-,6.223,1
29.434,-0.01962,-,6.223,1
29.533,-0.004905,-,6.223,1
29.632,-0.00981,-,6.223,1
29.731,-0.023544,-,6.223,1
29.83,-0.014715,-,6.223,1
29.928,-0.004905,-,6.223,1
30.027,-0.004905,-,6.223,1
30.126,-0.004905,-,6.223,1
30.226,-0.01962,-,6.223,1
30.324,0.014715,-,6.223,1
30.449,0.00981,-,6.223,1
30.521,0.004905,-,6.223,1
30.62,0.00981,-,6.223,1
30.719,-0.014715,-,6.223,1
30.824,0,-,6.223,1
30.916,0.004905,-,6.223,1
31.049,-0.028449,-,6.223,1
31.115,0,-,6.223,1
31.213,0.014715,-,6.223,1
31.312,0,-,6.223,1
31.424,-0.052974,-,6.223,1
31.51,-0.033354,-,6.223,1
31.648,-0.023544,-,6.223,1
31.707,-0.023544,-,6.223,1
31.806,-0.028449,-,6.223,1
31.905,-0.014715,-,6.223,1
32.021,-0.004905,-,6.223,1
32.103,-0.00981,-,6.223,1
32.201,0.004905,-,6.223,1
32.301,-0.004905,-,6.223,1
32.399,-0.00981,-,6.223,1
32.498,-0.00981,-,6.223,1
32.624,-0.01962,-,6.223,1
32.696,-0.038259,-,6.223,1
32.794,-0.014715,-,6.223,1
32.893,-0.028449,-,6.223,1
32.991,-0.033354,-,6.223,1
33.09,0,-,6.223,1
33.189,-0.00981,-,6.223,1
33.288,-0.004905,-,6.223,1
33.386,-0.01962,-,6.223,1
33.485,0.004905,-,6.223,1
33.584,-0.014715,-,6.223,1
33.685,-0.00981,-,6.223,1
33.782,-0.004905,-,6.223,1
33.909,-0.014715,-,6.223,1
33.98,-0.00981,-,6.223,1
34.078,0,-,6.223,1
34.177,-0.00981,-,6.223,1
34.306,-0.004905,-,6.223,1
34.375,-0.00981,-,6.223,1
34.476,-0.00981,-,6.223,1
34.572,-0.004905,-,6.223,1
34.682,-0.004905,-,6.223,1
34.77,-0.00981,-,6.223,1
34.897,-0.014715,-,6.223,1
34.968,-0.014715,-,6.223,1
35.066,-0.004905,-,6.223,1
35.165,-0.01962,-,6.223,1
35.268,-0.01962,-,6.223,1
35.363,-0.033354,-,6.223,1
35.49,-0.01962,-,6.223,1
35.561,0,-,6.223,1
35.659,-0.033354,-,6.223,1
35.758,-0.01962,-,6.223,1
35.881,-0.00981,-,6.223,1
35.956,-0.014715,-,6.223,1
36.055,-0.00981,-,6.223,1
36.154,-0.004905,-,6.223,1
36.252,-0.01962,-,6.223,1
36.351,-0.023544,-,6.223,1
36.45,-0.01962,-,6.223,1
36.549,-0.01962,-,6.223,1
36.648,-0.014715,-,6.223,1
36.746,-0.00981,-,6.223,1
36.846,-0.043164,-,6.223,1
36.944,-0.014715,-,6.223,1
37.043,-0.00981,-,6.223,1
37.142,-0.014715,-,6.223,1
37.241,-0.00981,-,6.223,1
37.34,-0.014715,-,6.223,1
37.438,-0.014715,-,6.223,1
37.537,0,-,6.223,1
37.636,-0.01962,-,6.223,1
37.735,-0.00981,-,6.223,1
37.834,-0.023544,Down,6.223,1
37.933,-0.023544,-,6.223,1
38.031,-0.114777,-,6.223,1
38.154,-0.224649,-,6.223,1
38.229,-0.368856,-,6.223,1
38.328,-0.483633,-,6.223,1
38.427,-0.589581,-,6.223,1
38.543,-0.632745,-,6.223,1
38.624,-0.790686,-,6.223,1
38.722,-0.732807,-,6.223,1
38.821,-0.756351,-,6.223,1
38.921,-0.704358,-,6.223,1
39.02,-0.732807,-,6.223,1
39.118,-0.742617,-,6.223,1
39.216,-0.674928,-,6.223,1
39.355,-0.714168,-,6.223,1
39.414,-0.651384,-,6.223,1
39.513,-0.560151,-,6.223,1
