timestamp(s),accel(m/s2)
33.899,0.503253
33.998,0.435564
34.097,0.263889
34.226,0.244269
34.295,0.096138
34.393,-0.00981
34.492,-0.014715
34.591,-0.043164
34.689,0.071613
34.789,-0.109872
34.888,0.038259
34.986,-0.014715
35.086,-0.01962
35.184,0.033354
35.283,-0.071613
35.382,0.043164
35.481,-0.066708
35.58,0.048069
35.679,-0.052974
35.777,-0.01962
35.876,-0.033354
35.975,0.057879
36.092,-0.00981
36.173,-0.00981
36.271,-0.052974
36.37,0.081423
36.473,-0.066708
36.568,0.033354
36.688,-0.057879
36.766,0.081423
36.863,-0.033354
36.967,0.014715
37.062,0.00981
37.161,-0.028449
37.289,0.023544
37.358,-0.028449
37.458,0.033354
37.556,-0.01962
37.665,0.023544
37.753,0.004905
37.885,0
37.952,-0.023544
38.05,-0.00981
38.149,-0.01962
38.248,0.023544
38.347,-0.023544
38.477,0.043164
38.544,-0.043164
38.643,0.01962
38.742,-0.004905
38.841,0.043164
38.939,0.033354
39.039,-0.071613
39.137,0.043164
39.236,-0.061803
39.349,0.052974
39.433,-0.052974
39.532,0.023544
39.631,-0.014715
39.731,0.028449
39.829,0.00981
39.927,-0.066708
40.026,0.057879
40.142,-0.01962
40.223,-0.00981
40.323,0.004905
40.422,-0.00981
40.52,-0.01962
40.618,0.014715
40.718,-0.014715
40.816,0.028449
40.916,-0.081423
41.014,0.057879
41.114,-0.071613
41.211,0.071613
41.31,-0.086328
41.409,0.038259
41.514,-0.066708
41.607,0.033354
41.717,-0.028449
41.805,0.014715
41.915,-0.023544
42.002,-0.004905
42.115,0.028449
42.2,0.038259
42.299,0
42.398,0
42.497,0.048069
42.596,0.004905
42.693,0
42.793,0.033354
42.892,-0.004905
42.99,0.01962
43.09,-0.066708
43.196,-0.00981
43.287,0.023544
43.386,0.023544
43.485,-0.043164
43.584,0.038259
43.682,-0.109872
43.781,0.091233
43.88,-0.081423
43.978,0.086328
44.078,-0.076518
44.176,0.014715
44.275,-0.048069
44.376,0.057879
44.473,0.014715
44.596,-0.00981
44.671,-0.01962
44.77,0.00981
44.869,-0.00981
44.992,-0.00981
45.066,-0.038259
45.165,-0.023544
45.264,-0.014715
45.362,-0.023544
45.461,0.01962
45.571,-0.052974
45.659,-0.004905
45.775,-0.028449
45.857,0.048069
45.954,-0.061803
46.055,-0.048069
46.153,0.023544
46.251,0
46.35,-0.038259
46.449,-0.043164
46.548,0.066708
46.647,-0.033354
46.746,-0.00981
46.845,-0.061803
46.943,0.023544
47.043,0
47.141,0.033354
47.247,0.038259
47.34,-0.01962
47.474,-0.043164
47.537,-0.004905
47.636,-0.023544
47.734,0.01962
47.833,-0.028449
47.932,0.004905
48.053,0.01962
48.13,-0.00981
48.229,-0.048069
48.327,-0.162846
48.426,-0.258984
48.525,-0.335502
48.643,-0.473823
48.722,-0.584676
48.821,-0.661194
48.92,-0.699453
49.019,-0.752427
49.118,-0.674928
49.216,-0.775971
49.315,-0.636669
49.42,-0.694548
49.512,-0.671004
49.623,-0.560151
49.71,-0.464994
49.809,-0.455184
49.908,-0.254079
50.007,-0.18639
50.105,-0.057879
50.204,-0.014715
50.303,0.004905
50.402,0.00981
50.512,-0.052974
50.6,0.004905
50.699,0.004905
50.798,0.033354
50.897,-0.057879
50.994,0.014715
51.098,-0.004905
51.192,-0.004905
51.324,0
51.39,-0.052974
51.489,0.033354
51.588,0.00981
51.711,-0.023544
51.786,-0.023544
51.884,-0.014715
51.983,0.043164
52.094,-0.028449
52.181,-0.00981
52.313,-0.01962
52.379,0.033354
52.478,-0.004905
52.576,-0.028449
52.676,0.01962
52.774,-0.00981
52.872,-0.033354
52.972,-0.104967
53.07,-0.249174
53.17,-0.167751
53.268,-0.162846
53.367,-0.028449
53.465,-0.023544
53.565,-0.004905
53.663,-0.00981
53.763,-0.00981
53.861,-0.004905
53.96,-0.014715
54.059,0.014715
54.157,-0.00981
54.257,0
54.355,-0.00981
54.454,-0.00981
54.553,-0.004905
54.652,-0.00981
54.774,0.00981
54.849,-0.00981
54.948,-0.014715
55.047,-0.004905
55.151,-0.014715
55.244,0
55.364,-0.00981
55.442,-0.014715
