mad_temperature(degrees),mad_timestamp(s),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots
0.1,0.1,1,0.0,-2.0,0.09974520999999825,0.09974520999999825,1.7272727272727273,3.5570904630025186,76,44,0.021368484549356127,0.021750324612325872,0.09974520999999825,0.021368484549356127,0.021750324612325872,0.09974520999999825,3.9836567926455544,47.59959141981614,48.4167517875383
0.1,0.1,1,0.0,-1.9,0.09974520999999825,0.09974520999999825,1.7272727272727273,3.5570904630025186,76,44,0.021368484549356127,0.021750324612325872,0.09974520999999825,0.021368484549356127,0.021750324612325872,0.09974520999999825,3.9836567926455544,47.59959141981614,48.4167517875383
0.1,0.1,1,0.0,-1.7999999999999998,0.09974520999999825,0.09974520999999825,1.72,3.616849457746341,86,50,0.0206117361855669,0.02091780259600709,0.09974520999999825,0.0206117361855669,0.02091780259600709,0.09974520999999825,4.494382022471903,49.54034729315629,45.96527068437181
0.1,0.1,1,0.0,-1.6999999999999997,0.09974520999999825,0.09974520999999825,1.6923076923076923,3.5493144600182545,88,52,0.020716100020408048,0.02112275499622361,0.09974520999999825,0.020716100020408048,0.02112275499622361,0.09974520999999825,4.596527068437183,50.05107252298263,45.35240040858019
0.1,0.1,1,0.0,-1.5999999999999996,0.09974520999999825,0.09974520999999825,1.7142857142857142,3.9357078039874027,96,56,0.02047455324752463,0.021085503522633352,0.09974520999999825,0.02047455324752463,0.021085503522633352,0.09974520999999825,5.005107252298259,51.5832482124617,43.41164453524004
0.1,0.1,1,0.0,-1.4999999999999996,0.09974520999999825,0.09974520999999825,1.7241379310344827,3.867606866982056,100,58,0.02020389663405077,0.020760889357622426,0.09974520999999825,0.02020389663405077,0.020760889357622426,0.09974520999999825,5.209397344228805,52.19611848825332,42.59448416751788
0.1,0.1,1,0.0,-1.3999999999999995,0.09974520999999825,0.09974520999999825,1.7377049180327868,4.048483380652369,106,61,0.019895869826922964,0.020034938816422605,0.09974520999999825,0.019895869826922964,0.020034938816422605,0.09974520999999825,5.5158324821246225,53.11542390194075,41.368743615934626
0.1,0.1,1,0.0,-1.2999999999999994,0.09974520999999825,0.09974520999999825,1.7464788732394365,3.9063628480029715,124,71,0.018925145459558715,0.019066737023645634,0.09974520999999825,0.018925145459558715,0.019066737023645634,0.09974520999999825,6.435137895812062,55.566905005107245,37.99795709908069
0.1,0.1,1,0.0,-1.1999999999999993,0.09974520999999825,0.09974520999999825,1.85,3.9499999999999997,148,80,0.018485206187174925,0.018741535814499367,0.09974520999999825,0.018485206187174925,0.018741535814499367,0.09974520999999825,7.660878447395291,58.93769152196119,33.40143003064352
0.1,0.1,1,0.0,-1.0999999999999992,0.09974520999999825,0.09974520999999825,1.853658536585366,3.9605430497920855,152,82,0.018398519742267933,0.018715221094259805,0.09974520999999825,0.018398519742267933,0.018715221094259805,0.09974520999999825,7.86516853932585,59.44841675178753,32.686414708886616
0.1,0.1,1,0.0,-0.9999999999999991,0.09974520999999825,0.09974520999999825,1.8571428571428572,3.958543675041477,156,84,0.017967542174657423,0.01803426120663094,0.09974520999999825,0.017967542174657423,0.01803426120663094,0.09974520999999825,8.069458631256381,59.652706843718086,32.27783452502553
0.1,0.1,1,0.0,-0.899999999999999,0.09974520999999825,0.09974520999999825,1.9090909090909092,4.0441775308245855,168,88,0.017896832709030017,0.01832113463675073,0.09974520999999825,0.017896832709030017,0.01832113463675073,0.09974520999999825,8.68232890704801,61.08273748723187,30.234933605720123
0.1,0.1,1,0.0,-0.7999999999999989,0.09974520999999825,0.09974520999999825,1.7333333333333334,3.538271481863013,182,105,0.017511023488372,0.018082845655386738,0.09974520999999825,0.017511023488372,0.018082845655386738,0.09974520999999825,11.1338100102145,65.8835546475996,22.982635342185905
0.1,0.1,1,0.0,-0.6999999999999988,0.09974520999999825,0.09974520999999825,1.7927927927927927,3.977678976255657,199,111,0.01720188368740505,0.01759047265055572,0.09974520999999825,0.01720188368740505,0.01759047265055572,0.09974520999999825,12.053115423901954,67.31358529111337,20.633299284984677
0.1,0.1,1,0.0,-0.5999999999999988,0.09974520999999825,0.09974520999999825,1.8559322033898304,4.534753602202855,219,118,0.017089827507418318,0.01775506118655728,0.09974520999999825,0.017089827507418318,0.01775506118655728,0.09974520999999825,13.074565883554644,68.84576098059244,18.07967313585291
0.1,0.1,1,0.0,-0.49999999999999867,0.09974520999999825,0.09974520999999825,1.9344262295081966,4.996289943085528,236,122,0.01622180761413834,0.016118845026356278,0.09974520999999825,0.01622180761413834,0.016118845026356278,0.09974520999999825,13.993871297242084,69.3564862104188,16.649642492339122
0.1,0.1,1,0.0,-0.3999999999999986,0.09974520999999825,0.09974520999999825,1.934959349593496,4.993882171686574,238,123,0.016205947970588146,0.016092967131260662,0.09974520999999825,0.016205947970588146,0.016092967131260662,0.09974520999999825,14.096016343207353,69.45863125638407,16.44535240040858
0.1,0.1,1,0.0,-0.2999999999999985,0.09974520999999825,0.09974520999999825,1.937007874015748,4.976714331300427,246,127,0.015914856813509452,0.015839185892028085,0.09974520999999825,0.015914856813509452,0.015839185892028085,0.09974520999999825,14.504596527068433,69.56077630234934,15.934627170582228
