dt-timestamp(s),dt-temperature(degrees),pt-timestamp(s),pt-temperature(degrees),operation
3,22.807046,3,22.8435,Match
6,22.8014633,6,22.8745,Match
9,22.79604359,9,22.906,Match
12,22.84297602,12,22.906,Match
-,-,15,23.0625,Insertion
-,-,18,23.2185,Insertion
-,-,21,23.437,Insertion
15,23.44039199,24,23.656,Match
18,23.9975943,27,23.8435,Match
21,24.03299638,30,24.0935,Match
24,24.5881152,33,24.3435,Match
27,24.62167725,36,24.6245,Match
-,-,39,24.875,Insertion
30,25.17491278,42,25.0935,Match
33,25.20664741,45,25.406,Match
36,25.75801521,48,25.687,Match
39,25.78792563,51,25.9375,Match
42,26.33741299,54,26.2185,Match
45,26.37726263,57,26.5625,Match
48,26.91300088,60,26.875,Match
51,26.93932131,63,27.156,Match
54,27.53762156,66,27.531,Match
57,28.07209832,69,27.8435,Match
60,28.10232704,72,28.2185,Match
63,28.68315522,75,28.531,Match
66,29.22340759,78,28.8435,Mismatch
69,29.25420115,81,29.2185,Match
72,29.78097629,84,29.5625,Match
75,29.80996762,87,29.937,Match
78,30.38731402,90,30.2495,Match
81,30.91599148,93,30.5935,Mismatch
84,30.93405361,96,30.937,Match
87,31.46265742,99,31.281,Match
90,31.47885677,102,31.5935,Match
93,32.00591714,105,31.8435,Match
96,31.96811761,108,32.0935,Match
-,-,111,32.375,Insertion
-,-,114,32.531,Insertion
-,-,117,32.7495,Insertion
-,-,120,32.906,Insertion
-,-,123,33.062,Insertion
-,-,126,33.1875,Insertion
-,-,129,33.3435,Insertion
-,-,132,33.437,Insertion
-,-,135,33.531,Insertion
-,-,138,33.625,Insertion
-,-,141,33.6875,Insertion
-,-,144,33.75,Insertion
-,-,147,33.8125,Insertion
-,-,150,33.875,Insertion
-,-,153,33.906,Insertion
-,-,156,33.9375,Insertion
-,-,159,33.937,Insertion
-,-,162,33.9685,Insertion
-,-,165,33.9685,Insertion
-,-,168,34.0,Insertion
-,-,171,33.9995,Insertion
-,-,174,34.0,Insertion
-,-,177,33.9685,Insertion
-,-,180,33.9685,Insertion
-,-,183,33.9685,Insertion
-,-,186,33.9375,Insertion
-,-,189,33.9375,Insertion
-,-,192,33.875,Insertion
-,-,195,33.875,Insertion
-,-,198,33.8435,Insertion
-,-,201,33.781,Insertion
-,-,204,33.7495,Insertion
-,-,207,33.7185,Insertion
-,-,210,33.656,Insertion
-,-,213,33.656,Insertion
-,-,216,33.6245,Insertion
-,-,219,33.531,Insertion
-,-,222,33.5,Insertion
-,-,225,33.437,Insertion
-,-,228,33.406,Insertion
-,-,231,33.3745,Insertion
-,-,234,33.3125,Insertion
-,-,237,33.281,Insertion
-,-,240,33.2185,Insertion
-,-,243,33.187,Insertion
-,-,246,33.125,Insertion
-,-,249,33.062,Insertion
-,-,252,33.0,Insertion
-,-,255,32.9685,Insertion
-,-,258,32.906,Insertion
-,-,261,32.8125,Insertion
-,-,264,32.781,Insertion
-,-,267,32.7185,Insertion
-,-,270,32.687,Insertion
-,-,273,32.625,Insertion
-,-,276,32.5935,Insertion
-,-,279,32.5,Insertion
-,-,282,32.5,Insertion
-,-,285,32.437,Insertion
-,-,288,32.3435,Insertion
-,-,291,32.312,Insertion
-,-,294,32.25,Insertion
-,-,297,32.1875,Insertion
99,31.93322018,300,32.1245,Match
102,31.89934822,303,32.0935,Match
105,31.86467061,306,32.031,Match
108,31.83101249,309,31.9995,Match
111,31.79655351,312,31.9375,Match
114,31.76310746,315,31.8745,Match
117,31.72886583,318,31.8125,Match
120,31.69563047,321,31.7495,Match
123,31.6616032,324,31.6875,Match
126,31.6285792,327,31.656,Match
129,31.59476645,330,31.6245,Match
132,31.56195072,333,31.5625,Match
135,31.52835032,-,-,Deletion
138,31.49574248,-,-,Deletion
141,31.46235464,336,31.4995,Match
144,31.4299514,339,31.4685,Match
147,31.39677418,-,-,Deletion
