dt-timestamp(s),dt-temperature(degrees),pt-timestamp(s),pt-temperature(degrees),operation
3,22.871734,3,22.8435,Match
6,22.92714523,6,22.8745,Match
9,22.97622791,9,22.906,Match
12,23.02199375,12,22.906,Match
15,23.09113634,15,23.0625,Match
18,23.21568982,18,23.2185,Match
21,23.35623581,21,23.437,Match
24,23.51801422,-,-,Deletion
27,23.69185797,24,23.656,Match
30,23.88504308,27,23.8435,Match
33,24.08694758,30,24.0935,Match
36,24.30656706,33,24.3435,Match
39,24.53203071,36,24.6245,Match
42,24.77379551,39,24.875,Match
45,25.02454442,42,25.0935,Match
48,25.27849542,45,25.406,Match
51,25.54014666,48,25.687,Match
54,25.81578814,51,25.9375,Match
57,26.11979096,54,26.2185,Match
60,26.43606774,57,26.5625,Match
63,26.74605279,60,26.875,Match
66,27.09728787,63,27.156,Match
69,27.44955163,66,27.531,Match
72,27.79302317,69,27.8435,Match
75,28.14527143,72,28.2185,Match
78,28.48769343,75,28.531,Match
81,28.86979943,78,28.8435,Match
84,29.23874749,81,29.2185,Match
87,29.61461521,84,29.5625,Match
90,29.97766731,87,29.937,Match
93,30.34924521,90,30.2495,Match
96,30.70821943,93,30.5935,Match
99,31.04456461,96,30.937,Match
102,31.34291438,99,31.281,Match
105,31.62162806,102,31.5935,Match
108,31.86803132,105,31.8435,Match
111,32.09736554,108,32.0935,Match
114,32.29927148,111,32.375,Match
117,32.48631067,114,32.531,Match
120,32.65011056,-,-,Deletion
123,32.80094333,117,32.7495,Match
126,32.93211459,120,32.906,Match
129,33.05195358,123,33.062,Match
132,33.15521422,126,33.1875,Match
135,33.24854234,129,33.3435,Match
138,33.32793162,132,33.437,Match
141,33.39859062,135,33.531,Match
144,33.45758236,138,33.625,Match
147,33.50887465,141,33.6875,Match
150,33.55044344,144,33.75,Match
153,33.58520197,147,33.8125,Match
156,33.61190261,150,33.875,Match
159,33.6325587,153,33.906,Match
162,33.64658397,156,33.9375,Match
165,33.65522394,159,33.937,Match
168,33.65845506,162,33.9685,Match
-,-,165,33.9685,Insertion
-,-,168,34.0,Insertion
-,-,171,33.9995,Insertion
-,-,174,34.0,Insertion
-,-,177,33.9685,Insertion
-,-,180,33.9685,Insertion
-,-,183,33.9685,Insertion
-,-,186,33.9375,Insertion
-,-,189,33.9375,Insertion
171,33.65686879,192,33.875,Match
174,33.65092048,195,33.875,Match
177,33.640644,198,33.8435,Match
180,33.62690074,201,33.781,Match
183,33.60925185,204,33.7495,Match
186,33.5889031,207,33.7185,Match
189,33.56501205,210,33.656,Match
192,33.53907605,213,33.656,Match
195,33.50981408,216,33.6245,Match
198,33.47926401,219,33.531,Match
201,33.44565977,222,33.5,Match
204,33.4110481,225,33.437,Match
207,33.37371618,228,33.406,Match
210,33.33578335,231,33.3745,Match
213,33.29533802,234,33.3125,Match
216,33.25463474,237,33.281,Match
219,33.2115941,240,33.2185,Match
