trace_length,execution_time,process_time,number_snaps
9915,427.4233803749085,427.4002866999981,10000
9915,434.3450520038605,434.3215675020001,10000
9915,429.2967629432678,429.2755358180002,10000
9915,430.26514887809753,430.2458190319994,10000
9915,428.5491678714752,428.5285690180026,10000
1000,6.499663829803467,6.499319624999771,1000
1000,6.566630840301514,6.566261739997572,1000
1000,6.522938013076782,6.522650442999293,1000
1000,6.588481664657593,6.588177550002001,1000
1000,6.521642684936523,6.5212953869995545,1000
100,0.0139029026031494,0.0138963809986307,100
100,0.0134611129760742,0.0134549499998684,100
100,0.0133576393127441,0.0133516269997926,100
100,0.0133371353149414,0.0133310050005093,100
100,0.0139434337615966,0.0139368429991009,100
1500,11.71071720123291,11.710194740000588,1500
1500,11.603739023208618,11.603122196000186,1500
1500,11.541971683502195,11.541385675001948,1500
1500,11.62340807914734,11.622852256998158,1500
1500,11.551612854003906,11.55108201999974,1500
2000,17.93534803390503,17.934508992999326,2000
2000,18.16842269897461,18.167481314001638,2000
2000,17.922778844833374,17.921944083998824,2000
2000,18.285415649414062,18.284505734998675,2000
2000,18.18395757675171,18.18307359499886,2000
200,0.0629057884216308,0.0628986230003647,200
200,0.0622978210449218,0.062290825000673,200
200,0.0626766681671142,0.0626701219989627,200
200,0.0629971027374267,0.0629711609981313,200
200,0.0612289905548095,0.0612223450007149,200
2500,36.30647683143616,36.30495868900107,2500
2500,36.252904415130615,36.25124547899759,2500
2500,36.11713695526123,36.1155505789975,2500
2500,36.77922177314758,36.777631872999336,2500
2500,36.54250288009644,36.54082382400156,2500
3000,46.95187282562256,46.94982298600007,3000
3000,46.22924757003784,46.22720767200008,3000
3000,46.57901453971863,46.57688100999803,3000
3000,46.74093270301819,46.73806633099957,3000
3000,46.65060305595398,46.64853482300168,3000
300,0.6208717823028564,0.620821505002823,300
300,0.6283185482025146,0.6282800609988044,300
300,0.6202805042266846,0.6202363970005536,300
300,0.6140084266662598,0.613959923000948,300
300,0.6223669052124023,0.6223205700007384,300
3500,58.27302408218384,58.27035548499771,3500
3500,57.99100661277771,57.988586036000925,3500
3500,57.43684530258179,57.43508263699914,3500
3500,57.93570590019226,57.93379579999964,3500
3500,58.18831086158752,58.185741180997866,3500
4000,72.6824643611908,72.67900907399962,4000
4000,72.54200220108032,72.53855731099975,4000
4000,73.2574417591095,73.25409803100047,4000
4000,72.52960348129272,72.52588336599729,4000
4000,73.19490456581116,73.1912285440012,4000
400,1.3691396713256836,1.369067522999103,400
400,1.3808605670928955,1.3807673289993545,400
400,1.3560748100280762,1.356010465999134,400
400,1.3887271881103516,1.3886430649981776,400
400,1.3737194538116455,1.3735378989986202,400
4500,105.2882285118103,105.2831905230014,4500
4500,104.22847247123718,104.22344240600069,4500
4500,105.5097439289093,105.5046420180006,4500
4500,105.5376501083374,105.53261994100104,4500
4500,105.82396721839903,105.81867552800033,4500
5000,121.24486994743349,121.23871512099868,5000
5000,121.35090684890748,121.3447719600008,5000
5000,121.33063387870789,121.32408821499848,5000
5000,120.47457933425903,120.4684126300017,5000
5000,121.04067921638487,121.03450466100183,5000
500,2.1576292514801025,2.157464338000864,500
500,2.152914762496948,2.152751939996961,500
500,2.166834115982056,2.166715404997376,500
500,2.1613943576812744,2.1612334409983305,500
500,2.188031911849976,2.187896103001549,500
6000,162.84902834892273,162.84089520999987,6000
6000,164.62650871276855,164.6183289269975,6000
6000,163.91558170318604,163.90681645299992,6000
6000,163.1663887500763,163.1573319550007,6000
6000,164.09793949127197,164.08903892400122,6000
7000,232.44176602363584,232.4292251139996,7000
7000,230.52995109558103,230.51786613899824,7000
7000,230.64989733695984,230.63756755100255,7000
7000,231.94510865211487,231.93263790499984,7000
7000,232.57216048240664,232.55997984900023,7000
8000,292.4892249107361,292.4741743119994,8000
8000,292.08089447021484,292.0660421959983,8000
8000,290.4164113998413,290.402077904997,8000
8000,293.827730178833,293.81227170499915,8000
8000,293.9352693557739,293.9203936739977,8000
9000,375.6325132846832,375.6140658510012,9000
9000,373.0856595039368,373.06629855199935,9000
9000,375.7752118110657,375.75320966399886,9000
9000,374.34017515182495,374.3180899279978,9000
9000,376.89355874061584,376.8730201270009,9000
