delta,normalized_score,score,execution_time,process_time,trace_length
6.0,0.028,140.0,449.5579855442047,449.52867775399955,5000
6.0,0.028,140.0,447.4729874134064,447.4377428450007,5000
6.0,0.028,140.0,448.3243215084076,448.2917363840006,5000
6.0,0.028,140.0,447.59413743019104,447.56415528100024,5000
6.0,0.028,140.0,447.2277319431305,447.19791583000097,5000
