time,execution_interval,heater_on,fan_on,t1,time_t1,t2,time_t2,t3,time_t3,elapsed,average_temperature,2P_Model,4P_Model
0,3,FALSE,FALSE,21.25,1608639794,23.062,1608639795,22.125,1608639796,2.630851746,22.5935,22.5935,22.5935
3.119963408,3,TRUE,TRUE,21.25,1608639797,23.125,1608639798,22.187,1608639799,2.750368357,22.656,22.66131102,22.5935
5.999978304,3,TRUE,TRUE,21.25,1608639800,23.437,1608639801,22.312,1608639802,2.630082369,22.8745,23.24854448,22.5935
9.039982796,3,TRUE,TRUE,21.25,1608639803,23.75,1608639804,22.5,1608639805,2.669632673,23.125,23.85945107,22.5935
12.00003672,3,TRUE,TRUE,21.25,1608639806,24.187,1608639807,22.687,1608639808,2.629302502,23.437,24.45241272,22.5935
15.03998065,3,TRUE,TRUE,21.25,1608639809,24.625,1608639810,22.937,1608639811,2.668798208,23.781,25.05945508,22.5935
17.99999714,3,TRUE,TRUE,21.25,1608639812,25.125,1608639813,23.187,1608639814,2.628420353,24.156,25.64867032,22.5935
21.0399909,3,TRUE,TRUE,21.25,1608639815,25.625,1608639816,23.437,1608639817,2.667960644,24.531,26.25189481,22.5935
23.99999356,3,FALSE,TRUE,21.25,1608639818,26.062,1608639819,23.75,1608639820,2.627557755,24.906,26.7848075,22.5935
27.03997874,3,FALSE,TRUE,21.25,1608639821,26.625,1608639822,24,1608639823,2.667089939,25.3125,26.76518773,22.5935
30.00029969,3,FALSE,TRUE,21.25,1608639824,27.125,1608639825,24.312,1608639826,2.627001286,25.7185,26.74800196,22.5935
33.0399878,3,FALSE,TRUE,21.25,1608639827,27.625,1608639828,24.625,1608639829,2.666237593,26.125,26.73041116,22.5935
36.00120044,3,FALSE,TRUE,21.25,1608639830,28,1608639831,24.937,1608639832,2.627034187,26.4685,26.71332862,22.5935
39.03996611,3,FALSE,TRUE,21.25,1608639833,28.375,1608639834,25.187,1608639835,2.665346146,26.781,26.69585405,22.5935
42.00003004,3,FALSE,TRUE,21.25,1608639836,28.687,1608639837,25.5,1608639838,2.625019312,27.0935,26.67888581,22.5935
45.03978848,3,FALSE,TRUE,21.25,1608639839,28.937,1608639840,25.75,1608639841,2.664320707,27.3435,26.66151574,22.5935
47.99999523,3,FALSE,TRUE,21.25,1608639842,29.25,1608639843,26,1608639844,2.624152422,27.625,26.64465368,22.5935
51.03999519,3,FALSE,TRUE,21.25,1608639845,29.437,1608639846,26.25,1608639847,2.663701534,27.8435,26.62739177,22.5935
53.99996233,3,FALSE,TRUE,21.25,1608639848,29.625,1608639849,26.5,1608639850,2.623269796,28.0625,26.61063738,22.5935
57.03997874,3,TRUE,TRUE,21.25,1608639851,29.812,1608639852,26.687,1608639853,2.662842751,28.2495,26.65237419,22.5935
59.99999642,3,TRUE,TRUE,21.25,1608639854,30,1608639855,26.875,1608639856,2.622460127,28.4375,27.24035489,22.5935
63.03997326,3,TRUE,TRUE,21.25,1608639857,30.187,1608639858,27.125,1608639859,2.661979675,28.656,27.83848297,22.5935
65.99997616,3,TRUE,TRUE,21.25,1608639860,30.437,1608639861,27.312,1608639862,2.621592283,28.8745,28.41903676,22.5935
69.03998685,3,TRUE,TRUE,21.25,1608639863,30.687,1608639864,27.562,1608639865,2.661139727,29.1245,29.01339991,22.5935
72.00000739,3,TRUE,TRUE,21.25,1608639866,31,1608639867,27.812,1608639868,2.620762587,29.406,29.59029639,22.5935
75.03999829,3,TRUE,TRUE,21.25,1608639869,31.375,1608639870,28.062,1608639871,2.660296917,29.7185,30.18090787,22.5935
77.99997616,3,FALSE,TRUE,21.25,1608639872,31.812,1608639873,28.312,1608639874,2.619869709,30.062,30.70157665,22.5935
81.03999305,3,FALSE,TRUE,21.25,1608639875,32.187,1608639876,28.625,1608639877,2.659427643,30.406,30.66942453,22.5935
83.99994612,3,FALSE,TRUE,21.25,1608639878,32.562,1608639879,28.875,1608639880,2.618978739,30.7185,30.64007648,22.5935
87.03997087,3,FALSE,TRUE,21.25,1608639881,32.875,1608639882,29.187,1608639883,2.658555508,31.031,30.61002971,22.5935
89.99954271,3,FALSE,TRUE,21.312,1608639884,33.187,1608639885,29.437,1608639886,2.617670536,31.312,30.58088735,22.5935
93.03999114,3,FALSE,TRUE,21.25,1608639887,33.5,1608639888,29.687,1608639889,2.65771699,31.5935,30.55120592,22.5935
95.99999332,3,FALSE,TRUE,21.25,1608639890,33.75,1608639891,29.875,1608639892,2.617313862,31.8125,30.52222453,22.5935
99.03993845,3,FALSE,TRUE,21.25,1608639893,33.937,1608639894,30.125,1608639895,2.656802654,32.031,30.49255564,22.5935
101.9999988,3,FALSE,TRUE,21.25,1608639896,34.125,1608639897,30.375,1608639898,2.616455555,32.25,30.46375763,22.5935
