init_gap,cont_gap,low,mad_accel(m/s2),frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots,execution_time,process_time,mem_usage,mem_dif,trace_length
-1.0,-0.1,200,0.15,0.10981,0.10981,3.159090909090909,8.102870371939984,278,88,0.01783242967109867,0.016359490383512712,0.139302,0.01783242967109867,0.016359490383512712,0.139302,4.633333333333335,95.26666666666667,0.1,21.90787363052368,21.907691376000002,388.0703125,139.47265625,3000
-1.0,-0.1,200,0.15,0.10981,0.10981,3.159090909090909,8.102870371939984,278,88,0.01783242967109867,0.016359490383512712,0.139302,0.01783242967109867,0.016359490383512712,0.139302,4.633333333333335,95.26666666666667,0.1,21.767953872680664,21.767624904999998,388.26171875,139.47265625,3000
-1.0,-0.1,200,0.15,0.10981,0.10981,3.159090909090909,8.102870371939984,278,88,0.01783242967109867,0.016359490383512712,0.139302,0.01783242967109867,0.016359490383512712,0.139302,4.633333333333335,95.26666666666667,0.1,22.50814914703369,22.507926313,388.078125,139.47265625,3000
-1.0,-0.1,200,0.15,0.10981,0.10981,3.159090909090909,8.102870371939984,278,88,0.01783242967109867,0.016359490383512712,0.139302,0.01783242967109867,0.016359490383512712,0.139302,4.633333333333335,95.26666666666667,0.1,21.957505464553833,21.957136726999998,387.94921875,139.47265625,3000
-1.0,-0.1,200,0.15,0.10981,0.10981,3.159090909090909,8.102870371939984,278,88,0.01783242967109867,0.016359490383512712,0.139302,0.01783242967109867,0.016359490383512712,0.139302,4.633333333333335,95.26666666666667,0.1,22.19155526161194,22.191155047,388.19140625,139.4765625,3000
-1.0,-0.1,200,0.15,0.10981,0.10981,3.159090909090909,8.102870371939984,278,88,0.01783242967109867,0.016359490383512712,0.139302,0.01783242967109867,0.016359490383512712,0.139302,4.633333333333335,95.26666666666667,0.1,21.72200608253479,21.720954164000002,388.57421875,139.47265625,3000
-1.0,-0.1,200,0.15,0.10981,0.10981,3.159090909090909,8.102870371939984,278,88,0.01783242967109867,0.016359490383512712,0.139302,0.01783242967109867,0.016359490383512712,0.139302,4.633333333333335,95.26666666666667,0.1,22.823506355285645,22.82317621,387.9375,139.47265625,3000
