init_gap,cont_gap,low,mad_accel(m/s2),frechet_euclidean,frechet_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,percentage_gaps,percentage_matched_snapshots,percentage_mismatched_snapshots,execution_time,process_time,mem_usage,mem_dif,trace_length
-1.0,-0.1,200,0.15,0.048069,0.048069,0,0,0,0,0.01230174,0.008490519579648822,0.048069,0.01230174,0.008490519579648822,0.048069,0.0,100.0,0.0,0.025754451751708984,0.025740024999999278,248.58984375,0.2578125,100
-1.0,-0.1,200,0.15,0.048069,0.048069,0,0,0,0,0.01230174,0.008490519579648822,0.048069,0.01230174,0.008490519579648822,0.048069,0.0,100.0,0.0,0.025971412658691406,0.02595977100000013,248.171875,0.0,100
-1.0,-0.1,200,0.15,0.048069,0.048069,0,0,0,0,0.01230174,0.008490519579648822,0.048069,0.01230174,0.008490519579648822,0.048069,0.0,100.0,0.0,0.026532411575317383,0.026519819000000666,248.57421875,0.2578125,100
-1.0,-0.1,200,0.15,0.048069,0.048069,0,0,0,0,0.01230174,0.008490519579648822,0.048069,0.01230174,0.008490519579648822,0.048069,0.0,100.0,0.0,0.026465415954589844,0.02645205500000003,248.69921875,0.31640625,100
-1.0,-0.1,200,0.15,0.048069,0.048069,0,0,0,0,0.01230174,0.008490519579648822,0.048069,0.01230174,0.008490519579648822,0.048069,0.0,100.0,0.0,0.02635049819946289,0.02633955599999993,248.546875,0.375,100
-1.0,-0.1,200,0.15,0.048069,0.048069,0,0,0,0,0.01230174,0.008490519579648822,0.048069,0.01230174,0.008490519579648822,0.048069,0.0,100.0,0.0,0.026303768157958984,0.026290426999999283,248.453125,0.390625,100
-1.0,-0.1,200,0.15,0.048069,0.048069,0,0,0,0,0.01230174,0.008490519579648822,0.048069,0.01230174,0.008490519579648822,0.048069,0.0,100.0,0.0,0.025446176528930664,0.025432230999999916,248.4296875,0.375,100
