trace_length,execution_time,process_time,mem_usage,mem_dif,number_snaps
10000,489.4691045284271,489.461055853,1017.67578125,767.7421875,10000
10000,496.00879311561584,496.007763423,1018.453125,768.79296875,10000
10000,493.9274935722351,493.927835472,1017.4296875,767.75390625,10000
10000,493.10122895240784,493.09799071,1017.3203125,767.73828125,10000
10000,491.5325317382813,491.518308745,1017.42578125,767.75,10000
10000,500.7327628135681,500.707133295,1017.5234375,767.75,10000
10000,509.6891026496887,509.681711713,1017.58203125,767.7578125,10000
1000,5.057722330093384,5.057576225,256.70703125,8.25,1000
1000,4.841573476791382,4.841406902999999,256.55859375,8.25,1000
1000,4.9278178215026855,4.927798848,256.9140625,8.25,1000
1000,5.055690288543701,5.055684619000001,256.94921875,8.25,1000
1000,4.896113872528076,4.896056012999999,256.95703125,8.25,1000
1000,4.86900782585144,4.868962100999999,256.8125,8.25,1000
1000,5.088728427886963,5.088678027,256.6875,8.25,1000
100,0.0499606132507324,0.0499461610000011,248.2421875,0.0,100
100,0.0506539344787597,0.0506405230000002,247.74609375,0.0,100
100,0.0494270324707031,0.0494105660000006,248.01953125,0.0,100
100,0.0508081912994384,0.0507813010000006,247.83984375,0.0,100
100,0.0519099235534668,0.0518952569999999,248.26953125,0.0,100
100,0.0492007732391357,0.0491850230000014,247.9296875,0.0,100
100,0.0494911670684814,0.0494762659999992,248.171875,0.0,100
1500,10.942926406860352,10.94292695,266.7890625,18.046875,1500
1500,11.281805992126465,11.28169885,266.76953125,18.046875,1500
1500,11.43310546875,11.432900558,267.125,18.046875,1500
1500,11.298404932022097,11.297835674,266.7109375,18.046875,1500
1500,11.12622570991516,11.125200222,266.82421875,18.046875,1500
1500,11.419216632843018,11.418633724,266.48828125,18.046875,1500
1500,10.909712076187134,10.909712715,267.02734375,18.046875,1500
2000,19.380836248397827,19.380896477,280.66015625,31.7109375,2000
2000,21.724326848983765,21.724353799,280.4296875,31.7109375,2000
2000,19.499574661254883,19.499490886,280.41015625,31.7109375,2000
2000,19.657076835632324,19.65698515,280.34375,31.7109375,2000
2000,20.051149129867557,20.051051411000003,280.4765625,31.7109375,2000
2000,19.73797726631165,19.737990107,280.3984375,31.7109375,2000
2000,19.407469749450684,19.406945679000003,280.1875,31.7109375,2000
200,0.1959493160247802,0.1959242100000011,248.5078125,0.2578125,200
200,0.1944341659545898,0.1944137340000011,248.4140625,0.25,200
200,0.1903269290924072,0.1902771279999999,248.15234375,0.25,200
200,0.1912927627563476,0.191268946000001,248.16015625,0.375,200
200,0.1915884017944336,0.191564529999999,248.1328125,0.421875,200
200,0.2056734561920166,0.2056487460000013,248.75,0.375,200
200,0.194925308227539,0.1948725199999987,248.5078125,0.30859375,200
2500,32.35334062576294,32.352441142,298.12109375,48.984375,2500
2500,30.41425633430481,30.413988375,298.046875,49.2421875,2500
2500,30.804203271865845,30.803957245000003,298.0703125,49.2421875,2500
2500,30.992651224136356,30.992682862,298.3671875,49.2421875,2500
2500,30.635294675827023,30.63528469,298.09375,48.984375,2500
2500,30.794359922409058,30.793549584,298.40234375,49.2421875,2500
2500,30.31546449661255,30.315254515,298.3125,49.2421875,2500
3000,43.85531878471375,43.855384724,318.9453125,70.37890625,3000
3000,46.35139799118042,46.351344488,319.02734375,70.37890625,3000
3000,44.08105516433716,44.080975246,318.6015625,70.37890625,3000
3000,44.222461223602295,44.221205481,318.70703125,70.37890625,3000
3000,45.26530194282532,45.265281456,319.6875,70.3828125,3000
3000,44.61285161972046,44.61266085,318.64453125,70.37890625,3000
3000,44.67501449584961,44.675066737,319.12890625,70.37890625,3000
300,0.4359164237976074,0.4358947119999996,249.03125,1.05078125,300
300,0.4426488876342773,0.4426311049999984,249.19921875,1.16796875,300
300,0.4536635875701904,0.4536413560000003,248.96484375,0.9296875,300
300,0.4382219314575195,0.4382024449999999,248.66796875,0.95703125,300
300,0.4349513053894043,0.4349285810000012,248.96484375,0.8828125,300
300,0.4530906677246094,0.4530651110000008,248.98828125,0.9375,300
300,0.4408674240112304,0.4408582360000004,248.56640625,0.8828125,300
3500,60.3371729850769,60.337091872,344.62109375,95.38671875,3500
3500,60.31718826293945,60.315609757,344.09765625,95.38671875,3500
3500,60.4992299079895,60.499230403,344.3828125,95.38671875,3500
3500,61.115070819854736,61.105672238,344.14453125,95.38671875,3500
3500,60.28376364707947,60.283428824000005,344.4921875,95.38671875,3500
3500,60.66003465652466,60.657944345,344.26953125,95.38671875,3500
3500,60.829418420791626,60.829458539,344.37109375,95.38671875,3500
4000,81.60810208320618,81.607787774,373.37109375,124.26171875,4000
4000,80.86228466033936,80.85033359100001,373.5703125,124.26171875,4000
4000,80.7516622543335,80.75122643399999,373.41015625,124.26171875,4000
4000,79.98996686935425,79.984132037,373.15625,124.26171875,4000
4000,78.5808093547821,78.58050649,373.26171875,124.26171875,4000
4000,77.75574111938477,77.755161015,373.46484375,124.26171875,4000
4000,79.93192195892334,79.93096965,373.21875,124.26171875,4000
400,0.7767462730407715,0.7767203429999991,249.55859375,1.2890625,400
400,0.7755658626556396,0.7755379649999998,249.87890625,1.828125,400
400,0.7783286571502686,0.7783019939999996,249.703125,1.9296875,400
400,0.776292085647583,0.7762782860000002,250.0546875,1.2890625,400
400,0.7905020713806152,0.7904970250000005,249.79296875,1.2890625,400
400,0.770244836807251,0.770218723000001,249.47265625,1.95703125,400
400,0.7848422527313232,0.7848257299999997,249.37890625,1.375,400
4500,102.42355990409852,102.422780444,405.8515625,157.00390625,4500
4500,102.45270371437071,102.452789538,405.859375,157.00390625,4500
4500,101.86850023269652,101.868525551,406.265625,157.00390625,4500
4500,101.37466287612916,101.373939481,406.03125,157.00390625,4500
4500,100.51262259483336,100.511535879,405.73046875,157.00390625,4500
4500,102.03500843048096,102.034393265,405.7578125,157.00390625,4500
4500,99.78792595863342,99.787356461,405.86328125,157.00390625,4500
5000,123.73965859413148,123.72131158599998,443.09375,193.61328125,5000
5000,123.84713935852052,123.846687132,442.75,193.61328125,5000
5000,122.15115761756896,122.150500343,443.2578125,193.61328125,5000
5000,124.96118569374084,124.960733846,442.81640625,193.61328125,5000
5000,121.89760661125185,121.89733979,443.15625,193.61328125,5000
5000,124.41364860534668,124.413521183,443.09375,193.61328125,5000
5000,123.5436019897461,123.542826381,443.203125,193.61328125,5000
500,1.2043404579162598,1.2043299309999984,250.4609375,1.8046875,500
500,1.2390639781951904,1.2390647,250.4921875,2.70703125,500
500,1.2880725860595703,1.2880527780000008,250.328125,2.0625,500
500,1.2403531074523926,1.2403384590000002,249.90625,2.6953125,500
500,1.2233779430389404,1.2232542609999992,250.62890625,2.0625,500
500,1.324887752532959,1.3248217020000013,250.7421875,2.3203125,500
500,1.2281537055969238,1.2280984729999993,250.51953125,2.0625,500
6000,180.4211115837097,180.419281209,527.5,278.17578125,6000
6000,176.03238773345947,176.031931315,527.515625,278.17578125,6000
6000,177.72231101989746,177.721290918,527.4609375,278.17578125,6000
6000,176.48119688034058,176.480236024,527.1953125,278.17578125,6000
6000,174.64403247833252,174.619359955,527.296875,278.17578125,6000
6000,180.03661680221558,180.03592660400005,527.2265625,278.17578125,6000
6000,182.5960338115692,182.580324633,527.6015625,278.17578125,6000
7000,242.10268640518188,242.100950605,627.97265625,377.94921875,7000
7000,238.16187500953677,238.125888418,627.90234375,377.94921875,7000
7000,240.7107379436493,240.709070653,627.625,377.94921875,7000
7000,241.97991514205933,241.97863082,627.5546875,377.94921875,7000
7000,244.54205799102783,244.541786414,627.71484375,377.94921875,7000
7000,241.8889515399933,241.880522069,627.9921875,377.94921875,7000
7000,244.4303307533264,244.430096361,627.96875,377.94921875,7000
