trace_length,execution_time,process_time,number_snaps
9915,1484.1065771579742,1484.0450005469977,10000
9915,1501.2561717033386,1501.1921627440024,10000
9915,1573.1270616054535,1572.8851545189973,10000
9915,1666.1513288021088,1665.294721061,10000
9915,1643.126473903656,1643.060296937001,10000
1000,15.238029956817629,15.23735850799858,1000
1000,14.928791999816896,14.928135022000788,1000
1000,15.12189483642578,15.121266258000103,1000
1000,15.12052321434021,15.119802811001136,1000
1000,15.021889686584473,15.021198480997557,1000
100,0.151559829711914,0.1515509599994402,100
100,0.1531112194061279,0.1531039880028402,100
100,0.156362771987915,0.1563316219981061,100
100,0.1537299156188964,0.1537220469981548,100
100,0.152409553527832,0.1523852400023315,100
1500,33.85040879249573,33.84916255400094,1500
1500,34.21034097671509,34.208810500000254,1500
1500,33.92172980308533,33.9201832209983,1500
1500,33.55702066421509,33.55561106299865,1500
1500,34.20964169502258,34.208179017001385,1500
2000,60.95395064353943,60.95135385300091,2000
2000,60.19671607017517,60.19421115299701,2000
2000,60.54503297805786,60.542555359999824,2000
2000,60.03346300125122,60.03104456099754,2000
2000,59.88443088531494,59.88222539900016,2000
200,0.6057755947113037,0.6057242170027166,200
200,0.6079554557800293,0.6079185920025338,200
200,0.6066420078277588,0.6066167860008136,200
200,0.595768928527832,0.5957024919989635,200
200,0.5956358909606934,0.5955858870001975,200
2500,95.01566624641418,95.01178121499834,2500
2500,95.04457378387453,95.0410246600004,2500
2500,93.37900304794312,93.37512952699764,2500
2500,93.97556352615356,93.97151026800202,2500
2500,95.04426074028017,95.04035151000062,2500
3000,138.0822811126709,138.0751477390004,3000
3000,134.3957440853119,134.3891677190004,3000
3000,135.88835620880127,135.88188153400188,3000
3000,137.5158176422119,137.50964984500024,3000
3000,134.82269883155823,134.81733939699916,3000
300,1.3466224670410156,1.3465705640010128,300
300,1.3275275230407717,1.3274013199988983,300
300,1.334749698638916,1.3346634059998903,300
300,1.3622748851776123,1.3622128610004438,300
300,1.3323681354522705,1.3323100300003716,300
3500,183.686131477356,183.67781561000083,3500
3500,184.3856091499329,184.37733316400045,3500
3500,184.9869568347931,184.978646855001,3500
3500,186.9251036643982,186.9167166849984,3500
3500,183.92180824279785,183.91365138699985,3500
4000,242.65973210334775,242.64964407399748,4000
4000,241.95833039283752,241.94832464799765,4000
4000,241.90361428260803,241.89338042999952,4000
4000,243.0447266101837,243.0341298150015,4000
4000,242.64386010169983,242.63344455500192,4000
400,2.4169821739196777,2.416881351000484,400
400,2.3782942295074463,2.378159939002217,400
400,2.4096169471740723,2.409481170001527,400
400,2.4002904891967773,2.4001707890020043,400
400,2.391284704208374,2.3911565599992173,400
4500,310.72793841362,310.7139265199985,4500
4500,306.4094681739807,306.3955590330006,4500
4500,310.61280608177185,310.59861436400024,4500
4500,306.27776312828064,306.2644904419976,4500
4500,304.5590398311615,304.5460859630002,4500
5000,379.1077649593353,379.0916569379988,5000
5000,376.121660232544,376.10413242399954,5000
5000,376.5785117149353,376.56084223200014,5000
5000,381.91043281555176,381.89251625799807,5000
5000,383.0725467205048,383.0541733439968,5000
500,3.723155975341797,3.722959194001305,500
500,3.862967967987061,3.862798109999858,500
500,3.8727428913116455,3.872562978998758,500
500,3.830801725387573,3.830019156001072,500
500,3.744789361953736,3.744559762999416,500
6000,542.3458344936371,542.3230702959991,6000
6000,554.208790063858,554.1840015890048,6000
6000,542.8732242584229,542.8483729069994,6000
6000,552.7643811702728,552.7343226509984,6000
6000,547.6185653209686,547.5897870639965,6000
7000,744.560426235199,744.5232295979949,7000
7000,752.0885844230652,752.0538719090036,7000
7000,744.8009104728699,744.7696223819949,7000
7000,732.8979504108429,732.863970809005,7000
7000,742.5254905223846,742.4932227769968,7000
8000,962.6336710453032,962.592213539996,8000
8000,965.0357286930084,964.9914155820006,8000
8000,962.4046595096588,962.361152573998,8000
8000,975.095018863678,975.0533257330026,8000
8000,952.1311140060424,952.097565158998,8000
9000,1227.7786436080933,1227.7302545569985,9000
9000,1224.0273790359497,1223.9765676370007,9000
9000,1240.8459422588348,1240.7825873559996,9000
9000,1212.4314410686493,1212.3742957590002,9000
9000,1227.55948138237,1227.508941578999,9000
