init_gap,cont_gap,low,mad,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca,execution_time,process_time,trace_length
-1.0,-0.1,200,0.15,0.108571,0.108571,0.114777,0.114777,79.48648648648648,80.93027416760933,5882,74,0.01851181826086956,0.023679307262194256,0.143226,0.01851181826086956,0.023679307262194256,0.143226,0.034814621933621934,0.0280112421170894,0.143226,0.034814621933621934,0.0280112421170894,0.143226,71.49975692756442,-2.5,27.953330092367523,96.25,0.5469129800680603,6.25,224.81305956840515,224.7974690459996,8228
-1.0,-0.1,200,0.15,0.108571,0.108571,0.114777,0.114777,79.48648648648648,80.93027416760933,5882,74,0.01851181826086956,0.023679307262194256,0.143226,0.01851181826086956,0.023679307262194256,0.143226,0.034814621933621934,0.0280112421170894,0.143226,0.034814621933621934,0.0280112421170894,0.143226,71.49975692756442,-2.5,27.953330092367523,96.25,0.5469129800680603,6.25,214.84403800964355,214.83070246199986,8228
-1.0,-0.1,200,0.15,0.108571,0.108571,0.114777,0.114777,79.48648648648648,80.93027416760933,5882,74,0.01851181826086956,0.023679307262194256,0.143226,0.01851181826086956,0.023679307262194256,0.143226,0.034814621933621934,0.0280112421170894,0.143226,0.034814621933621934,0.0280112421170894,0.143226,71.49975692756442,-2.5,27.953330092367523,96.25,0.5469129800680603,6.25,217.8404688835144,217.8273443629996,8228
-1.0,-0.1,200,0.15,0.108571,0.108571,0.114777,0.114777,79.48648648648648,80.93027416760933,5882,74,0.01851181826086956,0.023679307262194256,0.143226,0.01851181826086956,0.023679307262194256,0.143226,0.034814621933621934,0.0280112421170894,0.143226,0.034814621933621934,0.0280112421170894,0.143226,71.49975692756442,-2.5,27.953330092367523,96.25,0.5469129800680603,6.25,216.15830874443054,216.1455755629995,8228
-1.0,-0.1,200,0.15,0.108571,0.108571,0.114777,0.114777,79.48648648648648,80.93027416760933,5882,74,0.01851181826086956,0.023679307262194256,0.143226,0.01851181826086956,0.023679307262194256,0.143226,0.034814621933621934,0.0280112421170894,0.143226,0.034814621933621934,0.0280112421170894,0.143226,71.49975692756442,-2.5,27.953330092367523,96.25,0.5469129800680603,6.25,216.70478916168213,216.69335337700068,8228
