window_start,window_end,mad_timestamp(s),mad_accel(m/s2),low,init_gap,cont_gap,frechet_euclidean,frechet_manhattan,frechet_lca_euclidean,frechet_lca_manhattan,mean_length_gaps_mean,mean_length_gaps_std,number_of_gaps,number_of_groups_of_gaps,p2p_mean_euclidean_mean,p2p_mean_euclidean_std,p2p_mean_euclidean_max,p2p_mean_manhattan_mean,p2p_mean_manhattan_std,p2p_mean_manhattan_max,p2p_mean_lca_euclidean_mean,p2p_mean_lca_euclidean_std,p2p_mean_lca_euclidean_max,p2p_mean_lca_manhattan_mean,p2p_mean_lca_manhattan_std,p2p_mean_lca_manhattan_max,percentage_gaps,percentage_gaps_lca,percentage_matched_snapshots,percentage_matched_snapshots_lca,percentage_mismatched_snapshots,percentage_mismatched_snapshots_lca
255,315,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.009144915254236888,0.008220424588580988,0.0333539999999995,0.009144915254236888,0.008220424588580988,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
260,320,0.14,0.14,200,-1.0,-0.1,0.0333539999999995,0.0333539999999995,0.0,0.0,0.0,0.0,0,0,0.008562966101694523,0.008177432645813526,0.0333539999999995,0.008562966101694523,0.008177432645813526,0.0333539999999995,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
265,325,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.008163915254236924,0.008200558294942527,0.0333540000000006,0.008163915254236924,0.008200558294942527,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
270,330,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.0077648644067793045,0.007083972141648302,0.0333540000000006,0.0077648644067793045,0.007083972141648302,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
275,335,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.007598593220338608,0.0070338411236802205,0.0333540000000006,0.007598593220338608,0.0070338411236802205,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
280,340,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.007532084745762323,0.006548298900046023,0.0333540000000006,0.007532084745762323,0.006548298900046023,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
285,345,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.0075154576271182745,0.006752289053983401,0.0333540000000006,0.0075154576271182745,0.006752289053983401,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
290,350,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.00809740677966068,0.006952203730896194,0.0333540000000006,0.00809740677966068,0.006952203730896194,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
295,355,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.008978644067796264,0.007520716136931113,0.0333540000000006,0.008978644067796264,0.007520716136931113,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
300,360,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.009793372881355629,0.008048075061773673,0.0333540000000006,0.009793372881355629,0.008048075061773673,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
305,365,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.0097102372881353,0.00802209797855857,0.0333540000000006,0.0097102372881353,0.00802209797855857,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
310,370,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.010042779661016616,0.007760929155599323,0.0333540000000006,0.010042779661016616,0.007760929155599323,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
315,375,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.010209050847457296,0.0077541579910366835,0.0333540000000006,0.010209050847457296,0.0077541579910366835,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
320,380,0.14,0.14,200,-1.0,-0.1,0.0333540000000006,0.0333540000000006,0.0,0.0,0.0,0.0,0,0,0.010790999999999619,0.007405286341297795,0.0333540000000006,0.010790999999999619,0.007405286341297795,0.0333540000000006,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
325,385,0.14,0.14,200,-1.0,-0.1,0.0284490000000001,0.0284490000000001,0.0,0.0,0.0,0.0,0,0,0.010308813559321634,0.0067032244795223435,0.0284490000000001,0.010308813559321634,0.0067032244795223435,0.0284490000000001,0.0,0.0,0.0,0.0,0.0,0.0,1.6666666666666714,100.0,98.33333333333333,0.0,0.0,0.0
